"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Treatment_Compare","19_T33_Ac_WK","25_ctl1_Ac_GF_1","27_ctl2_Ac_YG_1","31_T22_Ac_UV","35_T43_Ac_MT","37_T13_Ac_ML","38_T23_Ac_IN","41_ctl3_Ac_RN_1","47_T31_Ac_JB","52_T11_Ac_II","53_T21_Ac_NH","54_T42_Ac_JQ","57_T32_Ac_NM"
"Acerv_evm.TU.Segkk3422_pilon.23",501.414761403948,-6.50048591445517,0.338080461226406,-19.2276296916843,2.17337089471544e-82,1.96494462591223e-78,"CvsT1",799,15,8,471,680,524,537,22,402,449,304,1079,353
"Acerv_evm.TU.Segkk1982_pilon.11",13.0779986841387,-2.33917935983457,0.585302225042974,-3.99653249167612,6.4277062984043e-05,0.0116292611999875,"CvsT1",15,5,10,15,22,15,13,9,9,14,6,11,10
"Acerv_evm.TU.Segkk1895_pilon.6",108.038694294678,-1.3060326455052,0.323682686224193,-4.03491660533427,5.46216942987845e-05,0.010735537785985,"CvsT1",106,116,145,64,136,116,91,128,94,113,44,123,91
"Acerv_evm.TU.Segkk2518_pilon.2",85.3391904283693,-1.96549487499799,0.530498319162573,-3.70499736568564,0.000211392929664647,0.0289576284408799,"CvsT1",46,59,78,114,151,78,48,54,18,98,97,163,46
"Acerv_evm.TU.Segkk1268_pilon.2",32.7178511520923,-3.87693233504515,0.581643558092809,-6.66547799094946,2.63805343340306e-11,2.65007123237745e-08,"CvsT1",25,7,6,27,35,30,43,10,35,50,14,39,28
"Acerv_evm.TU.Segkk3339_pilon.1",23.2441214056862,-1.95507287901798,0.525974080987769,-3.71705175157374,0.000201561167506284,0.0280356079296049,"CvsT1",23,30,13,32,47,27,16,8,11,19,19,48,7
"Acerv_evm.TU.Segkk3454_pilon.21",77.1896335654137,1.99330240438429,0.319098633754636,6.24666543046688,4.19307884932818e-10,3.44632962516146e-07,"CvsT1",52,433,437,26,65,32,40,315,32,38,26,39,14
"Acerv_evm.TU.Segkk1157_pilon.2",125.37822177916,2.68638193902099,0.289938276320914,9.26535803795565,1.94423925434041e-20,4.3944667746229e-17,"CvsT1",57,917,634,51,112,32,67,544,28,44,33,100,27
"Acerv_evm.TU.Segkk3655_pilon.33",1139.0920842611,-2.19267598311721,0.38989727244865,-5.62372742273028,1.86880451472114e-08,1.04421411436885e-05,"CvsT1",1663,338,822,1313,2299,1069,1214,352,627,587,1039,2012,590
"Acerv_evm.TU.Segkk398_pilon.1",17.3545116190847,-2.19596679084672,0.574000256786549,-3.8257244049689,0.000130388096366736,0.0200892021053921,"CvsT1",36,11,5,19,36,14,17,8,7,12,14,32,8
"Acerv_evm.TU.Segkk2370_pilon.2",25.2888475965967,-1.85170704039282,0.432356082333085,-4.28282870545179,1.845322324703e-05,0.00490794356619033,"CvsT1",38,21,16,30,38,18,24,16,20,27,10,49,13
"Acerv_evm.TU.Segkk2199_pilon.3",14.9341275232328,-2.08378509624139,0.504853344297007,-4.12750577921396,3.667192182363e-05,0.00753524648198724,"CvsT1",20,10,11,11,18,12,18,9,11,18,11,18,10
"Acerv_evm.TU.Segkk4302_pilon.20",43.0166370648931,2.51022801212021,0.563914786851197,4.4514314407978,8.52997671433006e-06,0.00275426855265208,"CvsT1",68,150,143,32,57,0,35,101,24,16,20,62,20
"Acerv_evm.TU.Segkk2165_pilon.11",40.2324030686657,2.21210113925795,0.618417172584229,3.57703705091834,0.000347510932744844,0.0448835191849448,"CvsT1",37,266,215,31,74,13,12,82,11,15,12,37,5
"Acerv_evm.TU.Segkk1630_pilon.6",94.0690851613865,-4.89515178342068,0.38346737963803,-12.7654972583102,2.55513693095633e-37,7.70033099759206e-34,"CvsT1",112,10,15,99,178,97,80,8,56,134,48,179,62
"Acerv_evm.TU.Segkk2763_pilon.1",24.8161342335489,-1.57571071364469,0.41877445903962,-3.76267148015256,0.000168107965895872,0.0245139374139449,"CvsT1",32,34,29,17,31,22,18,23,11,38,13,30,19
"Acerv_evm.TU.Segkk2335_pilon.20",51.0954126916286,-1.73396189629239,0.355099146196648,-4.88303594887316,1.04464816622312e-06,0.000429302912310148,"CvsT1",57,43,64,35,62,44,45,46,40,76,24,70,33
"Acerv_evm.TU.Segkk1945_pilon.2",16.8033194983796,-2.95364415423031,0.645065097699942,-4.57883113620917,4.67581480375564e-06,0.00169096166563019,"CvsT1",34,8,12,16,18,17,18,0,12,19,7,24,12
"Acerv_evm.TU.Segkk4124_pilon.10",81.1219958015919,-3.77973582656705,0.911097229434392,-4.14855374866358,3.34582297625753e-05,0.0073530919127924,"CvsT1",84,36,34,59,73,134,65,33,0,199,25,113,63
"Acerv_evm.TU.Segkk1793_pilon.1",28.2148757275827,-3.64688473949684,0.522311169670211,-6.9822070659517,2.90578412652653e-12,4.37853238132106e-09,"CvsT1",36,6,9,24,38,25,41,6,33,37,14,37,13
"Acerv_evm.TU.Segkk2792_pilon.2",33.6848009571282,-1.52357279391906,0.360495275492717,-4.22633220875551,2.37531240662873e-05,0.00589177145459363,"CvsT1",45,34,39,30,53,26,32,19,25,36,22,49,18
"Acerv_evm.TU.Segkk1677_pilon.1",79.3767570534739,-2.21089804927808,0.333616345684242,-6.62706752195719,3.42421028805913e-11,3.09582852143426e-08,"CvsT1",85,48,38,70,158,69,99,55,70,86,45,112,37
"Acerv_evm.TU.Segkk3405_pilon.7",81.736840553775,-2.35736756829832,0.346669467046764,-6.80004382381999,1.04587331103668e-11,1.18196757563533e-08,"CvsT1",112,40,42,81,158,65,91,56,62,103,35,128,39
"Acerv_evm.TU.Segkk3394_pilon.16",232.324672539613,-5.21903368974746,0.397631609728434,-13.125298799338,2.35850657107763e-39,1.06616289545564e-35,"CvsT1",311,28,12,288,513,246,188,6,152,155,186,521,123
"Acerv_evm.TU.Segkk454_pilon.2",364.692702804814,-2.09032509927881,0.520588406037635,-4.01531243307729,5.93670970466532e-05,0.0114199558382722,"CvsT1",297,582,334,231,189,427,94,455,195,933,102,398,267
"Acerv_evm.TU.Segkk2634_pilon.20",120.204136086316,-1.95008122646433,0.490354971677507,-3.97687662835984,6.98263681701423e-05,0.0119026113318992,"CvsT1",153,192,159,98,120,134,43,77,40,246,62,144,70
"Acerv_evm.TU.Segkk358_pilon.2",71.3458050965337,-1.23554385419739,0.276555955111456,-4.46760892818037,7.90987369566601e-06,0.00264863585490802,"CvsT1",104,110,79,61,93,65,72,63,48,74,32,82,46
