"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Treatment_Compare","19_T33_Ac_WK","25_ctl1_Ac_GF_1","27_ctl2_Ac_YG_1","31_T22_Ac_UV","35_T43_Ac_MT","37_T13_Ac_ML","38_T23_Ac_IN","41_ctl3_Ac_RN_1","47_T31_Ac_JB","52_T11_Ac_II","53_T21_Ac_NH","54_T42_Ac_JQ","57_T32_Ac_NM"
"Acerv_evm.TU.Segkk1350_pilon.5",114.523139997343,-1.12739529768783,0.30898864583654,-3.64866254109621,0.000263609098592651,0.0397846962645217,"T1vsT2",92,157,200,166,224,73,133,110,53,51,109,152,43
"Acerv_evm.TU.Segkk3327_pilon.18",107.126578643125,1.71840811827634,0.465459286647518,3.69185483579716,0.000222624525749635,0.0354153502314148,"T1vsT2",117,257,131,62,57,100,51,171,60,201,30,114,85
"Acerv_evm.TU.Segkk791_pilon.1",466.256159840513,1.61858978747271,0.459842016355572,3.51988232893694,0.000431738294061344,0.0498276784087269,"T1vsT2",475,1448,711,338,363,483,223,776,144,846,123,472,290
"Acerv_evm.TU.Segkk2237_pilon.15",255.920328685111,1.68979899544182,0.39217542252325,4.30878351470801,1.64154949122265e-05,0.00990928733289509,"T1vsT2",339,618,357,125,144,315,93,435,144,329,83,284,227
"Acerv_evm.TU.Segkk1303_pilon.10",444.856807518216,-1.87031345530677,0.467326612138917,-4.00215482432402,6.27682013703982e-05,0.0184726816633082,"T1vsT2",392,655,957,784,1092,212,414,473,246,88,431,501,105
"Acerv_evm.TU.Segkk2012_pilon.2",361.86569762266,0.724038295395865,0.201367520903981,3.59560614415624,0.000323637133768974,0.0433991410550897,"T1vsT2",389,780,857,215,475,291,276,783,229,386,144,450,158
"Acerv_evm.TU.Segkk671_pilon.1",314.32539136696,1.31978985038208,0.300137578453877,4.39728292998437,1.09614419701553e-05,0.00990928733289509,"T1vsT2",370,633,725,190,368,322,122,555,180,352,100,347,240
"Acerv_evm.TU.Segkk4047_pilon.16",752.00053670691,-2.78206120380723,0.63666983284462,-4.36970790869276,1.24412838260195e-05,0.00990928733289509,"T1vsT2",366,681,959,836,624,223,3601,1127,345,202,446,344,88
"Acerv_evm.TU.Segkk4124_pilon.2",1423.32223530085,2.06637111331873,0.527747458019971,3.91545441274401,9.02340940136871e-05,0.0230920816245462,"T1vsT2",1193,3689,1317,860,971,1557,444,3545,700,2695,294,1522,1031
"Acerv_evm.TU.Segkk4124_pilon.3",1690.29097894504,1.96437116005791,0.483641614844303,4.06162559169003,4.87321895872157e-05,0.0174525790656564,"T1vsT2",1799,4846,1605,1047,1350,1804,608,3592,774,3152,354,1716,1127
"Acerv_evm.TU.Segkk3192_pilon.40",232.361517061136,-1.53321616455527,0.378587940601857,-4.04982832289337,5.12552206534937e-05,0.0174525790656564,"T1vsT2",281,354,466,255,491,119,244,316,71,55,238,444,72
"Acerv_evm.TU.Segkk3412_pilon.6",1239.62839374075,1.94270737930382,0.440689209441621,4.40833888754694,1.04166465667419e-05,0.00990928733289509,"T1vsT2",1652,2377,939,716,909,1391,460,2015,619,2495,379,1147,931
"Acerv_evm.TU.Segkk2634_pilon.14",530.041129797206,1.96149716156222,0.49913151757232,3.92982028284361,8.50093750054875e-05,0.0227438718764682,"T1vsT2",645,1497,705,364,394,566,138,709,193,1115,160,558,308
"Acerv_evm.TU.Segkk4302_pilon.1",115.764502155384,1.63882380292666,0.438993379033324,3.73314013649909,0.000189107309285579,0.0327378124251447,"T1vsT2",110,269,168,63,76,104,47,351,100,169,27,114,71
"Acerv_evm.TU.Segkk451_pilon.2",444.618313993841,-1.23714005141144,0.32594411882047,-3.79555874758045,0.000147311305395681,0.0311013549908585,"T1vsT2",457,739,877,672,925,269,468,513,184,167,403,570,118
"Acerv_evm.TU.Segkk4113_pilon.15",190.069276739747,-1.72074602774085,0.454814926779105,-3.7833983152813,0.000154701543096924,0.0311013549908585,"T1vsT2",227,306,367,298,464,93,276,131,73,47,139,248,54
"Acerv_evm.TU.Segkk3264_pilon.11",68.0833622498118,1.54807957215254,0.38035546232772,4.07008634154619,4.69957172119373e-05,0.0174525790656564,"T1vsT2",102,209,140,47,65,78,26,101,37,92,17,69,31
"Acerv_evm.TU.Segkk642_pilon.42",88.5300003841802,1.96415034820747,0.470025359658835,4.17881781875161,2.9302829267186e-05,0.0156796775515143,"T1vsT2",82,135,66,51,48,104,49,151,46,219,29,85,50
"Acerv_evm.TU.Segkk1411_pilon.4",1185.11289826247,1.04231073404129,0.273681775925443,3.80847694559408,0.000139825379979968,0.0311013549908585,"T1vsT2",1402,2479,2277,830,1573,1057,833,2257,550,1598,376,1365,617
"Acerv_evm.TU.Segkk3655_pilon.19",86.1945820401344,1.90175241004584,0.472174088983812,4.02765093302492,5.63369015031384e-05,0.0174525790656564,"T1vsT2",104,231,118,50,65,78,28,188,41,154,19,101,58
