"","1_2","2_2","4_2","11_2","28_2","35_2","36_2","38_2","39_2","41_2","42_2","47_2","Treatment_Compare"
"LOC113675828",178,162,20,70,151,164,202,206,36,12,180,110,"CvsMid"
"LOC113682209",55,15,34,28,54,78,100,53,21,21,80,47,"CvsMid"
"LOC113678576",73,97,339,316,107,182,165,137,402,346,148,68,"CvsMid"
"LOC113681730",180,0,56,21,52,152,185,310,44,34,259,221,"CvsMid"
"LOC113677330",1141,467,668,688,1071,1216,1347,1034,923,979,1112,951,"CvsMid"
"LOC113685970",18,8,11,4,8,17,17,15,17,8,13,11,"CvsMid"
"LOC113674578",965,252,44,70,820,1299,1256,1051,61,40,1144,801,"CvsMid"
"LOC113684180",180,146,36,40,99,195,123,200,16,79,190,101,"CvsMid"
"LOC113675415",13,5,9,6,6,19,14,13,13,12,15,15,"CvsMid"
"LOC113671697",160,116,37,37,187,233,226,172,43,33,232,129,"CvsMid"
"LOC113666244",137,977,816,1395,53,208,153,298,3692,1885,286,152,"CvsMid"
"LOC113667989",53,7,803,966,19,729,94,352,972,1236,55,44,"CvsMid"
"LOC113666599",884,467,446,456,324,381,746,627,520,729,503,643,"CvsMid"
"LOC113668440",518,207,54,69,440,506,499,468,130,136,616,317,"CvsMid"
"LOC113664769",571,477,289,143,586,523,510,654,261,825,729,473,"CvsMid"
"LOC113672681",199,147,19,47,202,460,117,211,116,38,461,154,"CvsMid"
"LOC113671087",23,11,23,5,14,24,14,27,29,14,26,36,"CvsMid"
"LOC113669782",96,55,29,32,62,69,102,117,31,20,70,38,"CvsMid"
"LOC113677144",113,91,135,118,111,114,252,141,75,36,135,116,"CvsMid"
"LOC113677148",96,45,129,83,75,73,97,104,103,150,137,100,"CvsMid"
"LOC113684226",13,15,12,7,32,25,20,5,9,8,18,6,"CvsMid"
"LOC113680923",5927,1857,2160,1606,5619,6733,3112,5185,1793,1531,6592,4534,"CvsMid"
"LOC113684387",704,494,122,67,662,326,548,96,59,14,773,139,"CvsMid"
"LOC113674023",94,11,11,18,37,64,74,121,26,23,69,51,"CvsMid"
"LOC113677393",61,57,17,16,44,39,41,39,27,37,57,18,"CvsMid"
"LOC113681402",104,41,45,63,81,54,83,105,42,52,48,46,"CvsMid"
"LOC113668306",50,70,32,38,46,114,166,52,24,28,61,67,"CvsMid"
"LOC113674672",44,27,133,160,46,91,79,59,147,209,50,20,"CvsMid"
"LOC113673390",935,431,81,145,893,1166,1125,824,252,99,986,384,"CvsMid"
"LOC113684636",28,32,21,29,52,79,50,44,34,30,55,74,"CvsMid"
"LOC113675263",30,15,11,18,40,29,32,36,32,40,40,39,"CvsMid"
"LOC113683282",91,47,41,7,83,51,33,69,8,27,24,45,"CvsMid"
"LOC113670359",143,26,21,6,127,165,65,74,38,35,81,82,"CvsMid"
"LOC113675185",24,3,10,14,16,31,19,16,17,37,39,20,"CvsMid"
"LOC113672765",39,19,34,59,115,98,48,92,3,64,77,117,"CvsMid"
"LOC113683360",110,114,32,9,76,132,132,53,51,15,163,79,"CvsMid"
"LOC113677082",117,39,6,15,87,128,77,63,9,6,40,41,"CvsMid"
"LOC113686292",106,27,54,10,78,175,295,92,1,31,162,211,"CvsMid"
"LOC113672431",140,97,16,22,87,154,218,31,26,41,219,135,"CvsMid"
"LOC113681344",310,410,81,78,98,276,322,340,50,228,347,236,"CvsMid"
"LOC113676604",56,109,29,11,79,12,58,47,20,9,103,45,"CvsMid"
"LOC113668327",52,35,19,17,31,38,34,62,43,18,38,12,"CvsMid"
"LOC113669646",41,10,33,5,49,81,8,11,23,7,18,65,"CvsMid"
"LOC113666187",12,3,89,91,13,38,20,32,209,230,12,6,"CvsMid"
"LOC113666995",207,72,773,1091,172,210,148,150,671,670,262,180,"CvsMid"
"LOC113667981",41,26,22,18,24,31,40,53,30,40,41,15,"CvsMid"
"LOC113677209",85,25,38,26,33,89,35,74,55,79,75,64,"CvsMid"
"LOC113686179",17,10,7,7,11,25,19,24,18,3,12,9,"CvsMid"
"LOC113666891",140,76,50,66,48,115,93,191,79,121,112,63,"CvsMid"
"LOC113667133",154,70,168,70,104,106,120,217,125,129,129,86,"CvsMid"
"LOC113685903",53,8,36,28,60,70,35,58,28,24,76,24,"CvsMid"
"LOC113681196",509,455,1977,3572,223,506,826,1007,2733,3013,976,471,"CvsMid"
"LOC113670165",71,111,68,85,108,87,141,102,132,91,111,94,"CvsMid"
"LOC113680282",141,55,105,90,117,195,192,171,89,155,139,101,"CvsMid"
"LOC113683409",367,581,111,77,490,834,310,381,7,290,334,458,"CvsMid"
"LOC113676665",74,80,16,38,27,32,84,98,36,21,97,89,"CvsMid"
"LOC113669920",362,178,296,368,305,264,340,426,366,470,337,389,"CvsMid"
"LOC113683533",219,117,258,121,190,334,294,248,51,84,323,81,"CvsMid"
"LOC113683602",32,82,149,190,27,89,96,106,172,267,40,25,"CvsMid"
"LOC113668461",25,17,25,14,22,26,13,17,29,26,38,27,"CvsMid"
"LOC113681384",46,39,10,9,40,52,15,10,12,21,4,36,"CvsMid"
"LOC113665832",227,94,231,235,171,317,214,248,325,344,274,169,"CvsMid"
"LOC113679600",41,29,337,175,30,153,32,80,401,321,60,65,"CvsMid"
"LOC113678546",41,23,15,10,39,37,29,36,5,20,43,22,"CvsMid"
"LOC113684738",347,327,35,21,0,487,345,138,34,73,509,89,"CvsMid"
"LOC113687128",30,26,18,21,23,22,37,29,22,42,29,23,"CvsMid"
"LOC113665670",143,45,66,58,71,97,147,201,39,61,128,93,"CvsMid"
"LOC113683782",321,182,290,305,427,633,470,297,377,375,416,241,"CvsMid"
"LOC113664448",22,15,20,3,20,22,23,26,23,27,27,22,"CvsMid"
"LOC113668080",20,24,402,936,7,89,274,135,504,723,52,109,"CvsMid"
"LOC113666770",1864,538,334,1538,1238,972,1083,2313,689,972,2272,476,"CvsMid"
"LOC113675528",109,80,115,85,84,97,95,145,56,71,125,103,"CvsMid"
"LOC113680735",129,75,366,327,80,172,142,128,337,380,136,93,"CvsMid"
"LOC113665402",57,25,28,17,64,74,86,105,35,67,73,70,"CvsMid"
"LOC113684634",10,4,14,10,14,17,12,14,7,17,13,32,"CvsMid"
"LOC113668902",82,15,32,23,33,40,18,52,54,54,43,28,"CvsMid"
"LOC113677102",30,37,131,147,28,34,65,37,111,113,29,16,"CvsMid"
"LOC113670989",98,161,44,76,47,92,193,78,61,33,100,79,"CvsMid"
"LOC113672817",200,1623,627,106,217,479,1555,2016,154,437,2299,1108,"CvsMid"
"LOC113680256",65,33,7,7,90,71,35,45,7,6,86,67,"CvsMid"
"LOC113671327",120,138,34,66,129,159,138,118,73,14,147,113,"CvsMid"
"LOC113678704",31,18,11,14,34,38,48,44,25,20,43,28,"CvsMid"
"LOC113672513",144,45,27,7,63,119,0,101,22,17,139,39,"CvsMid"
"LOC113674282",32,27,7,35,284,396,13,18,57,3,365,14,"CvsMid"
"LOC113678573",52,20,35,34,49,69,68,63,61,83,70,40,"CvsMid"
"LOC113671459",30,11,15,25,36,45,17,35,16,19,36,25,"CvsMid"
"LOC113664439",462,332,111,327,521,488,376,445,15,111,582,379,"CvsMid"
"LOC113686085",235,83,3,51,110,46,359,440,38,21,305,219,"CvsMid"
"LOC113677292",106,187,58,11,313,89,260,150,29,22,61,169,"CvsMid"
