"","1_2","2_2","4_2","11_2","28_2","35_2","36_2","38_2","39_2","41_2","42_2","47_2","Treatment_Compare"
"LOC113686351",37,50,5,42,20,32,34,44,7,9,41,44,"CvsHigh"
"LOC113671244",598,1157,639,630,469,682,608,884,766,752,362,406,"CvsHigh"
"LOC113670059",499,225,429,465,323,937,652,475,724,608,661,297,"CvsHigh"
"LOC113682626",200,103,48,112,112,231,265,252,37,102,333,139,"CvsHigh"
"LOC113668013",164,233,67,78,33,305,197,146,207,72,236,122,"CvsHigh"
"LOC113683892",77,80,1,8,84,162,96,165,8,11,153,89,"CvsHigh"
"LOC113665304",59,95,56,59,36,52,47,76,76,41,59,32,"CvsHigh"
"LOC113666383",45,22,8,50,153,195,115,140,53,61,134,289,"CvsHigh"
"LOC113674816",26,40,5,37,10,16,23,44,11,6,26,16,"CvsHigh"
"LOC113680239",120,49,81,61,72,100,69,150,89,150,136,63,"CvsHigh"
"LOC113679993",426,144,885,887,389,453,228,232,929,1298,564,238,"CvsHigh"
"LOC113670912",28,17,11,12,42,42,16,32,31,30,57,15,"CvsHigh"
"LOC113681648",6487,2601,26240,23283,4447,9038,5699,5119,19861,21415,9717,7785,"CvsHigh"
"LOC113668956",40,16,13,1,11,43,53,37,9,7,34,7,"CvsHigh"
"LOC113686220",104,46,297,506,70,197,113,128,548,630,171,99,"CvsHigh"
"LOC113672358",30,8,232,222,15,17,24,34,348,129,15,0,"CvsHigh"
"LOC113666721",50,22,17,20,40,26,99,10,17,11,40,16,"CvsHigh"
"LOC113667899",201,82,10,4,95,13,259,15,8,6,243,178,"CvsHigh"
"LOC113672564",261,158,777,1082,222,171,152,158,575,683,256,242,"CvsHigh"
"LOC113664141",233,353,79,116,218,259,335,234,227,140,426,342,"CvsHigh"
"LOC113678352",58,32,5,23,16,94,29,14,10,8,85,58,"CvsHigh"
"LOC113677713",118,141,80,237,109,160,188,190,73,73,145,85,"CvsHigh"
"LOC113684855",1279,372,314,183,647,2034,904,1767,1432,987,1608,1357,"CvsHigh"
"LOC113685955",160,58,77,72,99,306,451,241,190,205,96,132,"CvsHigh"
"LOC113677377",413,509,476,370,296,785,1086,902,680,600,311,357,"CvsHigh"
"LOC113676077",41,37,42,37,38,43,40,85,55,42,39,37,"CvsHigh"
"LOC113664289",1974,2525,299,224,645,3283,1797,1870,256,220,3903,2699,"CvsHigh"
"LOC113679869",307,328,288,64,186,389,224,424,235,138,61,262,"CvsHigh"
"LOC113673455",229,29,669,361,41,67,96,136,747,593,423,79,"CvsHigh"
"LOC113686891",5,19,14,7,53,96,15,10,17,13,35,17,"CvsHigh"
"LOC113682888",372,200,24,52,340,410,344,386,64,93,443,0,"CvsHigh"
"LOC113677411",25,36,6,55,8,21,99,86,7,12,23,49,"CvsHigh"
"LOC113675828",178,162,20,70,151,164,202,206,36,12,180,110,"CvsHigh"
"LOC113682209",55,15,34,28,54,78,100,53,21,21,80,47,"CvsHigh"
"LOC113681730",180,0,56,21,52,152,185,310,44,34,259,221,"CvsHigh"
"LOC113677330",1141,467,668,688,1071,1216,1347,1034,923,979,1112,951,"CvsHigh"
"LOC113685970",18,8,11,4,8,17,17,15,17,8,13,11,"CvsHigh"
"LOC113674578",965,252,44,70,820,1299,1256,1051,61,40,1144,801,"CvsHigh"
"LOC113686410",89,81,75,138,55,111,125,156,138,142,91,56,"CvsHigh"
"LOC113669924",56,51,83,73,48,75,68,58,72,71,83,28,"CvsHigh"
"LOC113669730",517,186,1617,2259,422,484,333,266,1167,1617,803,444,"CvsHigh"
"LOC113674392",110,0,409,263,35,25,13,9,473,666,40,133,"CvsHigh"
"LOC113684180",180,146,36,40,99,195,123,200,16,79,190,101,"CvsHigh"
"LOC113672580",33,24,28,12,17,25,40,44,17,30,18,11,"CvsHigh"
"LOC113675415",13,5,9,6,6,19,14,13,13,12,15,15,"CvsHigh"
"LOC113671697",160,116,37,37,187,233,226,172,43,33,232,129,"CvsHigh"
"LOC113666599",884,467,446,456,324,381,746,627,520,729,503,643,"CvsHigh"
"LOC113668440",518,207,54,69,440,506,499,468,130,136,616,317,"CvsHigh"
"LOC113676057",126,61,412,494,190,149,125,107,352,483,166,167,"CvsHigh"
"LOC113664769",571,477,289,143,586,523,510,654,261,825,729,473,"CvsHigh"
"LOC113675180",386,186,930,963,321,428,366,351,931,929,463,281,"CvsHigh"
"LOC113672681",199,147,19,47,202,460,117,211,116,38,461,154,"CvsHigh"
"LOC113670163",278,116,662,402,305,254,154,223,709,938,373,296,"CvsHigh"
"LOC113672798",249,148,218,334,136,292,501,276,223,341,176,201,"CvsHigh"
"LOC113673983",198,49,774,632,205,249,120,134,763,799,386,194,"CvsHigh"
"LOC113669782",96,55,29,32,62,69,102,117,31,20,70,38,"CvsHigh"
"LOC113672016",195,95,1198,1492,278,249,274,123,872,963,447,132,"CvsHigh"
"LOC113677266",20,19,18,18,6,25,27,13,16,4,19,6,"CvsHigh"
"LOC113677144",113,91,135,118,111,114,252,141,75,36,135,116,"CvsHigh"
"LOC113673554",33,25,270,176,45,36,20,27,148,84,86,27,"CvsHigh"
"LOC113682541",44,16,137,167,39,64,40,28,143,173,86,36,"CvsHigh"
"LOC113684226",13,15,12,7,32,25,20,5,9,8,18,6,"CvsHigh"
"LOC113687133",55,52,56,77,65,71,49,128,93,82,81,38,"CvsHigh"
"LOC113680923",5927,1857,2160,1606,5619,6733,3112,5185,1793,1531,6592,4534,"CvsHigh"
"LOC113671529",58,59,11,42,19,30,46,23,18,17,23,72,"CvsHigh"
"LOC113665493",580,132,1257,959,425,449,277,328,1328,1344,545,368,"CvsHigh"
"LOC113672537",26,29,41,34,22,41,55,74,67,40,24,28,"CvsHigh"
"LOC113668410",63,69,31,27,32,214,35,45,75,42,82,6,"CvsHigh"
"LOC113667610",11,32,9,17,7,10,17,20,9,17,6,16,"CvsHigh"
"LOC113684387",704,494,122,67,662,326,548,96,59,14,773,139,"CvsHigh"
"LOC113674023",94,11,11,18,37,64,74,121,26,23,69,51,"CvsHigh"
"LOC113677393",61,57,17,16,44,39,41,39,27,37,57,18,"CvsHigh"
"LOC113685457",240,87,91,198,160,645,183,437,226,312,292,92,"CvsHigh"
"LOC113681402",104,41,45,63,81,54,83,105,42,52,48,46,"CvsHigh"
"LOC113668306",50,70,32,38,46,114,166,52,24,28,61,67,"CvsHigh"
"LOC113674263",2104,692,8031,5305,1348,2389,1619,1651,4918,5255,2539,1846,"CvsHigh"
"LOC113673390",935,431,81,145,893,1166,1125,824,252,99,986,384,"CvsHigh"
"LOC113684636",28,32,21,29,52,79,50,44,34,30,55,74,"CvsHigh"
"LOC113675263",30,15,11,18,40,29,32,36,32,40,40,39,"CvsHigh"
"LOC113683282",91,47,41,7,83,51,33,69,8,27,24,45,"CvsHigh"
"LOC113670359",143,26,21,6,127,165,65,74,38,35,81,82,"CvsHigh"
"LOC113679734",107,58,294,253,105,101,86,62,307,253,137,90,"CvsHigh"
"LOC113686210",124,214,173,132,121,199,217,235,314,262,188,133,"CvsHigh"
"LOC113674289",226,132,935,740,286,223,156,174,763,625,299,275,"CvsHigh"
"LOC113676006",344,108,1305,1061,432,430,213,251,1048,901,509,317,"CvsHigh"
"LOC113673305",19,18,15,14,19,18,15,21,15,18,21,6,"CvsHigh"
"LOC113665605",126,34,498,515,108,149,52,88,360,436,173,116,"CvsHigh"
"LOC113683360",110,114,32,9,76,132,132,53,51,15,163,79,"CvsHigh"
"LOC113677082",117,39,6,15,87,128,77,63,9,6,40,41,"CvsHigh"
"LOC113686249",147,42,385,415,196,146,93,98,314,395,256,86,"CvsHigh"
"LOC113681475",54,40,55,62,51,68,52,63,78,99,63,42,"CvsHigh"
"LOC113666052",65,44,72,104,60,112,82,104,80,136,74,60,"CvsHigh"
"LOC113682288",96,23,137,205,63,52,55,78,284,287,108,54,"CvsHigh"
"LOC113672842",35,29,53,38,25,55,187,72,27,59,48,29,"CvsHigh"
"LOC113684482",338,221,87,125,30,49,331,391,78,138,47,178,"CvsHigh"
"LOC113683654",32,23,447,281,55,37,0,10,569,621,360,138,"CvsHigh"
"LOC113686292",106,27,54,10,78,175,295,92,1,31,162,211,"CvsHigh"
"LOC113672431",140,97,16,22,87,154,218,31,26,41,219,135,"CvsHigh"
"LOC113681344",310,410,81,78,98,276,322,340,50,228,347,236,"CvsHigh"
"LOC113676604",56,109,29,11,79,12,58,47,20,9,103,45,"CvsHigh"
"LOC113668327",52,35,19,17,31,38,34,62,43,18,38,12,"CvsHigh"
"LOC113666187",12,3,89,91,13,38,20,32,209,230,12,6,"CvsHigh"
"LOC113666995",207,72,773,1091,172,210,148,150,671,670,262,180,"CvsHigh"
"LOC113674379",1130,721,3935,5019,1102,1128,1069,745,3437,3355,1551,1080,"CvsHigh"
"LOC113669015",279,358,324,316,504,686,267,515,565,337,711,170,"CvsHigh"
"LOC113680950",160,111,187,218,141,211,184,258,195,339,192,156,"CvsHigh"
"LOC113677075",166,75,592,760,158,202,115,116,536,558,228,143,"CvsHigh"
"LOC113668119",39,15,38,47,47,187,52,45,50,61,65,31,"CvsHigh"
"LOC113672440",160,90,29,36,81,167,8,189,20,23,189,0,"CvsHigh"
"LOC113667981",41,26,22,18,24,31,40,53,30,40,41,15,"CvsHigh"
"LOC113686179",17,10,7,7,11,25,19,24,18,3,12,9,"CvsHigh"
"LOC113666891",140,76,50,66,48,115,93,191,79,121,112,63,"CvsHigh"
"LOC113679798",205,45,668,745,212,239,218,108,685,590,303,89,"CvsHigh"
"LOC113667133",154,70,168,70,104,106,120,217,125,129,129,86,"CvsHigh"
"LOC113685903",53,8,36,28,60,70,35,58,28,24,76,24,"CvsHigh"
"LOC113670165",71,111,68,85,108,87,141,102,132,91,111,94,"CvsHigh"
"LOC113680282",141,55,105,90,117,195,192,171,89,155,139,101,"CvsHigh"
"LOC113682220",34,18,265,361,63,22,31,28,81,59,44,79,"CvsHigh"
"LOC113683409",367,581,111,77,490,834,310,381,7,290,334,458,"CvsHigh"
"LOC113676665",74,80,16,38,27,32,84,98,36,21,97,89,"CvsHigh"
"LOC113664336",218,133,777,744,402,327,167,178,744,933,378,282,"CvsHigh"
"LOC113683533",219,117,258,121,190,334,294,248,51,84,323,81,"CvsHigh"
"LOC113681384",46,39,10,9,40,52,15,10,12,21,4,36,"CvsHigh"
"LOC113679803",77,32,48,31,32,117,119,92,86,84,57,88,"CvsHigh"
"LOC113665832",227,94,231,235,171,317,214,248,325,344,274,169,"CvsHigh"
"LOC113681388",45,35,54,85,43,54,88,64,47,58,52,33,"CvsHigh"
"LOC113667417",104,105,31,61,26,111,188,65,91,61,44,36,"CvsHigh"
"LOC113665340",15,29,33,69,20,72,71,90,65,28,15,34,"CvsHigh"
"LOC113675196",84,26,239,241,59,115,17,48,271,333,139,100,"CvsHigh"
"LOC113678426",16,75,41,36,20,41,50,38,36,33,40,14,"CvsHigh"
"LOC113680007",50,31,55,60,39,81,128,106,86,56,54,36,"CvsHigh"
"LOC113679262",137,2222,50,597,413,211,1375,97,268,31,366,112,"CvsHigh"
"LOC113677818",293,187,878,848,296,359,248,282,857,884,426,258,"CvsHigh"
"LOC113678546",41,23,15,10,39,37,29,36,5,20,43,22,"CvsHigh"
"LOC113673745",184,447,236,206,161,365,430,121,212,147,335,116,"CvsHigh"
"LOC113684738",347,327,35,21,0,487,345,138,34,73,509,89,"CvsHigh"
"LOC113687128",30,26,18,21,23,22,37,29,22,42,29,23,"CvsHigh"
"LOC113665670",143,45,66,58,71,97,147,201,39,61,128,93,"CvsHigh"
"LOC113683782",321,182,290,305,427,633,470,297,377,375,416,241,"CvsHigh"
"LOC113664448",22,15,20,3,20,22,23,26,23,27,27,22,"CvsHigh"
"LOC113675528",109,80,115,85,84,97,95,145,56,71,125,103,"CvsHigh"
"LOC113665402",57,25,28,17,64,74,86,105,35,67,73,70,"CvsHigh"
"LOC113686478",2114,1013,10697,13219,2111,1259,2158,296,14894,10807,8701,2602,"CvsHigh"
"LOC113674440",15,6,6,7,4,11,16,27,16,9,7,7,"CvsHigh"
"LOC113680302",163,71,45,24,103,233,86,199,0,127,158,108,"CvsHigh"
"LOC113670989",98,161,44,76,47,92,193,78,61,33,100,79,"CvsHigh"
"LOC113681103",50,124,60,22,63,20,33,96,18,43,23,24,"CvsHigh"
"LOC113672817",200,1623,627,106,217,479,1555,2016,154,437,2299,1108,"CvsHigh"
"LOC113680256",65,33,7,7,90,71,35,45,7,6,86,67,"CvsHigh"
"LOC113670038",25,7,102,68,16,28,22,26,98,74,31,33,"CvsHigh"
"LOC113678771",194,113,221,150,134,285,230,295,115,387,282,119,"CvsHigh"
"LOC113674940",21,7,43,79,14,10,12,5,33,41,22,23,"CvsHigh"
"LOC113671327",120,138,34,66,129,159,138,118,73,14,147,113,"CvsHigh"
