"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Treatment_Compare"
"Acerv_evm.TU.Segkk666_pilon.8",94.7998106940364,0.0801808891189487,0.314668895882511,0.254810342452424,0.798869586773269,0.999837797411855,"T2vsT4"
"Acerv_evm.TU.Segkk3416_pilon.20",69.2181337254981,0.215626719365305,0.34280626808873,0.629004599500188,0.529346045026383,0.999837797411855,"T2vsT4"
"Acerv_evm.TU.Segkk666_pilon.3",445.086606785425,-0.149120912947545,0.505294473849719,-0.29511684901564,0.767904618985175,0.999837797411855,"T2vsT4"
"Acerv_evm.TU.Segkk3628_pilon.2",56.7010513062074,0.340898528239126,0.315494251265234,1.08052215491095,0.279909726502125,0.999837797411855,"T2vsT4"
"Acerv_evm.TU.Segkk2994_pilon.9",129.067832395477,-0.0827724910035944,0.322420543217991,-0.256722137421719,0.797393280959631,0.999837797411855,"T2vsT4"
"Acerv_evm.TU.Segkk2994_pilon.5",23.1304108063352,-0.149467870909246,0.546764282007507,-0.273368023164311,0.784570330766827,0.999837797411855,"T2vsT4"
"Acerv_evm.TU.Segkk2994_pilon.4",435.385359301027,-0.22104672549819,0.538915626621863,-0.410169448757311,0.681681650469188,0.999837797411855,"T2vsT4"
"Acerv_evm.TU.Segkk2994_pilon.2",602.287371574589,0.185526911887711,0.610742543682238,0.303772700636094,0.761301066239404,0.999837797411855,"T2vsT4"
"Acerv_evm.TU.Segkk2994_pilon.1",807.015020539056,0.454094698352457,0.825981625979834,0.549763680050122,0.582481473058733,0.999837797411855,"T2vsT4"
"Acerv_evm.TU.Segkk1900_pilon.1",145.551921807241,0.00358652467976428,0.308387866369864,0.0116299150222168,0.99072087953525,0.999837797411855,"T2vsT4"
"Acerv_evm.TU.Segkk3154_pilon.8",44.9505119043051,0.0697801880351088,0.889626386508585,0.0784376330258898,0.937479938905454,0.999837797411855,"T2vsT4"
"Acerv_evm.TU.Segkk3154_pilon.4",38.8497749832182,0.0353385973057881,0.438703771486025,0.0805522988464069,0.935798002868373,0.999837797411855,"T2vsT4"
"Acerv_evm.TU.Segkk3154_pilon.7",36.3808292610812,-0.196654330479749,0.98660595581971,-0.199324086095103,0.842009239202004,0.999837797411855,"T2vsT4"
"Acerv_evm.TU.Segkk3154_pilon.1",76.635203641483,0.0956779992151585,0.416536265937104,0.229699085144259,0.818325605850717,0.999837797411855,"T2vsT4"
"Acerv_evm.TU.Segkk3154_pilon.3",56.6303202365814,0.249060140166239,0.343254144042227,0.725585239068809,0.468093072789015,0.999837797411855,"T2vsT4"
"Acerv_evm.TU.Segkk2420_pilon.2",12.0544241318812,-0.298474332503876,0.473913935517979,-0.629807039072715,0.528820839669743,0.999837797411855,"T2vsT4"
"Acerv_evm.TU.Segkk60_pilon.21",27.5746543269975,0.0320730844128869,0.43642306935973,0.073490808952746,0.941415557691882,0.999837797411855,"T2vsT4"
"Acerv_evm.TU.Segkk302_pilon.5",415.934467148332,-0.142582559502356,0.58356554657288,-0.24432998202122,0.806975264690037,0.999837797411855,"T2vsT4"
"Acerv_evm.TU.Segkk302_pilon.7",53.3855615085757,0.205462231311745,0.522334366257107,0.393353844940409,0.694058154152095,0.999837797411855,"T2vsT4"
"Acerv_evm.TU.Segkk302_pilon.1",123.038783857326,-0.025018204775235,0.321665745921504,-0.0777770250405843,0.938005422437795,0.999837797411855,"T2vsT4"
"Acerv_evm.TU.Segkk302_pilon.9",62.2999684762324,-0.154093884283775,0.327704160161453,-0.470222545261118,0.638196028274852,0.999837797411855,"T2vsT4"
"Acerv_evm.TU.Segkk896_pilon.7",64.6356586082845,-0.858661493082413,0.373517056790656,-2.29885483800988,0.0215131836383506,0.999837797411855,"T2vsT4"
"Acerv_evm.TU.Segkk423_pilon.6",137.986857870284,-0.176306369320158,0.333485561838612,-0.52867766852671,0.597029071144716,0.999837797411855,"T2vsT4"
"Acerv_evm.TU.Segkk3326_pilon.17",1504.56896678517,0.130895073217922,0.768656903363135,0.170290636362221,0.864781574811663,0.999837797411855,"T2vsT4"
"Acerv_evm.TU.Segkk3326_pilon.16",91.7076658750791,-0.153994931781962,0.433217444153899,-0.355467984634653,0.722239025401949,0.999837797411855,"T2vsT4"
"Acerv_evm.TU.Segkk3326_pilon.12",18.6039108314747,0.24258231481732,0.366047995432938,0.662706305850438,0.507518670381713,0.999837797411855,"T2vsT4"
"Acerv_evm.TU.Segkk2335_pilon.34",15.3723935222267,0.916499874139914,0.428041259116747,2.14114843982818,0.032262069432106,0.999837797411855,"T2vsT4"
"Acerv_evm.TU.Segkk2335_pilon.35",21.9759515732386,0.305064417436171,0.532056186210592,0.573368800781924,0.566395010238152,0.999837797411855,"T2vsT4"
"Acerv_evm.TU.Segkk1889_pilon.1",60.6885548199075,-0.0760805285979653,0.313492388651885,-0.24268700406136,0.808247875788477,0.999837797411855,"T2vsT4"
"Acerv_evm.TU.Segkk3535_pilon.1",51.8103636377105,0.228608108595658,0.348439891786755,0.656090516569113,0.511765885881168,0.999837797411855,"T2vsT4"
"Acerv_evm.TU.Segkk923_pilon.4",52.2446970831429,0.417328166082957,0.3256575166615,1.28149403815771,0.200020192665204,0.999837797411855,"T2vsT4"
"Acerv_evm.TU.Segkk2539_pilon.2",97.2238829404497,0.0387885834577903,0.435500174641428,0.0890667460460313,0.929028865140929,0.999837797411855,"T2vsT4"
"Acerv_evm.TU.Segkk923_pilon.1",265.748931887444,-0.109786697354788,0.435276237915208,-0.252223043188896,0.800868667835046,0.999837797411855,"T2vsT4"
"Acerv_evm.TU.Segkk251_pilon.2",4314.12848156353,-0.268199012481106,0.941940199304688,-0.28473040292694,0.775850696172045,0.999837797411855,"T2vsT4"
"Acerv_evm.TU.Segkk251_pilon.3",627.205142057648,0.106482615689355,0.567845833830825,0.187520290447493,0.851252716376989,0.999837797411855,"T2vsT4"
"Acerv_evm.TU.Segkk251_pilon.4",544.162989924503,-0.186097517920459,0.559604077134717,-0.332552112331481,0.739472396489759,0.999837797411855,"T2vsT4"
"Acerv_evm.TU.Segkk3047_pilon.20",100.305402597313,0.11923787681291,0.519809861204669,0.229387485140383,0.818567762277762,0.999837797411855,"T2vsT4"
"Acerv_evm.TU.Segkk3047_pilon.21",175.615974470973,0.0544811863340874,0.385727023470076,0.141242855747995,0.887678091414875,0.999837797411855,"T2vsT4"
"Acerv_evm.TU.Segkk3047_pilon.25",86.9853176874986,0.175953345024286,0.31356885698428,0.561131442441387,0.574707934944142,0.999837797411855,"T2vsT4"
"Acerv_evm.TU.Segkk4037_pilon.19",137.391714441244,0.480179962492906,0.351003689333138,1.36801970202988,0.171305909154772,0.999837797411855,"T2vsT4"
"Acerv_evm.TU.Segkk4037_pilon.10",60.1917228919028,0.078377828281983,0.393455012180157,0.199204040755986,0.842103138701939,0.999837797411855,"T2vsT4"
"Acerv_evm.TU.Segkk4037_pilon.12",48.986501499602,0.107776502921433,0.39670381119048,0.271680028981833,0.785868058470507,0.999837797411855,"T2vsT4"
