"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Treatment_Compare","6_1","7_1","8_1","9_1","21_1","22_1","23_1","25_1","26_1","27_1","29_1","34_1"
"plut2.m8.10068",42.0269436322234,-1.49465658283316,0.341374608028928,-4.37834726918675,1.19582699012292e-05,0.0221757573696937,"MidvsHigh",167,29,19,32,22,67,56,89,90,43,11,8
"plut2.m8.13153",197.093128793009,-1.5601772117759,0.382668778704085,-4.07709564668294,4.56017376835772e-05,0.0422825826336083,"MidvsHigh",794,233,66,46,136,177,374,527,440,214,40,52
"plut2.m8.5539",74.8659165801011,2.93025402153751,0.736421549202622,3.97904437303649,6.9192827280776e-05,0.0498995606073196,"MidvsHigh",69,9,20,17,383,27,20,49,28,24,260,18
"plut2.m8.27435",355.103293078495,-1.13419685068493,0.28445292952829,-3.98729186078616,6.68317911216826e-05,0.0498995606073196,"MidvsHigh",1332,489,148,178,280,592,305,721,744,286,100,122
"plut2.m8.32953",365.78363585838,-1.86093157145387,0.442015757967003,-4.21010232760252,2.55255050452813e-05,0.0287116243389216,"MidvsHigh",730,515,136,103,156,482,312,1579,633,600,60,87
"plut2.m8.32952",182.362121361266,-1.77544868328749,0.3852905805657,-4.60807705363756,4.06410063659724e-06,0.0131890225909172,"MidvsHigh",527,232,56,71,94,218,145,876,370,246,34,34
"plut2.m8.11052",49.3679585936732,2.53275121215818,0.529391680335623,4.78426712439543,1.71612332623654e-06,0.00742566563262549,"MidvsHigh",156,20,76,58,30,9,7,77,161,6,28,42
"plut2.m8.26944",97.0828982786181,0.916256822673781,0.21809028434341,4.20127299770504,2.65418297563408e-05,0.0287116243389216,"MidvsHigh",324,68,82,70,170,55,64,181,206,43,106,35
"plut2.m8.21703",36.0511995741304,2.38346160656204,0.548585068614652,4.34474385637403,1.39438269359726e-05,0.0226256021819826,"MidvsHigh",44,7,22,12,159,15,10,66,22,17,87,9
"plut2.m8.22908",209.556407156033,1.10554442151543,0.19699088496966,5.61216028693768,1.99816217648359e-08,0.000259381432129335,"MidvsHigh",578,141,169,196,309,103,126,396,431,77,257,105
"plut2.m8.24269",62.8735287324401,-1.97431251446676,0.465264060544843,-4.24342364238226,2.2013529830376e-05,0.0285757630728111,"MidvsHigh",182,72,16,10,23,195,105,109,78,38,26,19
"plut2.m8.25307",145.899150854715,-1.1200244084372,0.27749402824237,-4.03621085300957,5.43214001330404e-05,0.0470097396751331,"MidvsHigh",490,191,80,95,89,202,127,212,235,188,51,52
"jamg1.TU.Sc0000055.95",24.6234791683458,2.65062307069962,0.596770036276003,4.44161554631693,8.92859805025643e-06,0.0193170218817298,"MidvsHigh",35,8,10,8,116,6,6,24,17,10,73,5
"plut2.m8.12217",86.5997437826419,-1.49910280130566,0.363798096929056,-4.1206999540682,3.7772308320287e-05,0.0377171026388958,"MidvsHigh",293,134,31,43,80,101,85,190,198,110,10,20
"plut2.m8.23282",54.4385855545219,2.41733879702941,0.538519299947797,4.48886195399821,7.16046781665121e-06,0.0185900065455899,"MidvsHigh",122,10,18,93,202,13,17,126,84,11,59,16
"plut2.m8.14149",516.405313266255,4.44749568319263,1.11525458070727,3.98787484053385,6.66678174140323e-05,0.0498995606073196,"MidvsHigh",184,75,21,17,2779,52,94,33,114,19,2691,30
"plut2.m8.7016",273.331270021784,-0.909884530915631,0.213048296183713,-4.27078999088091,1.94781764041229e-05,0.0280940231002133,"MidvsHigh",768,482,106,180,216,299,232,524,498,255,145,108
"plut2.m8.21745",204.031640027952,-1.76862714797138,0.361333311087437,-4.89472488060589,9.84433490226171e-07,0.00638946556831296,"MidvsHigh",497,244,66,83,99,316,164,678,566,271,39,47
