"","17_ctl2_Of_ZTH_1","18_T33_Of_VLL","23_ctl1_Of_CT_1","26_T12_Of_WCL","30_T23_Of_RPG","32_T22_Of_EVR","36_T43_Of_JJN","40_T13_Of_GWS","43_ctl3_Of_JVP_1","44_T41_Of_PVT_1","48_T31_Of_JNO","50_T21_Of_YZB","51_T42_Of_UOF","59_T11_Of_TQP","60_T32_Of_WY","Treatment_Compare"
"gene-LOC110065550|LOC110065550",22,2,14,6,3,7,7,9,23,19,6,7,9,11,7,"CvsT1"
"gene-LOC110052551|LOC110052551",31,9,0,276,7,87,23,37,27,67,11,96,55,173,72,"CvsT1"
"gene-LOC110044078|LOC110044078",128,168,0,771,334,621,381,954,255,347,633,380,1073,517,1238,"CvsT1"
"gene-LOC110063000|LOC110063000",50,8,22,22,12,15,20,17,64,60,19,15,15,29,21,"CvsT1"
"gene-LOC110042871|LOC110042871",553,56,55,83,36,85,143,74,590,360,109,97,56,215,78,"CvsT1"
"gene-LOC110062450|LOC110062450",3120,436,225,718,507,824,825,946,4133,2886,930,813,901,944,1207,"CvsT1"
"gene-LOC110050314|LOC110050314",13,2,45,12,6,12,7,11,55,40,11,14,9,7,15,"CvsT1"
"gene-LOC110063009|LOC110063009",105,15,42,46,25,32,42,34,125,126,39,29,31,61,43,"CvsT1"
