gene_id,12_1.fastq.trim.fq.Aligned.sortedByCoord.out.bam.merge.gtf,17_1.fastq.trim.fq.Aligned.sortedByCoord.out.bam.merge.gtf,18_1.fastq.trim.fq.Aligned.sortedByCoord.out.bam.merge.gtf,24_1.fastq.trim.fq.Aligned.sortedByCoord.out.bam.merge.gtf,30_1.fastq.trim.fq.Aligned.sortedByCoord.out.bam.merge.gtf,32_1.fastq.trim.fq.Aligned.sortedByCoord.out.bam.merge.gtf,32_2.fastq.trim.fq.Aligned.sortedByCoord.out.bam.merge.gtf,33_1.fastq.trim.fq.Aligned.sortedByCoord.out.bam.merge.gtf,37_1.fastq.trim.fq.Aligned.sortedByCoord.out.bam.merge.gtf,37_2.fastq.trim.fq.Aligned.sortedByCoord.out.bam.merge.gtf,3_1.fastq.trim.fq.Aligned.sortedByCoord.out.bam.merge.gtf,3_2.fastq.trim.fq.Aligned.sortedByCoord.out.bam.merge.gtf,43_1.fastq.trim.fq.Aligned.sortedByCoord.out.bam.merge.gtf,43_2.fastq.trim.fq.Aligned.sortedByCoord.out.bam.merge.gtf,44_1.fastq.trim.fq.Aligned.sortedByCoord.out.bam.merge.gtf,46_1.fastq.trim.fq.Aligned.sortedByCoord.out.bam.merge.gtf
Pcom.g21338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pcom.g21339,1,3,1,1,1,0,0,1,2,2,0,0,2,2,1,3
Pcom.g07240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pcom.g21332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pcom.g21333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pcom.g21330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pcom.g21331,0,63,24,34,0,0,0,23,92,89,71,67,116,109,31,31
Pcom.g21336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pcom.g21337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pcom.g21334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pcom.g21335,1,5,0,1,1,3,3,1,2,2,1,2,14,14,1,1
Pcom.g09811,33,25,7,22,15,76,80,19,48,49,39,43,55,59,23,20
Pcom.g32031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pcom.g24781,1,2,0,0,0,0,0,0,0,0,4,6,0,0,0,0
Pcom.g64658,0,0,0,2,1,0,0,1,0,0,0,0,1,1,1,1
Pcom.g64659,0,2,2,0,0,0,0,1,0,0,3,0,0,0,0,0
Pcom.g64656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pcom.g64657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pcom.g64654,1,0,0,0,0,1,0,1,0,1,4,7,1,1,1,0
Pcom.g64655,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Pcom.g64652,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
Pcom.g64653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pcom.g64650,1,1,0,1,1,0,0,0,0,1,0,0,0,0,1,0
Pcom.g64651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pcom.g66243,1,1,1,1,1,0,0,0,0,0,2,3,3,2,1,0
Pcom.g66242,0,1,1,1,1,0,1,1,0,1,1,1,1,1,0,0
Pcom.g66241,2,1,1,1,2,0,0,1,1,1,2,4,3,4,2,1
Pcom.g66240,1,1,1,1,1,0,0,1,0,0,1,0,1,4,0,1
Pcom.g66247,0,1,0,1,1,0,0,1,0,0,0,0,2,2,0,1
Pcom.g66246,1,2,2,3,1,0,0,1,1,1,3,1,3,0,0,0
Pcom.g66245,1,1,0,1,1,0,0,0,2,2,1,1,2,1,0,0
Pcom.g66244,0,1,1,1,1,0,0,1,0,0,1,0,7,0,1,1
Pcom.g66249,1,1,1,1,1,0,0,0,1,1,2,2,1,1,1,1
Pcom.g66248,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1
Pcom.g09810,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pcom.g61026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
