"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Treatment_Compare"
"Acerv_evm.TU.Segkk666_pilon.8",117.272836816087,-0.226647883990732,0.232865666228943,-0.973298845042713,0.330404796310591,0.999862957260417,"CvsT3"
"Acerv_evm.TU.Segkk3416_pilon.20",86.9819716534513,0.0115825351407332,0.266523478315232,0.0434578417404333,0.965336570172633,0.999862957260417,"CvsT3"
"Acerv_evm.TU.Segkk666_pilon.3",550.716811431255,0.0936287845977334,0.151043244061218,0.619880651926317,0.53533636478817,0.999862957260417,"CvsT3"
"Acerv_evm.TU.Segkk3628_pilon.2",67.8037088727337,-0.11960763426783,0.316217422271115,-0.378244922144998,0.70524865692859,0.999862957260417,"CvsT3"
"Acerv_evm.TU.Segkk2994_pilon.9",158.601433820073,0.216738807514134,0.207045316967172,1.04681820718746,0.295183431332986,0.999862957260417,"CvsT3"
"Acerv_evm.TU.Segkk2994_pilon.5",24.3297581630232,-0.26039540250065,0.539025729756751,-0.483085292826671,0.629035176264023,0.999862957260417,"CvsT3"
"Acerv_evm.TU.Segkk2994_pilon.4",532.389515752194,0.0137186408099029,0.234293304908236,0.0585532771210683,0.953307926246114,0.999862957260417,"CvsT3"
"Acerv_evm.TU.Segkk2994_pilon.2",779.49783699736,-0.108904899640567,0.30650058930783,-0.355317097061727,0.722352048445914,0.999862957260417,"CvsT3"
"Acerv_evm.TU.Segkk2994_pilon.1",1069.53338023697,-0.1922094932044,0.599567819507222,-0.320580069427967,0.748528643346164,0.999862957260417,"CvsT3"
"Acerv_evm.TU.Segkk1900_pilon.1",183.080101526441,-0.115778559304145,0.157291540834634,-0.736076197675922,0.461684327284896,0.999862957260417,"CvsT3"
"Acerv_evm.TU.Segkk3154_pilon.8",52.9399500914144,-0.318073945436083,0.717234929406714,-0.443472469612138,0.657424027963299,0.999862957260417,"CvsT3"
"Acerv_evm.TU.Segkk3154_pilon.4",49.7155439086682,-0.0215251436972213,0.456133546367606,-0.0471904420725806,0.962361445157918,0.999862957260417,"CvsT3"
"Acerv_evm.TU.Segkk3154_pilon.7",40.7936386657917,-0.331119410393598,0.78486327105954,-0.421881648183889,0.673111405839513,0.999862957260417,"CvsT3"
"Acerv_evm.TU.Segkk3154_pilon.1",94.2048135079112,0.106793196948115,0.329065740736788,0.324534534372985,0.745533381176773,0.999862957260417,"CvsT3"
"Acerv_evm.TU.Segkk3154_pilon.3",72.6967696210101,-0.193043278800819,0.268650468775266,-0.718566692553607,0.47240794177795,0.999862957260417,"CvsT3"
"Acerv_evm.TU.Segkk2420_pilon.2",14.6549161678067,0.65753181782972,0.4206737928844,1.56304440388662,0.118042150939442,0.999862957260417,"CvsT3"
"Acerv_evm.TU.Segkk60_pilon.21",35.4611672755438,-0.195914011812246,0.432260176257613,-0.453231693718386,0.650381912746003,0.999862957260417,"CvsT3"
"Acerv_evm.TU.Segkk302_pilon.5",512.985155462143,0.0792295593807584,0.26949608618751,0.293991502814003,0.768764396386416,0.999862957260417,"CvsT3"
"Acerv_evm.TU.Segkk302_pilon.7",64.7680379294186,-0.0764955221652253,0.453344225703906,-0.168736068153181,0.866004247253644,0.999862957260417,"CvsT3"
"Acerv_evm.TU.Segkk302_pilon.1",151.619286280423,0.0212720996177717,0.199387091991481,0.106687446039288,0.915036942368864,0.999862957260417,"CvsT3"
"Acerv_evm.TU.Segkk302_pilon.9",77.9771550010746,-0.0506953799350908,0.24612598588753,-0.205973293523978,0.836811772682689,0.999862957260417,"CvsT3"
