"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Treatment_Compare"
"Acerv_evm.TU.Segkk666_pilon.8",94.7998106940364,-0.224936990474669,0.308155875048444,-0.729945487618262,0.465423506220865,0.999836295452673,"CvsT4"
"Acerv_evm.TU.Segkk3416_pilon.20",69.2181337254981,0.288750054559195,0.331990622962888,0.869753645395802,0.384435048681823,0.999836295452673,"CvsT4"
"Acerv_evm.TU.Segkk666_pilon.3",445.086606785425,0.271641555247526,0.50384298809165,0.539139298685872,0.589790740932896,0.999836295452673,"CvsT4"
"Acerv_evm.TU.Segkk3628_pilon.2",56.7010513062074,-0.231472444024039,0.30748276595548,-0.752798106602024,0.451571244733137,0.999836295452673,"CvsT4"
"Acerv_evm.TU.Segkk2994_pilon.9",129.067832395477,0.110963315864493,0.315936153142916,0.35122069684218,0.725422784136334,0.999836295452673,"CvsT4"
"Acerv_evm.TU.Segkk2994_pilon.5",23.1304108063352,0.140941906339815,0.517922579910552,0.272129294621904,0.785522605364596,0.999836295452673,"CvsT4"
"Acerv_evm.TU.Segkk2994_pilon.4",435.385359301027,0.0377093572874862,0.537628217823155,0.0701402122086719,0.944082060784201,0.999836295452673,"CvsT4"
"Acerv_evm.TU.Segkk2994_pilon.2",602.287371574589,-0.532080634971284,0.610428810092205,-0.871650594097799,0.383399020682998,0.999836295452673,"CvsT4"
"Acerv_evm.TU.Segkk2994_pilon.1",807.015020539056,-0.820623254983981,0.825938226058672,-0.993564929062487,0.320434725388921,0.999836295452673,"CvsT4"
"Acerv_evm.TU.Segkk1900_pilon.1",145.551921807241,-0.142124093964666,0.303352963662087,-0.468510649274493,0.639419457273941,0.999836295452673,"CvsT4"
"Acerv_evm.TU.Segkk3154_pilon.8",44.9505119043051,0.0117558214043119,0.883497726057297,0.0133060007486081,0.989383660707448,0.999836295452673,"CvsT4"
"Acerv_evm.TU.Segkk3154_pilon.4",38.8497749832182,-0.347635739713556,0.428867554328856,-0.810589974001596,0.417601176413456,0.999836295452673,"CvsT4"
"Acerv_evm.TU.Segkk3154_pilon.7",36.3808292610812,-0.392665041898327,0.980917524426654,-0.400303829955368,0.688932747380056,0.999836295452673,"CvsT4"
"Acerv_evm.TU.Segkk3154_pilon.1",76.635203641483,0.356202552842911,0.406968299116608,0.875258720681947,0.381433149130056,0.999836295452673,"CvsT4"
"Acerv_evm.TU.Segkk3154_pilon.3",56.6303202365814,-0.201668607215945,0.335169302177686,-0.60169175967384,0.547379336176424,0.999836295452673,"CvsT4"
"Acerv_evm.TU.Segkk2420_pilon.2",12.0544241318812,0.64104447888107,0.394985667446079,1.62295630377166,0.104598746130064,0.999836295452673,"CvsT4"
"Acerv_evm.TU.Segkk60_pilon.21",27.5746543269975,-0.211093789895388,0.419594472651852,-0.503090015846177,0.614900985962664,0.999836295452673,"CvsT4"
"Acerv_evm.TU.Segkk302_pilon.5",415.934467148332,0.234149513785514,0.582188567297446,0.402188443638545,0.687545346468035,0.999836295452673,"CvsT4"
"Acerv_evm.TU.Segkk302_pilon.7",53.3855615085757,0.60222049680187,0.510845481969733,1.17887016340012,0.238449880157932,0.999836295452673,"CvsT4"
"Acerv_evm.TU.Segkk302_pilon.1",123.038783857326,0.0350437484187427,0.315229932633494,0.11116884785014,0.911482454293484,0.999836295452673,"CvsT4"
"Acerv_evm.TU.Segkk302_pilon.9",62.2999684762324,-0.0708340556094264,0.313944666743175,-0.225625924288667,0.82149237605317,0.999836295452673,"CvsT4"
"Acerv_evm.TU.Segkk896_pilon.7",64.6356586082845,-0.105627272393796,0.355501867704495,-0.297121568097067,0.766373698553771,0.999836295452673,"CvsT4"
"Acerv_evm.TU.Segkk423_pilon.6",137.986857870284,-0.111156517821173,0.327659158004913,-0.339244349213356,0.734425662187081,0.999836295452673,"CvsT4"
"Acerv_evm.TU.Segkk3326_pilon.17",1504.56896678517,-0.127419873416857,0.768487708739327,-0.165806000496591,0.868309623777288,0.999836295452673,"CvsT4"
"Acerv_evm.TU.Segkk3326_pilon.16",91.7076658750791,0.0287140821840526,0.425337031130979,0.0675090106960621,0.946176488893911,0.999836295452673,"CvsT4"
"Acerv_evm.TU.Segkk3326_pilon.12",18.6039108314747,-0.0264561895241529,0.338508621948472,-0.0781551423177046,0.937704644064932,0.999836295452673,"CvsT4"
"Acerv_evm.TU.Segkk2335_pilon.34",15.3723935222267,0.563187831569315,0.401205570163077,1.40373881484347,0.160396639618995,0.999836295452673,"CvsT4"
"Acerv_evm.TU.Segkk2335_pilon.35",21.9759515732386,0.384810537982733,0.511362423778393,0.752520169822837,0.451738304967406,0.999836295452673,"CvsT4"
"Acerv_evm.TU.Segkk1889_pilon.1",60.6885548199075,-0.0572236708819049,0.301157721115144,-0.1900122987716,0.849299493077367,0.999836295452673,"CvsT4"
"Acerv_evm.TU.Segkk3535_pilon.1",51.8103636377105,-0.23015321759796,0.339819061457446,-0.67728165868877,0.498227265733898,0.999836295452673,"CvsT4"
"Acerv_evm.TU.Segkk923_pilon.4",52.2446970831429,-0.0132451729008816,0.316503714961151,-0.0418483963213744,0.966619554095655,0.999836295452673,"CvsT4"
"Acerv_evm.TU.Segkk2539_pilon.2",97.2238829404497,-0.253457027688147,0.430149732047607,-0.589229770019002,0.555707149317494,0.999836295452673,"CvsT4"
"Acerv_evm.TU.Segkk923_pilon.1",265.748931887444,0.144743037664069,0.43263163233929,0.334564157690981,0.737953886203877,0.999836295452673,"CvsT4"
"Acerv_evm.TU.Segkk251_pilon.2",4314.12848156353,0.21374390193349,0.941848805366967,0.226940779364487,0.820469791853505,0.999836295452673,"CvsT4"
"Acerv_evm.TU.Segkk251_pilon.3",627.205142057648,-0.181710291154263,0.567334885923717,-0.320287533276591,0.748750372805509,0.999836295452673,"CvsT4"
"Acerv_evm.TU.Segkk251_pilon.4",544.162989924503,-0.0574802758728353,0.558674468107363,-0.102886885215218,0.918052746540485,0.999836295452673,"CvsT4"
"Acerv_evm.TU.Segkk3047_pilon.20",100.305402597313,-0.185341139469087,0.516604213793998,-0.358768152717767,0.719768539147539,0.999836295452673,"CvsT4"
"Acerv_evm.TU.Segkk3047_pilon.21",175.615974470973,-0.069870284073954,0.382502559564871,-0.182666187001304,0.85505994818058,0.999836295452673,"CvsT4"
"Acerv_evm.TU.Segkk3047_pilon.25",86.9853176874986,0.0588989848249352,0.305829888679341,0.192587405630226,0.847282109130657,0.999836295452673,"CvsT4"
"Acerv_evm.TU.Segkk4037_pilon.19",137.391714441244,0.300417167923453,0.34714442441078,0.865395342106851,0.38682183667997,0.999836295452673,"CvsT4"
"Acerv_evm.TU.Segkk4037_pilon.10",60.1917228919028,0.203931105042573,0.38065436111337,0.53573825989041,0.592139457405087,0.999836295452673,"CvsT4"
"Acerv_evm.TU.Segkk4037_pilon.12",48.986501499602,-0.106522270710208,0.386540691155584,-0.275578414245998,0.782871890830641,0.999836295452673,"CvsT4"
"Acerv_evm.TU.Segkk1782_pilon.13",90.549953885448,-0.0382610202445345,0.314643014853752,-0.121601365478647,0.903214732020843,0.999836295452673,"CvsT4"
"Acerv_evm.TU.Segkk1782_pilon.15",409.813657235919,-0.167570394154921,0.515123526368423,-0.325301380304406,0.744952986299107,0.999836295452673,"CvsT4"
"Acerv_evm.TU.Segkk1782_pilon.14",585.363872651017,0.0208179565561687,0.596527819068074,0.0348985510662212,0.972160635992585,0.999836295452673,"CvsT4"
