Sample	adapter_content	Sequences flagged as poor quality	sequence_duplication_levels	avg_sequence_length	Encoding	per_base_sequence_quality	sequence_length_distribution	Sequence length	File type	basic_statistics	per_sequence_gc_content	Total Sequences	per_base_n_content	per_base_sequence_content	overrepresented_sequences	%GC	total_deduplicated_percentage	Filename	per_tile_sequence_quality	per_sequence_quality_scores
18_T33_Of_VLL	pass	0.0	fail	49.5054321629	Sanger / Illumina 1.9	pass	warn	20-50	Conventional base calls	pass	fail	6564052.0	pass	fail	fail	39.0	39.439237352	18_T33_Of_VLL.fastq.trim.fq	warn	pass
19_T33_Ac_WK	pass	0.0	warn	49.8564114495	Sanger / Illumina 1.9	pass	warn	20-50	Conventional base calls	pass	pass	19493135.0	pass	fail	pass	42.0	60.6105916544	19_T33_Ac_WK.fastq.trim.fq	warn	pass
20_T12_Mc_PWC	pass	0.0	fail	49.8685890822	Sanger / Illumina 1.9	pass	warn	20-50	Conventional base calls	pass	pass	17824242.0	pass	fail	pass	43.0	49.5648772956	20_T12_Mc_PWC.fastq.trim.fq	warn	pass
21_T33_Mc_EOU	pass	0.0	warn	49.8602072036	Sanger / Illumina 1.9	pass	warn	20-50	Conventional base calls	pass	warn	15249255.0	pass	fail	pass	46.0	58.2873457062	21_T33_Mc_EOU.fastq.trim.fq	warn	pass
24_T12_Ac_FM	pass	0.0	warn	49.8707647197	Sanger / Illumina 1.9	pass	warn	20-50	Conventional base calls	pass	pass	13569940.0	pass	fail	pass	41.0	55.4258918185	24_T12_Ac_FM.fastq.trim.fq	warn	pass
26_T12_Of_WCL	pass	0.0	fail	49.8781242499	Sanger / Illumina 1.9	pass	warn	20-50	Conventional base calls	pass	pass	13252661.0	pass	fail	warn	41.0	49.4176991641	26_T12_Of_WCL.fastq.trim.fq	warn	pass
29_T23_Mc_PND	pass	0.0	warn	49.9558517212	Sanger / Illumina 1.9	pass	warn	20-50	Conventional base calls	pass	pass	15429503.0	pass	fail	warn	43.0	52.9263113665	29_T23_Mc_PND.fastq.trim.fq	fail	pass
30_T23_Of_RPG	pass	0.0	warn	49.9602628239	Sanger / Illumina 1.9	pass	warn	20-50	Conventional base calls	pass	pass	8205037.0	pass	fail	pass	41.0	62.6490435087	30_T23_Of_RPG.fastq.trim.fq	fail	pass
31_T22_Ac_UV	pass	0.0	warn	49.9561136553	Sanger / Illumina 1.9	pass	warn	20-50	Conventional base calls	pass	pass	13262941.0	pass	fail	pass	43.0	58.1588274577	31_T22_Ac_UV.fastq.trim.fq	fail	pass
32_T22_Of_EVR	pass	0.0	warn	49.9568024591	Sanger / Illumina 1.9	pass	warn	20-50	Conventional base calls	pass	pass	12482192.0	pass	fail	pass	41.0	58.2778962707	32_T22_Of_EVR.fastq.trim.fq	fail	pass
33_T43_Mc_RFV	pass	0.0	warn	49.9429959214	Sanger / Illumina 1.9	pass	warn	20-50	Conventional base calls	pass	warn	17860108.0	pass	fail	pass	43.0	55.6711930941	33_T43_Mc_RFV.fastq.trim.fq	fail	pass
