Species,Site ,TotalGenes,FilteredGenes,DEGs,%TotalDEG,Upreg_DEGs,Downreg_DEGs,DEGs with GO terms,%DEG_GO
Acerv,FL,33322,9055,215,0.023743788,67,154,83,0.386046512
Mcav,FL,25142,12873,62,0.004816282,19,44,35,0.564516129
Ofav,FL,35971,,,,,,,
Pact,HI,,,,,,,,
Plob,HI,31126,15369,153,0.009955104,32,128,83,0.54248366
