"","X1_2","X2_2","X4_1","X4_2","X11_1","X11_2","X28_2","X31_2","X35_2","X36_2","X38_2","X39_1","X39_2","X41_1","X41_2","X42_2","X47_2"
"pdam_00015114",20,32,22,13,54,43,0,0,19,24,22,32,26,36,30,18,16
"pdam_00022941",138,119,273,252,156,137,115,0,133,97,136,360,335,272,243,130,67
"pdam_00022942",150,220,427,407,266,261,167,0,163,154,231,478,476,421,402,222,112
"pdam_00015209",97,32,194,177,220,196,87,0,184,102,121,289,268,262,224,157,191
"pdam_00019237",221,86,498,485,501,502,225,0,364,307,239,579,564,627,578,284,170
"pdam_00019232",9,6,34,27,23,16,10,0,8,9,13,16,14,29,36,15,6
"pdam_00015200",558,290,917,880,706,674,412,0,425,525,586,947,929,1344,1245,543,337
"pdam_00015202",57,26,91,95,93,81,34,0,71,49,80,117,117,164,151,71,35
"pdam_00015203",328,42,550,529,339,318,240,0,261,292,360,514,481,768,729,307,208
"pdam_00015205",42,22,74,75,70,60,23,0,39,39,45,87,76,82,80,40,37
"pdam_00015206",39,12,45,47,64,60,23,0,37,31,40,85,77,104,95,37,29
"pdam_00015207",298,122,677,618,581,525,199,0,367,242,378,730,686,743,694,316,170
"pdam_00008134",54,28,151,139,95,100,46,0,59,42,54,147,140,147,133,60,47
"pdam_00008136",96,57,169,157,118,103,90,0,96,97,110,239,226,272,244,117,65
"pdam_00008137",123,136,290,253,174,153,157,0,185,108,161,350,322,354,311,172,93
"pdam_00008130",44,7,57,51,82,80,26,0,45,47,41,90,77,107,88,50,17
"pdam_00008132",8,0,26,23,40,35,6,0,7,14,12,19,20,31,25,7,13
"pdam_00008133",79,49,161,147,184,165,44,0,113,96,143,207,182,210,184,99,62
"pdam_00008138",407,100,876,750,771,666,379,0,612,488,429,957,920,1037,912,488,325
"pdam_00008139",157,196,557,518,326,300,196,0,182,262,223,531,494,376,341,201,198
"pdam_00015972",31,36,69,73,51,45,30,0,46,51,51,82,78,94,87,62,58
"pdam_00015970",257,221,517,462,524,472,171,0,223,278,267,557,500,489,424,248,153
"pdam_00015976",618,580,1902,1697,1450,1294,910,0,932,801,686,1984,1768,1615,1406,878,528
"pdam_00015977",54,11,125,119,51,49,42,0,49,41,70,142,153,151,129,65,33
"pdam_00015974",82,19,119,100,64,96,74,0,107,84,74,106,99,133,111,98,63
"pdam_00021848",370,331,990,891,552,493,380,2,388,326,411,1042,972,899,825,445,256
"pdam_00015978",51,64,165,145,170,169,48,0,76,67,68,182,179,173,146,82,41
"pdam_00015979",257,208,584,528,531,464,228,0,293,284,308,686,620,696,611,257,163
"pdam_00018298",28,17,39,37,88,79,24,0,40,48,35,77,71,109,102,42,19
"pdam_00018299",36,15,74,68,79,79,38,0,74,58,45,89,83,164,156,55,37
"pdam_00018293",1001,607,2984,2736,2197,1998,1493,0,1032,1059,839,3119,2923,2134,1891,1265,1054
"pdam_00018294",48,34,112,96,62,66,39,0,53,45,74,97,85,148,149,63,0
"pdam_00018295",130,86,309,284,407,385,172,0,153,140,135,456,422,381,344,224,125
"pdam_00018296",112,21,200,207,237,219,80,0,107,97,100,197,195,308,277,110,62
"pdam_00018297",56,90,155,143,82,76,73,0,85,65,80,253,231,154,142,74,65
"pdam_00019240",187,192,489,442,237,227,176,0,185,168,225,610,550,456,401,251,173
"pdam_00015296",21,43,57,53,42,38,9,0,27,31,33,62,64,52,49,26,18
"pdam_00015293",511,178,1296,1171,1614,1465,471,0,1036,653,452,1304,1217,1361,1194,675,459
"pdam_00015292",204,61,450,415,486,468,133,0,297,232,224,510,488,597,508,206,137
"pdam_00015115",12,26,25,25,38,33,11,0,12,20,14,21,19,23,11,19,18
"pdam_00013226",120,35,191,171,259,239,85,1,149,98,125,279,272,222,201,117,77
"pdam_00013227",158,48,323,275,364,311,103,0,193,176,179,439,395,445,408,190,127
"pdam_00013222",1025,462,2195,2044,1408,1299,910,0,928,1000,1130,2204,2062,2125,1911,967,638
"pdam_00016103",216,57,576,566,124,114,177,0,215,90,215,415,371,371,345,228,65
"pdam_00012245",162,116,487,436,579,432,103,0,255,368,281,442,394,529,412,272,210
"pdam_00012244",412,250,1323,1212,1349,1282,284,0,642,810,615,1110,1040,1214,1125,612,396
"pdam_00012247",45,91,118,110,140,122,42,0,73,67,50,148,138,128,121,94,75
"pdam_00012241",271,83,537,500,423,403,148,0,244,182,286,512,475,588,553,246,130
"pdam_00012249",505,193,1191,1089,1570,1460,451,0,840,562,536,1284,1187,1432,1287,648,347
"pdam_00011688",185,207,455,396,406,352,168,0,219,279,226,427,383,521,452,272,169
"pdam_00011689",148,239,298,260,88,80,143,0,75,124,236,183,178,354,325,160,99
"pdam_00008325",180,29,293,286,429,374,118,0,305,207,221,362,375,516,449,290,148
"pdam_00011683",42,23,67,62,64,53,32,0,30,48,39,71,61,46,43,48,33
"pdam_00011684",52,13,84,81,78,72,30,0,61,67,95,103,97,150,142,72,59
"pdam_00011685",56,30,123,121,97,94,25,0,81,74,51,115,111,157,133,74,52
"pdam_00011686",100,65,287,253,238,208,82,0,82,101,132,266,247,280,259,128,71
"pdam_00011687",6,6,8,5,16,18,6,0,9,12,12,28,36,21,21,11,6
"pdam_00023700",343,115,759,683,991,904,270,0,496,430,314,780,730,932,855,383,229
"pdam_00023702",96,87,213,201,285,254,54,0,125,104,102,255,238,272,244,121,106
"pdam_00023703",45,55,20,20,80,84,19,0,27,37,38,113,105,115,111,49,31
"pdam_00006679",56,17,67,79,71,73,23,0,41,53,89,96,93,109,111,40,36
"pdam_00006671",13,7,24,26,26,24,13,0,8,12,15,33,34,37,36,11,4
"pdam_00006673",13,7,34,32,16,18,4,0,6,14,8,41,37,16,15,8,13
"pdam_00006675",177,91,929,854,384,318,159,0,228,168,195,594,547,427,415,278,222
"pdam_00006677",52,26,96,74,91,80,53,0,72,49,65,160,148,149,137,69,35
