Names	total	elements
Acerv Mcap Mcav	1	GO:0048643
Mcap Mcav Pacuta	1	GO:0032218
Mcap Pacuta Plob	1	GO:0007017
Acerv Mcav	11	GO:1902731
		GO:1901890
		GO:2000619
		GO:0044854
		GO:0071360
		GO:0001550
		GO:0035023
		GO:0036120
		GO:0015966
		GO:1902043
		GO:0051580
Acerv Ofav	2	GO:0002063
		GO:0009967
Acerv Mcap	1	GO:1904179
Acerv Pacuta	5	GO:0030277
		GO:0016055
		GO:0006777
		GO:0072038
		GO:0009267
Acerv Plob	2	GO:0045944
		GO:0006346
Mcap Mcav	4	GO:0003223
		GO:0010917
		GO:0060041
		GO:0010976
Mcav Pacuta	2	GO:0097065
		GO:0007398
Mcav Plob	3	GO:0007525
		GO:1901888
		GO:0071900
Ofav Pacuta	1	GO:0050896
Mcap Pacuta	20	GO:0055114
		GO:0046903
		GO:0048265
		GO:0015670
		GO:0032849
		GO:2001150
		GO:0009268
		GO:0045672
		GO:2001225
		GO:0007157
		GO:0038166
		GO:0051091
		GO:0014823
		GO:2000850
		GO:0035794
		GO:0045780
		GO:0009785
		GO:0035116
		GO:0033762
		GO:0071300
Pacuta Plob	11	GO:2000044
		GO:0000578
		GO:0071476
		GO:0021999
		GO:0042752
		GO:0044335
		GO:0014036
		GO:0060061
		GO:0001654
		GO:0003197
		GO:0048568
Acerv	256	GO:0032088
		GO:0010759
		GO:0010506
		GO:0009629
		GO:0031393
		GO:0002165
		GO:0048806
		GO:0071035
		GO:1902523
		GO:0000183
		GO:0060907
		GO:0008258
		GO:0050955
		GO:1904644
		GO:0046373
		GO:0032071
		GO:0072584
		GO:0051574
		GO:0006954
		GO:0006952
		GO:0040019
		GO:0043282
		GO:0045087
		GO:0000398
		GO:0023056
		GO:0006367
		GO:0002227
		GO:0010082
		GO:0050872
		GO:0001934
		GO:1902176
		GO:0018193
		GO:1904648
		GO:1902570
		GO:0007610
		GO:0033365
		GO:0006269
		GO:0016045
		GO:0008362
		GO:0043972
		GO:0002280
		GO:0034983
		GO:0030213
		GO:0030207
		GO:2000481
		GO:0002574
		GO:0006664
		GO:1905246
		GO:0097168
		GO:1903445
		GO:0009452
		GO:0070849
		GO:0007591
		GO:0032728
		GO:1902216
		GO:0010744
		GO:0035271
		GO:0072107
		GO:0032324
		GO:0030878
		GO:0010046
		GO:0060440
		GO:0072095
		GO:0006996
		GO:0009909
		GO:0048453
		GO:0060333
		GO:0001744
		GO:0030422
		GO:0097553
		GO:0014858
		GO:0070857
		GO:0044092
		GO:0002925
		GO:0033339
		GO:0051097
		GO:0009792
		GO:2000111
		GO:0071224
		GO:0033554
		GO:1903220
		GO:0060336
		GO:0070900
		GO:0043552
		GO:0001953
		GO:0048367
		GO:0035356
		GO:0002253
		GO:1902531
		GO:0006965
		GO:0006887
		GO:0000055
		GO:0048827
		GO:1904373
		GO:0001818
		GO:1902166
		GO:0070887
		GO:0035812
		GO:0071303
		GO:0045444
		GO:0048215
		GO:0071356
		GO:0071347
		GO:0000720
		GO:0036359
		GO:0071985
		GO:0035147
		GO:0071441
		GO:0044344
		GO:0022603
		GO:0050679
		GO:0061308
		GO:1904645
		GO:0006606
		GO:0045590
		GO:1903772
		GO:0060548
		GO:0006638
		GO:1902732
		GO:0050804
		GO:0042531
		GO:0034381
		GO:0045348
		GO:0040013
		GO:0090170
		GO:0048477
		GO:0003337
		GO:2000655
		GO:0010338
		GO:0051607
		GO:0007501
		GO:0072137
		GO:0075732
		GO:0070925
		GO:1905776
		GO:0010647
		GO:0030214
		GO:0010629
		GO:0042274
		GO:0007611
		GO:0032456
		GO:0060627
		GO:0002606
		GO:0010886
		GO:0034391
		GO:0071034
		GO:0038127
		GO:0060291
		GO:0001938
		GO:0032269
		GO:0002821
		GO:0010951
		GO:0032740
		GO:0044154
		GO:0036261
		GO:1904872
		GO:0001746
		GO:1900113
		GO:0043518
		GO:0070431
		GO:0048538
		GO:1904638
		GO:0046477
		GO:0045014
		GO:0045596
		GO:0071639
		GO:0030308
		GO:0009247
		GO:0060324
		GO:1904893
		GO:0072161
		GO:0010875
		GO:0043330
		GO:0000412
		GO:0016074
		GO:0010358
		GO:0048440
		GO:1902915
		GO:0048443
		GO:0035358
		GO:0010466
		GO:1900106
		GO:0019985
		GO:0090022
		GO:0120041
		GO:0001763
		GO:0014857
		GO:0090312
		GO:0007030
		GO:1901698
		GO:0071048
		GO:2000774
		GO:0071493
		GO:0051152
		GO:0034124
		GO:0045785
		GO:0071225
		GO:0032498
		GO:0031398
		GO:0010883
		GO:0030278
		GO:0006915
		GO:1901842
		GO:0000463
		GO:0006642
		GO:0050961
		GO:0070371
		GO:2000697
		GO:0051382
		GO:1900208
		GO:0048935
		GO:0007390
		GO:0090400
		GO:0021537
		GO:0035811
		GO:0010154
		GO:0006398
		GO:2000110
		GO:1990417
		GO:0060125
		GO:0048542
		GO:0009933
		GO:0042330
		GO:0042595
		GO:0050731
		GO:0010955
		GO:0080134
		GO:0032330
		GO:0061051
		GO:0010847
		GO:0097242
		GO:0060074
		GO:0007458
		GO:0030162
		GO:0032240
		GO:0050907
		GO:2001161
		GO:1902957
		GO:0043328
		GO:2000614
		GO:0001675
		GO:0002732
		GO:1902624
		GO:2000363
		GO:0032701
		GO:0032386
		GO:0120036
		GO:0042391
		GO:0051050
		GO:0002830
		GO:0010305
		GO:0050871
		GO:0072697
		GO:0048585
		GO:0060585
		GO:1901416
Mcav	136	GO:0033227
		GO:0048009
		GO:0010811
		GO:1904414
		GO:0002315
		GO:0003272
		GO:1903706
		GO:0051562
		GO:0060284
		GO:0050975
		GO:0000422
		GO:0006703
		GO:0045937
		GO:0070509
		GO:0080144
		GO:0034116
		GO:0016032
		GO:0002090
		GO:0010634
		GO:0090298
		GO:0039521
		GO:1990504
		GO:0070257
		GO:0010862
		GO:0075044
		GO:0003183
		GO:0071902
		GO:0071455
		GO:0099638
		GO:0014032
		GO:0051280
		GO:1902895
		GO:0061312
		GO:0099703
		GO:0034141
		GO:0034614
		GO:0060914
		GO:0030587
		GO:0035912
		GO:0032230
		GO:0001880
		GO:0061028
		GO:0061626
		GO:0009411
		GO:0040024
		GO:0006426
		GO:0010499
		GO:0060350
		GO:0097428
		GO:0014912
