Names	total	elements
M.cavernosa P.acuta P.lobata	1	GO:0005912
A.cervicornis M.cavernosa	2	GO:1990712
		GO:0044291
A.cervicornis O.faveolata	1	GO:0071944
A.cervicornis P.acuta	1	GO:0031966
A.cervicornis P.lobata	1	GO:0070652
M.capitata M.cavernosa	2	GO:0005769
		GO:0000786
M.cavernosa P.lobata	2	GO:0030027
		GO:0071817
M.capitata P.acuta	1	GO:0097381
P.acuta P.lobata	1	GO:0005576
A.cervicornis	29	GO:0034362
		GO:0031143
		GO:0043657
		GO:0000814
		GO:0000438
		GO:0036117
		GO:0000439
		GO:0043204
		GO:0005658
		GO:0000145
		GO:0005834
		GO:0098588
		GO:0035098
		GO:0048179
		GO:0008180
		GO:0000793
		GO:0005669
		GO:0005770
		GO:0005642
		GO:0098793
		GO:0030687
		GO:0019008
		GO:0140268
		GO:0032299
		GO:0033553
		GO:0070776
		GO:0036477
		GO:0001533
		GO:0005794
M.cavernosa	14	GO:0009897
		GO:0000502
		GO:0071203
		GO:0099523
		GO:0097361
		GO:0009277
		GO:0001931
		GO:0043226
		GO:0009505
		GO:1990111
		GO:0016600
		GO:0001772
		GO:0098691
		GO:0048046
O.faveolata	2	GO:0005622
		GO:0009941
M.capitata	37	GO:0070369
		GO:0005771
		GO:0045177
		GO:0044232
		GO:0031252
		GO:0098797
		GO:0000276
		GO:0030427
		GO:0005902
		GO:0097356
		GO:0046696
		GO:0045261
		GO:0005916
		GO:0045121
		GO:0022625
		GO:0016012
		GO:0000274
		GO:1990711
		GO:0005789
		GO:1990124
		GO:0030424
		GO:0031002
		GO:0016342
		GO:0031985
		GO:0005726
		GO:0045298
		GO:0042588
		GO:0036057
		GO:0005962
		GO:0035060
		GO:0031528
		GO:0010494
		GO:0017177
		GO:0005749
		GO:0120219
		GO:0042788
		GO:0099056
P.acuta	21	GO:0110165
		GO:0061671
		GO:0032476
		GO:0005739
		GO:0005927
		GO:0090740
		GO:0048770
		GO:0042587
		GO:0062023
		GO:0070069
		GO:0031314
		GO:0032592
		GO:0000164
		GO:0000792
		GO:0009507
		GO:0016323
		GO:0005615
		GO:0032154
		GO:0097189
		GO:0097631
		GO:0042622
P.lobata	26	GO:0089701
		GO:0005675
		GO:0005721
		GO:0097125
		GO:0032433
		GO:0030686
		GO:0071013
		GO:0097136
		GO:0036126
		GO:0008623
		GO:0031262
		GO:0031209
		GO:0016590
		GO:0016589
		GO:0005827
		GO:0005575
		GO:0098975
		GO:1990752
		GO:0000112
		GO:0031213
		GO:0072686
		GO:0071005
		GO:0034998
		GO:0005689
		GO:0034693
		GO:0005760
