Names	total	elements
A.cervicornis M.capitata P.acuta	1	GO:0004089
M.capitata M.cavernosa P.acuta	1	GO:0032217
A.cervicornis M.cavernosa	2	GO:0005025
		GO:0098821
A.cervicornis M.capitata	1	GO:0045294
M.capitata M.cavernosa	2	GO:0008137
		GO:0009055
M.cavernosa P.acuta	2	GO:0050660
		GO:0008641
M.capitata P.acuta	7	GO:0003725
		GO:0009882
		GO:0071949
		GO:0020037
		GO:0004064
		GO:0016829
		GO:0005200
P.acuta P.lobata	1	GO:0004713
A.cervicornis	50	GO:0097657
		GO:0052834
		GO:0035064
		GO:0008254
		GO:0050379
		GO:0032555
		GO:0003968
		GO:0019966
		GO:0016361
		GO:0045322
		GO:0070403
		GO:0046556
		GO:0001784
		GO:0004415
		GO:0010698
		GO:0005543
		GO:0032500
		GO:0047485
		GO:0004165
		GO:0050694
		GO:0043422
		GO:0005161
		GO:0016247
		GO:0001595
		GO:0001733
		GO:0030544
		GO:0089720
		GO:1990254
		GO:0050501
		GO:0016251
		GO:0003690
		GO:0030366
		GO:0046969
		GO:0003723
		GO:0005001
		GO:0034711
		GO:0062063
		GO:0052381
		GO:0016929
		GO:0016034
		GO:0030234
		GO:0071164
		GO:0050700
		GO:0070097
		GO:0042834
		GO:0051879
		GO:0030169
		GO:0047464
		GO:0004532
		GO:0005381
M.cavernosa	32	GO:0005085
		GO:0005542
		GO:0052901
		GO:0004698
		GO:0015299
		GO:0035276
		GO:0099635
		GO:0019001
		GO:0005545
		GO:0035255
		GO:0004820
		GO:0016805
		GO:0052904
		GO:0019778
		GO:0004081
		GO:0030546
		GO:0036122
		GO:0016504
		GO:0052903
		GO:0019779
		GO:0008519
		GO:0003785
		GO:0004370
		GO:0047865
		GO:0004699
		GO:0004675
		GO:0019211
		GO:0052894
		GO:0043167
		GO:0046592
		GO:0005244
		GO:0036094
O.faveolata	3	GO:0071944
		GO:0005622
		GO:0009941
M.capitata	53	GO:0016524
		GO:0033764
		GO:0050577
		GO:0008171
		GO:0015078
		GO:0036469
		GO:0022853
		GO:0016922
		GO:0001069
		GO:0008970
		GO:0033679
		GO:0050459
		GO:0051538
		GO:1990518
		GO:0003904
		GO:0034186
		GO:0033919
		GO:0008177
		GO:0035374
		GO:0034185
		GO:0008494
		GO:0004607
		GO:0042356
		GO:0050839
		GO:1904680
		GO:0140030
		GO:0004768
		GO:0008716
		GO:0004449
		GO:0008143
		GO:0030331
		GO:0003730
		GO:0042301
		GO:0004013
		GO:0047918
		GO:0052689
		GO:0008201
		GO:0046933
		GO:0004609
		GO:0048039
		GO:0045142
		GO:0015216
		GO:0019534
		GO:0051539
		GO:0047179
		GO:0008035
		GO:0008266
		GO:0042923
		GO:0005436
		GO:1901682
		GO:0019894
		GO:1905172
		GO:0016807
P.acuta	114	GO:0008199
		GO:0042054
		GO:0004497
		GO:0008534
		GO:0004414
		GO:0009881
		GO:0008806
		GO:0120020
		GO:0008495
		GO:0005109
		GO:0046920
		GO:0000170
		GO:0061604
		GO:0102395
		GO:0042284
		GO:0008834
		GO:0043177
		GO:0016799
		GO:0009001
		GO:2001069
		GO:0045549
		GO:0004499
		GO:0052923
		GO:0031723
		GO:0008503
		GO:0019104
		GO:0016859
		GO:0039706
		GO:0062183
		GO:0106256
		GO:0005125
		GO:0008899
		GO:0008127
		GO:0050054
		GO:0080102
		GO:0101020
		GO:0080107
		GO:0016783
		GO:0016840
		GO:0008417
		GO:0038062
		GO:0015218
		GO:0004322
		GO:0004733
		GO:0044540
		GO:0004792
		GO:0102162
		GO:0097269
		GO:0000035
		GO:0003824
		GO:0005488
		GO:0010436
		GO:0001972
		GO:0008117
		GO:0042292
		GO:0008558
		GO:0050334
		GO:0016638
		GO:0005102
		GO:0016750
		GO:0030170
		GO:0004714
		GO:0003906
		GO:0003868
		GO:0042907
		GO:0031132
		GO:0046573
		GO:0008113
		GO:0140211
		GO:0050347
		GO:0080103
		GO:0080106
		GO:0005497
		GO:0004879
		GO:0042131
		GO:0008681
		GO:0047734
		GO:1902379
		GO:0018024
		GO:0022821
		GO:0004121
		GO:0005502
		GO:0046975
		GO:0005528
		GO:0016531
		GO:0016653
		GO:1905948
		GO:0016491
		GO:0102355
		GO:0101021
		GO:0042800
		GO:0080146
		GO:0004311
		GO:0080105
		GO:0004601
		GO:0140078
		GO:0000036
		GO:0003943
		GO:0010844
		GO:0080104
		GO:0004421
		GO:0008020
		GO:0048018
		GO:0050196
		GO:0102306
		GO:0016846
		GO:0061605
		GO:0008663
		GO:0003755
		GO:0004123
		GO:0016701
		GO:0015208
		GO:0000010
		GO:0016712
P.lobata	49	GO:0004672
		GO:0030332
		GO:0005003
		GO:0016647
		GO:0016780
		GO:0005537
		GO:0019215
		GO:0005005
		GO:0001872
		GO:0004305
		GO:0005452
		GO:0071933
		GO:0046715
		GO:0035173
		GO:1990935
		GO:0001729
		GO:0015431
		GO:0005004
		GO:0005112
		GO:0003700
		GO:0002020
		GO:0008467
		GO:0043139
		GO:0097371
		GO:0016890
		GO:0030291
		GO:0031208
		GO:0004563
		GO:0005372
		GO:0005524
		GO:0009019
		GO:0004571
		GO:0004307
		GO:0015106
		GO:0015432
		GO:0051724
		GO:0015252
		GO:0008046
		GO:0042887
		GO:0015226
		GO:0004673
		GO:0003674
		GO:1902945
		GO:0003884
		GO:0047710
		GO:0051434
		GO:0030628
		GO:0097161
		GO:0008297
