Names	total	elements
A.cervicornis M.cavernosa P.acuta P.lobata	1	OG0000414
A.cervicornis M.capitata P.acuta P.lobata	2	OG0000487
		OG0000469
A.cervicornis O.faveolata P.lobata	1	OG0000000
A.cervicornis M.capitata P.acuta	1	OG0007132
A.cervicornis M.capitata P.lobata	2	OG0000221
		OG0000008
M.capitata P.acuta P.lobata	2	OG0000960
		OG0000194
A.cervicornis M.cavernosa	1	OG0001072
A.cervicornis M.capitata	2	OG0006755
		OG0000003
A.cervicornis P.acuta	3	OG0000989
		OG0003466
		OG0000127
A.cervicornis P.lobata	1	OG0000491
M.cavernosa P.acuta	1	OG0000121
O.faveolata P.lobata	1	OG0000888
M.capitata P.acuta	3	OG0009134
		OG0001196
		OG0013201
M.capitata P.lobata	1	OG0000263
P.acuta P.lobata	1	OG0000605
A.cervicornis	88	OG0002427
		OG0012158
		OG0004255
		OG0004604
		OG0002134
		OG0008234
		OG0007349
		OG0008945
		OG0002904
		OG0013433
		OG0000882
		OG0006571
		OG0007378
		OG0001506
		OG0001930
		OG0002830
		OG0000826
		OG0008220
		OG0003715
		OG0011932
		OG0000001
		OG0001298
		OG0000090
		OG0000557
		OG0004978
		OG0003084
		OG0009461
		OG0000124
		OG0004605
		OG0011843
		OG0000272
		OG0002101
		OG0001859
		OG0004944
		OG0008561
		OG0006445
		OG0005897
		OG0001272
		OG0012911
		OG0005597
		OG0008302
		OG0002315
		OG0002171
		OG0007569
		OG0000030
		OG0003060
		OG0002238
		OG0001386
		OG0011630
		OG0001808
		OG0004553
		OG0000138
		OG0011825
		OG0006092
		OG0000355
		OG0008062
		OG0008921
		OG0007101
		OG0000767
		OG0012393
		OG0005604
		OG0000015
		OG0001274
		OG0000850
		OG0011685
		OG0013114
		OG0012773
		OG0004326
		OG0000464
		OG0004834
		OG0000445
		OG0001874
		OG0001570
		OG0002149
		OG0000990
		OG0001711
		OG0011190
		OG0001757
		OG0000865
		OG0008019
		OG0005579
		OG0003132
		OG0001387
		OG0000135
		OG0006386
		OG0012391
		OG0001073
		OG0002527
M.cavernosa	25	OG0003557
		OG0000164
		OG0010186
		OG0003181
		OG0002677
		OG0000741
		OG0003987
		OG0000370
		OG0001393
		OG0005778
		OG0000867
		OG0005656
		OG0000948
		OG0003177
		OG0000854
		OG0005584
		OG0010282
		OG0010016
		OG0013132
		OG0008851
		OG0006114
		OG0013205
		OG0012435
		OG0004374
		OG0000516
M.capitata	67	OG0002467
		OG0001287
		OG0006367
		OG0000623
		OG0000608
		OG0010205
		OG0007229
		OG0002737
		OG0011354
		OG0000806
		OG0007322
		OG0008907
		OG0001910
		OG0003887
		OG0007679
		OG0010623
		OG0000424
		OG0005547
		OG0000048
		OG0007769
		OG0013535
		OG0001081
		OG0002039
		OG0000923
		OG0008166
		OG0001070
		OG0002028
		OG0000213
		OG0011243
		OG0009538
		OG0006770
		OG0010588
		OG0002906
		OG0003152
		OG0000500
		OG0010326
		OG0010475
		OG0004166
		OG0011091
		OG0013703
		OG0001049
		OG0009131
		OG0001295
		OG0011124
		OG0000177
		OG0013300
		OG0004023
		OG0011830
		OG0001155
		OG0002422
		OG0006811
		OG0007919
		OG0007403
		OG0009143
		OG0004156
		OG0001291
		OG0011949
		OG0003431
		OG0002305
		OG0006746
		OG0006603
		OG0004155
		OG0002575
		OG0006382
		OG0000027
		OG0006597
		OG0000392
P.acuta	86	OG0007310
		OG0003976
		OG0000223
		OG0010255
		OG0001364
		OG0001296
		OG0008322
		OG0001273
		OG0001575
		OG0012725
		OG0004504
		OG0006523
		OG0001696
		OG0007456
		OG0007608
		OG0010879
		OG0001309
		OG0001942
		OG0012195
		OG0013020
		OG0007982
		OG0000784
		OG0005595
		OG0004642
		OG0001340
		OG0002222
		OG0010185
		OG0003268
		OG0007099
		OG0012167
		OG0002538
		OG0010153
		OG0005501
		OG0009287
		OG0000505
		OG0001977
		OG0001248
		OG0012148
		OG0000382
		OG0001403
		OG0000344
		OG0001367
		OG0012706
		OG0004372
		OG0000872
		OG0003246
		OG0006401
		OG0001238
		OG0007634
		OG0001880
		OG0006718
		OG0013359
		OG0011548
		OG0007958
		OG0005988
		OG0000805
		OG0006553
		OG0001602
		OG0010541
		OG0010322
		OG0012168
		OG0002026
		OG0012582
		OG0007476
		OG0013318
		OG0000527
		OG0013212
		OG0000498
		OG0003901
		OG0006298
		OG0001388
		OG0002471
		OG0001342
		OG0011436
		OG0000188
		OG0010914
		OG0001141
		OG0009442
		OG0002355
		OG0008765
		OG0000028
		OG0001186
		OG0010411
		OG0004726
		OG0001497
		OG0000576
P.lobata	44	OG0001189
		OG0006209
		OG0002897
		OG0001036
		OG0000082
		OG0001092
		OG0008669
		OG0000280
		OG0003195
		OG0004312
		OG0000575
		OG0000115
		OG0002706
		OG0012244
		OG0000394
		OG0001487
		OG0000250
		OG0000013
		OG0013436
		OG0003238
		OG0000007
		OG0000306
		OG0000187
		OG0000229
		OG0004405
		OG0000178
		OG0000423
		OG0000180
		OG0004731
		OG0002723
		OG0013715
		OG0000060
		OG0000038
		OG0003587
		OG0000295
		OG0002213
		OG0003190
		OG0002055
		OG0000240
		OG0001227
		OG0001593
		OG0004472
		OG0000446
		OG0005006
