"","x"
"1","OG0001072"
"2","OG0003177"
"3","OG0000741"
"4","OG0005778"
"5","OG0003987"
"6","OG0000164"
"7","OG0005584"
"8","OG0000867"
"9","OG0013205"
"10","OG0010186"
"11","OG0000854"
"12","OG0000121"
"13","OG0005656"
"14","OG0010282"
"15","OG0002677"
"16","OG0000948"
"17","OG0001393"
"18","OG0003557"
"19","OG0010016"
"20","OG0003181"
"21","OG0013132"
"22","OG0004374"
"23","OG0012435"
"24","OG0006114"
"25","OG0000414"
"26","OG0008851"
"27","OG0000516"
"28","OG0000370"
