Orthogroup	Acerv_assembly_v1.0.protein	GCF_002042975.1_ofav_dov_v1_protein	Mcavernosa.maker.proteins	Pocillopora_acuta_HIv1.genes.pep	plut2v1.1.proteins	Total
OG0000000	30	66	3	17	63	179
OG0000001	66	25	2	1	72	166
OG0000002	29	33	0	6	65	133
OG0000003	26	24	3	38	37	128
OG0000004	10	39	6	14	46	115
OG0000005	15	18	3	6	68	110
OG0000006	19	17	4	32	35	107
OG0000007	47	6	3	8	41	105
OG0000008	27	20	2	25	25	99
OG0000009	25	13	4	12	45	99
OG0000010	7	46	3	3	38	97
OG0000011	63	4	20	5	1	93
OG0000012	20	30	1	7	29	87
OG0000013	41	4	9	4	27	85
OG0000014	27	8	4	3	40	82
OG0000015	5	25	5	9	36	80
OG0000016	16	10	3	44	6	79
OG0000017	38	3	6	14	16	77
OG0000018	40	5	13	12	6	76
OG0000019	8	8	0	13	47	76
OG0000020	29	4	5	34	2	74
OG0000021	23	21	2	2	25	73
OG0000022	57	2	3	5	5	72
OG0000023	41	1	0	3	27	72
OG0000024	17	27	0	0	27	71
OG0000025	12	19	7	3	30	71
OG0000026	13	18	2	7	31	71
OG0000027	20	21	5	3	21	70
OG0000028	8	32	1	2	25	68
OG0000029	12	15	7	11	23	68
OG0000030	8	13	29	10	7	67
OG0000031	5	10	5	6	41	67
OG0000032	26	11	2	4	22	65
OG0000033	27	4	0	10	24	65
OG0000034	24	16	0	0	24	64
OG0000035	7	15	13	11	18	64
OG0000036	9	14	10	8	22	63
OG0000037	20	18	0	2	22	62
OG0000038	15	1	1	35	10	62
OG0000039	8	0	7	5	42	62
OG0000040	2	12	0	28	20	62
OG0000041	3	17	13	12	17	62
OG0000042	6	25	0	1	30	62
OG0000043	6	18	3	15	19	61
OG0000044	24	9	7	11	10	61
OG0000045	22	15	3	18	2	60
OG0000046	14	21	0	4	21	60
OG0000047	43	2	4	7	4	60
OG0000048	19	13	1	3	24	60
OG0000049	32	3	4	16	4	59
OG0000050	33	5	0	5	16	59
OG0000051	9	3	1	9	37	59
OG0000052	22	17	0	12	7	58
OG0000053	6	24	3	12	13	58
OG0000054	36	2	4	6	9	57
OG0000055	11	19	2	8	17	57
OG0000056	23	6	3	18	7	57
OG0000057	9	2	1	12	32	56
