	Acerv_assembly_v1.0.protein	GCF_002042975.1_ofav_dov_v1_protein	Mcavernosa.maker.proteins	Pocillopora_acuta_HIv1.genes.pep	plut2v1.1.proteins
Number of genes	33322	32587	25142	38913	31126
Number of genes in orthogroups	25811	28459	20965	31390	24644
Number of unassigned genes	7511	4128	4177	7523	6482
Percentage of genes in orthogroups	77.5	87.3	83.4	80.7	79.2
Percentage of unassigned genes	22.5	12.7	16.6	19.3	20.8
Number of orthogroups containing species	15100	16196	14584	16419	15657
Percentage of orthogroups containing species	77.7	83.3	75.0	84.5	80.6
Number of species-specific orthogroups	44	15	30	91	33
Number of genes in species-specific orthogroups	191	53	105	482	179
Percentage of genes in species-specific orthogroups	0.6	0.2	0.4	1.2	0.6


Number of genes per-species in orthogroup	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups
'0	4334	3238	4850	3015	3777
'1	11877	10446	11195	9764	12647
'2	1656	3301	2090	3939	1586
'3	546	1148	642	1150	581
'4	272	564	292	564	241
'5	159	286	144	312	144
'6	108	150	82	190	111
'7	80	71	48	129	73
'8	68	57	33	86	36
'9	61	37	14	61	37
'10	31	30	18	44	41
11-15	116	60	19	117	77
16-20	58	27	6	43	30
21-50	65	18	1	20	49
51-100	3	1	0	0	4
101-150	0	0	0	0	0
151-200	0	0	0	0	0
201-500	0	0	0	0	0
501-1000	0	0	0	0	0
'1001+	0	0	0	0	0

Number of genes per-species in orthogroup	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups
'0	22.3	16.7	25.0	15.5	19.4
'1	61.1	53.8	57.6	50.2	65.1
'2	8.5	17.0	10.8	20.3	8.2
'3	2.8	5.9	3.3	5.9	3.0
'4	1.4	2.9	1.5	2.9	1.2
'5	0.8	1.5	0.7	1.6	0.7
'6	0.6	0.8	0.4	1.0	0.6
'7	0.4	0.4	0.2	0.7	0.4
'8	0.3	0.3	0.2	0.4	0.2
'9	0.3	0.2	0.1	0.3	0.2
'10	0.2	0.2	0.1	0.2	0.2
11-15	0.6	0.3	0.1	0.6	0.4
16-20	0.3	0.1	0.0	0.2	0.2
21-50	0.3	0.1	0.0	0.1	0.3
51-100	0.0	0.0	0.0	0.0	0.0
101-150	0.0	0.0	0.0	0.0	0.0
151-200	0.0	0.0	0.0	0.0	0.0
201-500	0.0	0.0	0.0	0.0	0.0
501-1000	0.0	0.0	0.0	0.0	0.0
'1001+	0.0	0.0	0.0	0.0	0.0

Number of genes per-species in orthogroup	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes
'0	0	0	0	0	0
'1	11877	10446	11195	9764	12647
'2	3312	6602	4180	7878	3172
'3	1638	3444	1926	3450	1743
'4	1088	2256	1168	2256	964
'5	795	1430	720	1560	720
'6	648	900	492	1140	666
'7	560	497	336	903	511
'8	544	456	264	688	288
'9	549	333	126	549	333
'10	310	300	180	440	410
11-15	1455	759	246	1457	960
16-20	1035	478	103	754	540
21-50	1814	492	29	551	1422
51-100	186	66	0	0	268
101-150	0	0	0	0	0
151-200	0	0	0	0	0
201-500	0	0	0	0	0
501-1000	0	0	0	0	0
'1001+	0	0	0	0	0

Number of genes per-species in orthogroup	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes
'0	0.0	0.0	0.0	0.0	0.0
'1	35.6	32.1	44.5	25.1	40.6
'2	9.9	20.3	16.6	20.2	10.2
'3	4.9	10.6	7.7	8.9	5.6
'4	3.3	6.9	4.6	5.8	3.1
'5	2.4	4.4	2.9	4.0	2.3
'6	1.9	2.8	2.0	2.9	2.1
'7	1.7	1.5	1.3	2.3	1.6
'8	1.6	1.4	1.1	1.8	0.9
'9	1.6	1.0	0.5	1.4	1.1
'10	0.9	0.9	0.7	1.1	1.3
11-15	4.4	2.3	1.0	3.7	3.1
16-20	3.1	1.5	0.4	1.9	1.7
21-50	5.4	1.5	0.1	1.4	4.6
51-100	0.6	0.2	0.0	0.0	0.9
101-150	0.0	0.0	0.0	0.0	0.0
151-200	0.0	0.0	0.0	0.0	0.0
201-500	0.0	0.0	0.0	0.0	0.0
501-1000	0.0	0.0	0.0	0.0	0.0
'1001+	0.0	0.0	0.0	0.0	0.0
