"","gene_id","Orthogroup","Species"
"32","Acerv_evm.TU.Segkk1732_pilon.65","OG0000277","A.cervicornis"
"33","Acerv_evm.TU.Segkk1774_pilon.15","OG0001272","A.cervicornis"
"34","Acerv_evm.TU.Segkk1777_pilon.32","OG0004605","A.cervicornis"
"35","Acerv_evm.TU.Segkk1779_pilon.5","OG0001274","A.cervicornis"
"36","Acerv_evm.TU.Segkk1793_pilon.1","OG0001129","A.cervicornis"
"37","Acerv_evm.TU.Segkk1795_pilon.7","OG0014806","A.cervicornis"
"38","Acerv_evm.TU.Segkk1822_pilon.2","OG0003060","A.cervicornis"
"39","Acerv_evm.TU.Segkk1851_pilon.3","OG0000000","A.cervicornis"
"40","Acerv_evm.TU.Segkk1858_pilon.11","OG0008234","A.cervicornis"
"41","Acerv_evm.TU.Segkk1883_pilon.14","OG0004635","A.cervicornis"
"42","Acerv_evm.TU.Segkk1895_pilon.6","OG0011630","A.cervicornis"
"43","Acerv_evm.TU.Segkk19_pilon.21","OG0007101","A.cervicornis"
"44","Acerv_evm.TU.Segkk1929_pilon.4","OG0006092","A.cervicornis"
"45","Acerv_evm.TU.Segkk1945_pilon.2","OG0014563","A.cervicornis"
"46","Acerv_evm.TU.Segkk1947_pilon.7","OG0008301","A.cervicornis"
"47","Acerv_evm.TU.Segkk1982_pilon.11","OG0002238","A.cervicornis"
"48","Acerv_evm.TU.Segkk1991_pilon.4","OG0011685","A.cervicornis"
"49","Acerv_evm.TU.Segkk20_pilon.1","OG0000000","A.cervicornis"
"50","Acerv_evm.TU.Segkk2008_pilon.3","OG0000308","A.cervicornis"
"51","Acerv_evm.TU.Segkk2012_pilon.2","OG0004604","A.cervicornis"
"52","Acerv_evm.TU.Segkk2015_pilon.1","OG0003084","A.cervicornis"
"53","Acerv_evm.TU.Segkk2116_pilon.21","OG0016593","A.cervicornis"
"54","Acerv_evm.TU.Segkk2117_pilon.21","OG0003715","A.cervicornis"
"55","Acerv_evm.TU.Segkk2119_pilon.10","OG0011825","A.cervicornis"
"56","Acerv_evm.TU.Segkk2163_pilon.7","OG0011843","A.cervicornis"
"57","Acerv_evm.TU.Segkk2181_pilon.1","OG0001518","A.cervicornis"
"58","Acerv_evm.TU.Segkk2199_pilon.3","OG0000200","A.cervicornis"
"59","Acerv_evm.TU.Segkk2237_pilon.14","OG0001757","A.cervicornis"
"60","Acerv_evm.TU.Segkk2237_pilon.15","OG0001757","A.cervicornis"
"61","Acerv_evm.TU.Segkk2242_pilon.3","OG0000019","A.cervicornis"
"62","Acerv_evm.TU.Segkk2246_pilon.2","OG0011932","A.cervicornis"
"63","Acerv_evm.TU.Segkk2261_pilon.8","OG0000106","A.cervicornis"
"64","Acerv_evm.TU.Segkk227_pilon.2","OG0001123","A.cervicornis"
"65","Acerv_evm.TU.Segkk2328_pilon.2","OG0019797","A.cervicornis"
