"","x"
"1","OG0007679"
"2","OG0002906"
"3","OG0009538"
"4","OG0003431"
"5","OG0000263"
"6","OG0003887"
"7","OG0000487"
"8","OG0000008"
"9","OG0006746"
"10","OG0000027"
"11","OG0003152"
"12","OG0000003"
"13","OG0001155"
"14","OG0007322"
"15","OG0000500"
"16","OG0002028"
"17","OG0010205"
"18","OG0004023"
"19","OG0000960"
"20","OG0007769"
"21","OG0010588"
"22","OG0008907"
"23","OG0013201"
"24","OG0013703"
"25","OG0000623"
"26","OG0001196"
"27","OG0007919"
"28","OG0006367"
"29","OG0002467"
"30","OG0010475"
"31","OG0009131"
"32","OG0011830"
"33","OG0001291"
"34","OG0000194"
"35","OG0011243"
"36","OG0010326"
"37","OG0000806"
"38","OG0002039"
"39","OG0000177"
"40","OG0001049"
"41","OG0000923"
"42","OG0000213"
"43","OG0001081"
"44","OG0009143"
"45","OG0002575"
"46","OG0000392"
"47","OG0011091"
"48","OG0011949"
"49","OG0000048"
"50","OG0000608"
"51","OG0006770"
"52","OG0007229"
"53","OG0002422"
"54","OG0007132"
"55","OG0011124"
"56","OG0006382"
"57","OG0006811"
"58","OG0007403"
"59","OG0008166"
"60","OG0000221"
"61","OG0006755"
"62","OG0001910"
"63","OG0002737"
"64","OG0000469"
"65","OG0005547"
"66","OG0001295"
"67","OG0001070"
"68","OG0004155"
"69","OG0006603"
"70","OG0004156"
"71","OG0004166"
"72","OG0000424"
"73","OG0013535"
"74","OG0013300"
"75","OG0002305"
"76","OG0010623"
"77","OG0001287"
"78","OG0011354"
"79","OG0009134"
"80","OG0006597"
