	Acerv_assembly_v1.0.protein	GCF_002042975.1_ofav_dov_v1_protein	Mcavernosa.maker.proteins	Pocillopora_acuta_HIv1.genes.pep	plut2v1.1.proteins
Acerv_assembly_v1.0.protein	15100	12864	11662	13403	13024
GCF_002042975.1_ofav_dov_v1_protein	12864	16196	12986	14244	13714
Mcavernosa.maker.proteins	11662	12986	14584	12795	12236
Pocillopora_acuta_HIv1.genes.pep	13403	14244	12795	16419	13788
plut2v1.1.proteins	13024	13714	12236	13788	15657
