Orthogroup	Mcavernosa.maker.proteins	Pocillopora_acuta_HIv1.genes.pep
OG0000041	Mcavernosa19027-RA, Mcavernosa17537-RA	Pocillopora_acuta_HIv1_PredGene_g30635.t1, Pocillopora_acuta_HIv1_PredGene_g30643.t1, Pocillopora_acuta_HIv1_PredGene_g30642.t1, Pocillopora_acuta_HIv1_PredGene_g30636.t1, Pocillopora_acuta_HIv1_PredGene_g30634.t1, Pocillopora_acuta_HIv1_PredGene_g30644.t1, Pocillopora_acuta_HIv1_PredGene_g30638.t1, Pocillopora_acuta_HIv1_PredGene_g30645.t1, Pocillopora_acuta_HIv1_PredGene_g30639.t1
OG0000043	Mcavernosa11047-RA	Pocillopora_acuta_HIv1_PredGene_g2002.t1
OG0000043	Mcavernosa25231-RA, Mcavernosa16874-RA	Pocillopora_acuta_HIv1_PredGene_g22485.t1, Pocillopora_acuta_HIv1_PredGene_g22486.t1, Pocillopora_acuta_HIv1_PredGene_g22484.t1
OG0000044	Mcavernosa31912-RA, Mcavernosa31910-RA	Pocillopora_acuta_HIv1_PredGene_13938_t
OG0000044	Mcavernosa31914-RA, Mcavernosa17893-RA, Mcavernosa23365-RA, Mcavernosa33624-RA, Mcavernosa31911-RA	Pocillopora_acuta_HIv1_PredGene_g1851.t1, Pocillopora_acuta_HIv1_PredGene_g10643.t1, Pocillopora_acuta_HIv1_PredGene_g10647.t1, Pocillopora_acuta_HIv1_PredGene_g1103.t1, Pocillopora_acuta_HIv1_PredGene_g19097.t1, Pocillopora_acuta_HIv1_PredGene_g1110.t1, Pocillopora_acuta_HIv1_PredGene_g1107.t1, Pocillopora_acuta_HIv1_PredGene_g1108.t1, Pocillopora_acuta_HIv1_PredGene_g1109.t1, Pocillopora_acuta_HIv1_PredGene_13939_t
OG0000045	Mcavernosa33134-RA, Mcavernosa24793-RA	Pocillopora_acuta_HIv1_PredGene_g28374.t1, Pocillopora_acuta_HIv1_PredGene_g5481.t1
OG0000045	Mcavernosa07115-RA	Pocillopora_acuta_HIv1_PredGene_g19236.t1, Pocillopora_acuta_HIv1_PredGene_g4461.t1, Pocillopora_acuta_HIv1_PredGene_g3527.t1, Pocillopora_acuta_HIv1_PredGene_g2072.t1, Pocillopora_acuta_HIv1_PredGene_g8838.t1, Pocillopora_acuta_HIv1_PredGene_g18705.t1, Pocillopora_acuta_HIv1_PredGene_g667.t1, Pocillopora_acuta_HIv1_PredGene_g27507.t1, Pocillopora_acuta_HIv1_PredGene_g25777.t1, Pocillopora_acuta_HIv1_PredGene_g23993.t1, Pocillopora_acuta_HIv1_PredGene_g17333.t1, Pocillopora_acuta_HIv1_PredGene_g27130.t1
OG0000047	Mcavernosa21359-RA	Pocillopora_acuta_HIv1_PredGene_g964.t1
OG0000047	Mcavernosa08538-RA, Mcavernosa14861-RA, Mcavernosa19212-RA	Pocillopora_acuta_HIv1_PredGene_g1057.t1, Pocillopora_acuta_HIv1_PredGene_g11409.t1, Pocillopora_acuta_HIv1_PredGene_g19232.t1, Pocillopora_acuta_HIv1_PredGene_g23273.t1, Pocillopora_acuta_HIv1_PredGene_g32751.t1, Pocillopora_acuta_HIv1_PredGene_g15394.t1
OG0000048	Mcavernosa09943-RA	Pocillopora_acuta_HIv1_PredGene_g12566.t1
