Orthogroup	Mcavernosa.maker.proteins	Pocillopora_acuta_HIv1.genes.pep
OG0001980	Mcavernosa05283-RA, Mcavernosa07800-RA	Pocillopora_acuta_HIv1_PredGene_g28070.t1
OG0001981	Mcavernosa31014-RA	Pocillopora_acuta_HIv1_PredGene_g12968.t1
OG0001983	Mcavernosa08418-RA	Pocillopora_acuta_HIv1_PredGene_g21714.t1
OG0001984	Mcavernosa21598-RA	Pocillopora_acuta_HIv1_PredGene_g10301.t1, Pocillopora_acuta_HIv1_PredGene_g10349.t1
OG0001985	Mcavernosa15596-RA, Mcavernosa15598-RA	Pocillopora_acuta_HIv1_PredGene_g10726.t1, Pocillopora_acuta_HIv1_PredGene_g10726.t2, Pocillopora_acuta_HIv1_PredGene_g22779.t1
OG0001986	Mcavernosa30782-RA, Mcavernosa30783-RA, Mcavernosa33628-RA	Pocillopora_acuta_HIv1_PredGene_g28312.t1
OG0001987	Mcavernosa18486-RA	Pocillopora_acuta_HIv1_PredGene_g7495.t1, Pocillopora_acuta_HIv1_PredGene_g7495.t2
OG0001988	Mcavernosa34455-RA	Pocillopora_acuta_HIv1_PredGene_g11940.t1
OG0001988	Mcavernosa11317-RA	Pocillopora_acuta_HIv1_PredGene_g16558.t1
OG0001989	Mcavernosa09632-RA, Mcavernosa09624-RA	Pocillopora_acuta_HIv1_PredGene_g30318.t1, Pocillopora_acuta_HIv1_PredGene_g30318.t2, Pocillopora_acuta_HIv1_PredGene_g25300.t1
OG0001989	Mcavernosa09631-RA	Pocillopora_acuta_HIv1_PredGene_g25299.t1, Pocillopora_acuta_HIv1_PredGene_g30317.t1
OG0001990	Mcavernosa26733-RA	Pocillopora_acuta_HIv1_PredGene_g1314.t1, Pocillopora_acuta_HIv1_PredGene_g23858.t1
OG0001991	Mcavernosa14828-RA	Pocillopora_acuta_HIv1_PredGene_g15754.t2, Pocillopora_acuta_HIv1_PredGene_24844_t, Pocillopora_acuta_HIv1_PredGene_g15754.t1
OG0001992	Mcavernosa08250-RA, Mcavernosa08248-RA	Pocillopora_acuta_HIv1_PredGene_g26803.t1, Pocillopora_acuta_HIv1_PredGene_g16575.t2, Pocillopora_acuta_HIv1_PredGene_g16575.t1
OG0001994	Mcavernosa10532-RA, Mcavernosa10531-RA, Mcavernosa10533-RA	Pocillopora_acuta_HIv1_PredGene_g6100.t1, Pocillopora_acuta_HIv1_PredGene_g5054.t1
OG0001994	Mcavernosa24632-RA	Pocillopora_acuta_HIv1_PredGene_g5279.t1
OG0001995	Mcavernosa18752-RA	Pocillopora_acuta_HIv1_PredGene_g29238.t1, Pocillopora_acuta_HIv1_PredGene_g32144.t1, Pocillopora_acuta_HIv1_PredGene_19328_t, Pocillopora_acuta_HIv1_PredGene_g32144.t2, Pocillopora_acuta_HIv1_PredGene_g29238.t2
OG0001996	Mcavernosa34143-RA	Pocillopora_acuta_HIv1_PredGene_g30035.t1, Pocillopora_acuta_HIv1_PredGene_g9925.t1
OG0001996	Mcavernosa11606-RA	Pocillopora_acuta_HIv1_PredGene_g30037.t1, Pocillopora_acuta_HIv1_PredGene_g9923.t2, Pocillopora_acuta_HIv1_PredGene_g9923.t1, Pocillopora_acuta_HIv1_PredGene_g30037.t2
OG0001997	Mcavernosa27925-RA	Pocillopora_acuta_HIv1_PredGene_g11381.t1, Pocillopora_acuta_HIv1_PredGene_g11382.t1
OG0001998	Mcavernosa05568-RA	Pocillopora_acuta_HIv1_PredGene_g29079.t1, Pocillopora_acuta_HIv1_PredGene_g13680.t1, Pocillopora_acuta_HIv1_PredGene_28396_t, Pocillopora_acuta_HIv1_PredGene_27451_t, Pocillopora_acuta_HIv1_PredGene_26718_t, Pocillopora_acuta_HIv1_PredGene_g9997.t1
OG0001999	Mcavernosa35152-RA	Pocillopora_acuta_HIv1_PredGene_g25910.t1, Pocillopora_acuta_HIv1_PredGene_g23320.t1
OG0002000	Mcavernosa04457-RA	Pocillopora_acuta_HIv1_PredGene_g1118.t1, Pocillopora_acuta_HIv1_PredGene_g1122.t1, Pocillopora_acuta_HIv1_PredGene_g1119.t1
OG0002000	Mcavernosa04461-RA	Pocillopora_acuta_HIv1_PredGene_g1128.t1
OG0002001	Mcavernosa04456-RA	Pocillopora_acuta_HIv1_PredGene_13942_t, Pocillopora_acuta_HIv1_PredGene_g1115.t1, Pocillopora_acuta_HIv1_PredGene_g1123.t1, Pocillopora_acuta_HIv1_PredGene_g1120.t1
OG0002002	Mcavernosa27359-RA	Pocillopora_acuta_HIv1_PredGene_g25880.t1, Pocillopora_acuta_HIv1_PredGene_g25883.t1, Pocillopora_acuta_HIv1_PredGene_g25881.t1, Pocillopora_acuta_HIv1_PredGene_g23283.t1, Pocillopora_acuta_HIv1_PredGene_g23285.t1
OG0002003	Mcavernosa06502-RA	Pocillopora_acuta_HIv1_PredGene_8185_t, Pocillopora_acuta_HIv1_PredGene_g28939.t1
OG0002004	Mcavernosa02794-RA	Pocillopora_acuta_HIv1_PredGene_g4352.t2
OG0002004	Mcavernosa02793-RA	Pocillopora_acuta_HIv1_PredGene_g4352.t1, Pocillopora_acuta_HIv1_PredGene_g2685.t1, Pocillopora_acuta_HIv1_PredGene_g4352.t3
OG0002005	Mcavernosa00148-RA	Pocillopora_acuta_HIv1_PredGene_g16383.t1, Pocillopora_acuta_HIv1_PredGene_g16382.t1
OG0002006	Mcavernosa29271-RA, Mcavernosa15858-RA, Mcavernosa23209-RA, Mcavernosa32615-RA	Pocillopora_acuta_HIv1_PredGene_5135_t
OG0002007	Mcavernosa26355-RA	Pocillopora_acuta_HIv1_PredGene_g21413.t1
OG0002007	Mcavernosa21181-RA	Pocillopora_acuta_HIv1_PredGene_g30972.t1
OG0002008	Mcavernosa19615-RA	Pocillopora_acuta_HIv1_PredGene_g9227.t1
OG0002011	Mcavernosa34924-RA	Pocillopora_acuta_HIv1_PredGene_g28953.t1
OG0002012	Mcavernosa33939-RA, Mcavernosa33938-RA, Mcavernosa03880-RA, Mcavernosa02082-RA	Pocillopora_acuta_HIv1_PredGene_g28977.t1
OG0002013	Mcavernosa11574-RA	Pocillopora_acuta_HIv1_PredGene_g22138.t1
OG0002014	Mcavernosa04236-RA	Pocillopora_acuta_HIv1_PredGene_g17503.t1
OG0002015	Mcavernosa07487-RA	Pocillopora_acuta_HIv1_PredGene_g18805.t3, Pocillopora_acuta_HIv1_PredGene_g18805.t2, Pocillopora_acuta_HIv1_PredGene_g18805.t1
OG0002016	Mcavernosa21218-RA	Pocillopora_acuta_HIv1_PredGene_g32881.t1, Pocillopora_acuta_HIv1_PredGene_g32881.t2
OG0002017	Mcavernosa29539-RA	Pocillopora_acuta_HIv1_PredGene_g11905.t1
OG0002017	Mcavernosa21688-RA	Pocillopora_acuta_HIv1_PredGene_g14008.t1
OG0002020	Mcavernosa03535-RA	Pocillopora_acuta_HIv1_PredGene_g31573.t2, Pocillopora_acuta_HIv1_PredGene_g31573.t1
OG0002021	Mcavernosa08646-RA, Mcavernosa08649-RA	Pocillopora_acuta_HIv1_PredGene_g17450.t1, Pocillopora_acuta_HIv1_PredGene_1203_t, Pocillopora_acuta_HIv1_PredGene_g17452.t1, Pocillopora_acuta_HIv1_PredGene_g17451.t1, Pocillopora_acuta_HIv1_PredGene_1205_t
OG0002022	Mcavernosa21139-RA	Pocillopora_acuta_HIv1_PredGene_g32694.t1, Pocillopora_acuta_HIv1_PredGene_g32693.t1
OG0002023	Mcavernosa23579-RA	Pocillopora_acuta_HIv1_PredGene_g23609.t1
OG0002023	Mcavernosa23581-RA	Pocillopora_acuta_HIv1_PredGene_g23610.t1, Pocillopora_acuta_HIv1_PredGene_g23611.t1
OG0002025	Mcavernosa09262-RA	Pocillopora_acuta_HIv1_PredGene_g15614.t1
OG0002025	Mcavernosa29070-RA, Mcavernosa09264-RA	Pocillopora_acuta_HIv1_PredGene_g16092.t1, Pocillopora_acuta_HIv1_PredGene_g15622.t1
OG0002026	Mcavernosa18954-RA	Pocillopora_acuta_HIv1_PredGene_g1351.t1, Pocillopora_acuta_HIv1_PredGene_9570_t, Pocillopora_acuta_HIv1_PredGene_g32917.t1
OG0002027	Mcavernosa32163-RA	Pocillopora_acuta_HIv1_PredGene_g12283.t1, Pocillopora_acuta_HIv1_PredGene_g14570.t1
OG0002028	Mcavernosa10726-RA	Pocillopora_acuta_HIv1_PredGene_g14481.t1
OG0002030	Mcavernosa13703-RA	Pocillopora_acuta_HIv1_PredGene_g32565.t1
OG0002030	Mcavernosa13704-RA	Pocillopora_acuta_HIv1_PredGene_28253_t, Pocillopora_acuta_HIv1_PredGene_22049_t
OG0002031	Mcavernosa12741-RA, Mcavernosa32196-RA	Pocillopora_acuta_HIv1_PredGene_g18303.t1
OG0002031	Mcavernosa12742-RA	Pocillopora_acuta_HIv1_PredGene_g18304.t1
OG0002032	Mcavernosa19913-RA	Pocillopora_acuta_HIv1_PredGene_g19978.t1, Pocillopora_acuta_HIv1_PredGene_g19978.t2, Pocillopora_acuta_HIv1_PredGene_18681_t
OG0002033	Mcavernosa11004-RA	Pocillopora_acuta_HIv1_PredGene_g12207.t2, Pocillopora_acuta_HIv1_PredGene_g12207.t1
OG0002033	Mcavernosa23136-RA, Mcavernosa23139-RA, Mcavernosa24672-RA	Pocillopora_acuta_HIv1_PredGene_g3273.t1
OG0002034	Mcavernosa18422-RA	Pocillopora_acuta_HIv1_PredGene_13744_t, Pocillopora_acuta_HIv1_PredGene_g14358.t1
OG0002035	Mcavernosa14527-RA	Pocillopora_acuta_HIv1_PredGene_g16602.t1
OG0002036	Mcavernosa27587-RA	Pocillopora_acuta_HIv1_PredGene_g5903.t1, Pocillopora_acuta_HIv1_PredGene_g7101.t1, Pocillopora_acuta_HIv1_PredGene_g5951.t1
OG0002037	Mcavernosa04226-RA	Pocillopora_acuta_HIv1_PredGene_g24421.t1
OG0002037	Mcavernosa04230-RA	Pocillopora_acuta_HIv1_PredGene_g12032.t1
OG0002038	Mcavernosa18182-RA, Mcavernosa29542-RA	Pocillopora_acuta_HIv1_PredGene_26326_t, Pocillopora_acuta_HIv1_PredGene_g31413.t1
OG0002039	Mcavernosa31472-RA	Pocillopora_acuta_HIv1_PredGene_g16813.t1, Pocillopora_acuta_HIv1_PredGene_14652_t, Pocillopora_acuta_HIv1_PredGene_g11591.t1, Pocillopora_acuta_HIv1_PredGene_g16814.t1, Pocillopora_acuta_HIv1_PredGene_15865_t
OG0002040	Mcavernosa05563-RA	Pocillopora_acuta_HIv1_PredGene_g11184.t1, Pocillopora_acuta_HIv1_PredGene_g5918.t1, Pocillopora_acuta_HIv1_PredGene_g13688.t1
OG0002041	Mcavernosa06151-RA, Mcavernosa29071-RA	Pocillopora_acuta_HIv1_PredGene_g30662.t1, Pocillopora_acuta_HIv1_PredGene_5058_t
OG0002043	Mcavernosa24592-RA	Pocillopora_acuta_HIv1_PredGene_g20368.t1
OG0002043	Mcavernosa24593-RA, Mcavernosa24589-RA	Pocillopora_acuta_HIv1_PredGene_g20367.t1
OG0002044	Mcavernosa14467-RA	Pocillopora_acuta_HIv1_PredGene_g32470.t3, Pocillopora_acuta_HIv1_PredGene_g32470.t2, Pocillopora_acuta_HIv1_PredGene_g32470.t1, Pocillopora_acuta_HIv1_PredGene_g32470.t5, Pocillopora_acuta_HIv1_PredGene_g32470.t4
OG0002045	Mcavernosa01683-RA, Mcavernosa24617-RA	Pocillopora_acuta_HIv1_PredGene_g5258.t1
OG0002046	Mcavernosa33043-RA, Mcavernosa29864-RA	Pocillopora_acuta_HIv1_PredGene_g14588.t1
OG0002048	Mcavernosa17265-RA	Pocillopora_acuta_HIv1_PredGene_g15159.t1, Pocillopora_acuta_HIv1_PredGene_g15759.t1
OG0002050	Mcavernosa31516-RA, Mcavernosa31515-RA	Pocillopora_acuta_HIv1_PredGene_g16783.t1
OG0002052	Mcavernosa08430-RA	Pocillopora_acuta_HIv1_PredGene_g20389.t1
OG0002053	Mcavernosa17360-RA	Pocillopora_acuta_HIv1_PredGene_21569_t, Pocillopora_acuta_HIv1_PredGene_g3631.t1, Pocillopora_acuta_HIv1_PredGene_g3631.t2
OG0002053	Mcavernosa28304-RA, Mcavernosa28301-RA	Pocillopora_acuta_HIv1_PredGene_g14252.t1
OG0002054	Mcavernosa04362-RA, Mcavernosa33930-RA	Pocillopora_acuta_HIv1_PredGene_g6560.t1
OG0002055	Mcavernosa01398-RA	Pocillopora_acuta_HIv1_PredGene_g7065.t1
OG0002055	Mcavernosa01394-RA	Pocillopora_acuta_HIv1_PredGene_g7066.t1, Pocillopora_acuta_HIv1_PredGene_g7067.t1
OG0002057	Mcavernosa34616-RA, Mcavernosa05279-RA	Pocillopora_acuta_HIv1_PredGene_g4436.t1, Pocillopora_acuta_HIv1_PredGene_g4435.t1, Pocillopora_acuta_HIv1_PredGene_g4437.t1
OG0002057	Mcavernosa19352-RA	Pocillopora_acuta_HIv1_PredGene_g25330.t1, Pocillopora_acuta_HIv1_PredGene_g25328.t1, Pocillopora_acuta_HIv1_PredGene_g25329.t1
OG0002058	Mcavernosa07632-RA	Pocillopora_acuta_HIv1_PredGene_g10780.t1, Pocillopora_acuta_HIv1_PredGene_g20592.t1, Pocillopora_acuta_HIv1_PredGene_g14187.t1, Pocillopora_acuta_HIv1_PredGene_g10779.t1, Pocillopora_acuta_HIv1_PredGene_g20593.t1, Pocillopora_acuta_HIv1_PredGene_g14187.t2, Pocillopora_acuta_HIv1_PredGene_g10779.t2, Pocillopora_acuta_HIv1_PredGene_g10782.t1, Pocillopora_acuta_HIv1_PredGene_g14188.t1
OG0002059	Mcavernosa13654-RA	Pocillopora_acuta_HIv1_PredGene_g21130.t1, Pocillopora_acuta_HIv1_PredGene_g21130.t2, Pocillopora_acuta_HIv1_PredGene_g9338.t1, Pocillopora_acuta_HIv1_PredGene_g9333.t1, Pocillopora_acuta_HIv1_PredGene_g21126.t1, Pocillopora_acuta_HIv1_PredGene_10778_t, Pocillopora_acuta_HIv1_PredGene_10772_t
OG0002060	Mcavernosa04266-RA	Pocillopora_acuta_HIv1_PredGene_g32651.t1, Pocillopora_acuta_HIv1_PredGene_g32650.t1, Pocillopora_acuta_HIv1_PredGene_g32652.t1
OG0002060	Mcavernosa32233-RA	Pocillopora_acuta_HIv1_PredGene_g32653.t1
OG0002063	Mcavernosa09324-RA	Pocillopora_acuta_HIv1_PredGene_g18935.t1, Pocillopora_acuta_HIv1_PredGene_g1904.t1, Pocillopora_acuta_HIv1_PredGene_g1902.t1, Pocillopora_acuta_HIv1_PredGene_28297_t, Pocillopora_acuta_HIv1_PredGene_25922_t, Pocillopora_acuta_HIv1_PredGene_28298_t, Pocillopora_acuta_HIv1_PredGene_g18936.t1
OG0002065	Mcavernosa23860-RA	Pocillopora_acuta_HIv1_PredGene_g8432.t1, Pocillopora_acuta_HIv1_PredGene_g8429.t1, Pocillopora_acuta_HIv1_PredGene_g23108.t1, Pocillopora_acuta_HIv1_PredGene_g8442.t1, Pocillopora_acuta_HIv1_PredGene_g23122.t1, Pocillopora_acuta_HIv1_PredGene_19644_t
OG0002066	Mcavernosa29437-RA, Mcavernosa29438-RA, Mcavernosa02381-RA	Pocillopora_acuta_HIv1_PredGene_g420.t1
OG0002069	Mcavernosa27856-RA	Pocillopora_acuta_HIv1_PredGene_g14622.t1
OG0002070	Mcavernosa18321-RA	Pocillopora_acuta_HIv1_PredGene_g11685.t1
OG0002070	Mcavernosa18327-RA, Mcavernosa18323-RA	Pocillopora_acuta_HIv1_PredGene_g11689.t1, Pocillopora_acuta_HIv1_PredGene_g11688.t1
OG0002072	Mcavernosa24509-RA, Mcavernosa24124-RA, Mcavernosa33764-RA, Mcavernosa11654-RA, Mcavernosa11653-RA, Mcavernosa32516-RA, Mcavernosa11652-RA, Mcavernosa11655-RA	Pocillopora_acuta_HIv1_PredGene_g2986.t1, Pocillopora_acuta_HIv1_PredGene_g31678.t2, Pocillopora_acuta_HIv1_PredGene_g31678.t1
OG0002073	Mcavernosa34717-RA, Mcavernosa16105-RA, Mcavernosa34718-RA, Mcavernosa34376-RA, Mcavernosa23936-RA	Pocillopora_acuta_HIv1_PredGene_g32514.t1, Pocillopora_acuta_HIv1_PredGene_g32519.t1, Pocillopora_acuta_HIv1_PredGene_g5012.t1, Pocillopora_acuta_HIv1_PredGene_g32516.t1, Pocillopora_acuta_HIv1_PredGene_g32517.t1, Pocillopora_acuta_HIv1_PredGene_g32528.t1
OG0002074	Mcavernosa23777-RA	Pocillopora_acuta_HIv1_PredGene_g225.t1, Pocillopora_acuta_HIv1_PredGene_g7531.t1, Pocillopora_acuta_HIv1_PredGene_g23197.t1, Pocillopora_acuta_HIv1_PredGene_g3841.t1, Pocillopora_acuta_HIv1_PredGene_g5915.t1, Pocillopora_acuta_HIv1_PredGene_g4259.t1, Pocillopora_acuta_HIv1_PredGene_g11921.t1, Pocillopora_acuta_HIv1_PredGene_g4403.t1, Pocillopora_acuta_HIv1_PredGene_g6989.t1, Pocillopora_acuta_HIv1_PredGene_g14524.t1
OG0002075	Mcavernosa30377-RA, Mcavernosa30373-RA	Pocillopora_acuta_HIv1_PredGene_g17231.t1
OG0002081	Mcavernosa04425-RA	Pocillopora_acuta_HIv1_PredGene_g2898.t1
OG0002082	Mcavernosa31399-RA, Mcavernosa04413-RA	Pocillopora_acuta_HIv1_PredGene_g2903.t1, Pocillopora_acuta_HIv1_PredGene_14118_t, Pocillopora_acuta_HIv1_PredGene_26815_t, Pocillopora_acuta_HIv1_PredGene_g9778.t1
OG0002083	Mcavernosa27114-RA	Pocillopora_acuta_HIv1_PredGene_g11378.t1, Pocillopora_acuta_HIv1_PredGene_g24731.t1
OG0002084	Mcavernosa29762-RA	Pocillopora_acuta_HIv1_PredGene_g22294.t2, Pocillopora_acuta_HIv1_PredGene_g22294.t1, Pocillopora_acuta_HIv1_PredGene_17905_t, Pocillopora_acuta_HIv1_PredGene_g2750.t1
OG0002085	Mcavernosa29763-RA	Pocillopora_acuta_HIv1_PredGene_g22295.t1, Pocillopora_acuta_HIv1_PredGene_g2751.t1, Pocillopora_acuta_HIv1_PredGene_17906_t, Pocillopora_acuta_HIv1_PredGene_29279_t
OG0002089	Mcavernosa33917-RA	Pocillopora_acuta_HIv1_PredGene_g11678.t2, Pocillopora_acuta_HIv1_PredGene_2718_t, Pocillopora_acuta_HIv1_PredGene_g22617.t1, Pocillopora_acuta_HIv1_PredGene_g11678.t1, Pocillopora_acuta_HIv1_PredGene_g22617.t2
OG0002090	Mcavernosa21085-RA	Pocillopora_acuta_HIv1_PredGene_g22614.t1
OG0002091	Mcavernosa20237-RA, Mcavernosa23670-RA	Pocillopora_acuta_HIv1_PredGene_g1959.t1
OG0002092	Mcavernosa11212-RA	Pocillopora_acuta_HIv1_PredGene_g26373.t1
OG0002092	Mcavernosa11210-RA	Pocillopora_acuta_HIv1_PredGene_g26375.t1, Pocillopora_acuta_HIv1_PredGene_14240_t
OG0002095	Mcavernosa18539-RA	Pocillopora_acuta_HIv1_PredGene_g22111.t1
OG0002095	Mcavernosa18538-RA	Pocillopora_acuta_HIv1_PredGene_g22112.t1
OG0002098	Mcavernosa21140-RA	Pocillopora_acuta_HIv1_PredGene_g32689.t1, Pocillopora_acuta_HIv1_PredGene_g32690.t1
OG0002099	Mcavernosa31211-RA	Pocillopora_acuta_HIv1_PredGene_g6680.t1, Pocillopora_acuta_HIv1_PredGene_g27153.t2, Pocillopora_acuta_HIv1_PredGene_g27153.t1, Pocillopora_acuta_HIv1_PredGene_g6680.t2
OG0002101	Mcavernosa28794-RA, Mcavernosa28795-RA	Pocillopora_acuta_HIv1_PredGene_g25519.t1, Pocillopora_acuta_HIv1_PredGene_19462_t
OG0002103	Mcavernosa00632-RA	Pocillopora_acuta_HIv1_PredGene_g13491.t2, Pocillopora_acuta_HIv1_PredGene_g13491.t3, Pocillopora_acuta_HIv1_PredGene_g13491.t1
OG0002104	Mcavernosa27304-RA	Pocillopora_acuta_HIv1_PredGene_g13482.t2, Pocillopora_acuta_HIv1_PredGene_g13482.t1
OG0002107	Mcavernosa06950-RA, Mcavernosa23158-RA	Pocillopora_acuta_HIv1_PredGene_g19610.t1
OG0002109	Mcavernosa14447-RA	Pocillopora_acuta_HIv1_PredGene_g22341.t1
OG0002110	Mcavernosa05789-RA, Mcavernosa24765-RA, Mcavernosa22083-RA	Pocillopora_acuta_HIv1_PredGene_g33544.t1
OG0002111	Mcavernosa04474-RA	Pocillopora_acuta_HIv1_PredGene_g22259.t1, Pocillopora_acuta_HIv1_PredGene_g5786.t1
OG0002113	Mcavernosa25247-RA	Pocillopora_acuta_HIv1_PredGene_g22499.t1
OG0002114	Mcavernosa24563-RA	Pocillopora_acuta_HIv1_PredGene_6125_t
OG0002114	Mcavernosa27918-RA	Pocillopora_acuta_HIv1_PredGene_g7703.t1
OG0002116	Mcavernosa13361-RA, Mcavernosa13360-RA, Mcavernosa33664-RA, Mcavernosa13359-RA	Pocillopora_acuta_HIv1_PredGene_g15356.t1, Pocillopora_acuta_HIv1_PredGene_g5105.t1
OG0002118	Mcavernosa12650-RA, Mcavernosa12652-RA, Mcavernosa22539-RA, Mcavernosa12649-RA	Pocillopora_acuta_HIv1_PredGene_g4470.t1
OG0002121	Mcavernosa06002-RA	Pocillopora_acuta_HIv1_PredGene_g33022.t1
OG0002122	Mcavernosa07247-RA	Pocillopora_acuta_HIv1_PredGene_g11120.t1
OG0002124	Mcavernosa29633-RA	Pocillopora_acuta_HIv1_PredGene_16169_t
OG0002125	Mcavernosa20437-RA, Mcavernosa20439-RA, Mcavernosa33850-RA	Pocillopora_acuta_HIv1_PredGene_g22679.t1, Pocillopora_acuta_HIv1_PredGene_g6717.t1, Pocillopora_acuta_HIv1_PredGene_g22945.t1
OG0002126	Mcavernosa07030-RA	Pocillopora_acuta_HIv1_PredGene_g2035.t2, Pocillopora_acuta_HIv1_PredGene_g2035.t1
OG0002128	Mcavernosa33846-RA	Pocillopora_acuta_HIv1_PredGene_g2982.t1
OG0002131	Mcavernosa20314-RA	Pocillopora_acuta_HIv1_PredGene_12155_t
OG0002131	Mcavernosa33347-RA	Pocillopora_acuta_HIv1_PredGene_g30087.t1
OG0002132	Mcavernosa18226-RA	Pocillopora_acuta_HIv1_PredGene_g17781.t1, Pocillopora_acuta_HIv1_PredGene_g17781.t2
OG0002133	Mcavernosa22989-RA, Mcavernosa04834-RA	Pocillopora_acuta_HIv1_PredGene_g32327.t1, Pocillopora_acuta_HIv1_PredGene_g27955.t1, Pocillopora_acuta_HIv1_PredGene_g19546.t1
OG0002134	Mcavernosa18172-RA	Pocillopora_acuta_HIv1_PredGene_g29897.t1, Pocillopora_acuta_HIv1_PredGene_g29896.t1
OG0002135	Mcavernosa10261-RA	Pocillopora_acuta_HIv1_PredGene_g21752.t1
OG0002136	Mcavernosa30190-RA, Mcavernosa30604-RA	Pocillopora_acuta_HIv1_PredGene_g15964.t1
OG0002137	Mcavernosa04023-RA	Pocillopora_acuta_HIv1_PredGene_g33249.t1, Pocillopora_acuta_HIv1_PredGene_g33249.t2, Pocillopora_acuta_HIv1_PredGene_g33249.t3
OG0002138	Mcavernosa30046-RA	Pocillopora_acuta_HIv1_PredGene_g355.t1
OG0002138	Mcavernosa24525-RA, Mcavernosa27033-RA	Pocillopora_acuta_HIv1_PredGene_g32197.t1
OG0002139	Mcavernosa25330-RA	Pocillopora_acuta_HIv1_PredGene_g365.t1, Pocillopora_acuta_HIv1_PredGene_g365.t2
OG0002142	Mcavernosa11226-RA, Mcavernosa19558-RA	Pocillopora_acuta_HIv1_PredGene_g16653.t1, Pocillopora_acuta_HIv1_PredGene_g24099.t1, Pocillopora_acuta_HIv1_PredGene_g11103.t1
OG0002143	Mcavernosa31869-RA	Pocillopora_acuta_HIv1_PredGene_g32459.t1, Pocillopora_acuta_HIv1_PredGene_g13042.t1, Pocillopora_acuta_HIv1_PredGene_g20666.t1
OG0002144	Mcavernosa19424-RA	Pocillopora_acuta_HIv1_PredGene_g31166.t1
OG0002145	Mcavernosa04281-RA	Pocillopora_acuta_HIv1_PredGene_g32666.t1
OG0002145	Mcavernosa32829-RA, Mcavernosa04260-RA	Pocillopora_acuta_HIv1_PredGene_g32665.t1
OG0002146	Mcavernosa33934-RA	Pocillopora_acuta_HIv1_PredGene_16311_t, Pocillopora_acuta_HIv1_PredGene_g14475.t1
OG0002146	Mcavernosa12219-RA	Pocillopora_acuta_HIv1_PredGene_g22909.t1
OG0002148	Mcavernosa17340-RA	Pocillopora_acuta_HIv1_PredGene_g29130.t1, Pocillopora_acuta_HIv1_PredGene_g29129.t1
OG0002150	Mcavernosa26813-RA	Pocillopora_acuta_HIv1_PredGene_g19168.t1, Pocillopora_acuta_HIv1_PredGene_g22028.t1
OG0002153	Mcavernosa18247-RA	Pocillopora_acuta_HIv1_PredGene_g12783.t1
OG0002153	Mcavernosa14878-RA	Pocillopora_acuta_HIv1_PredGene_g10740.t1
OG0002154	Mcavernosa08258-RA, Mcavernosa34740-RA, Mcavernosa29431-RA, Mcavernosa29432-RA	Pocillopora_acuta_HIv1_PredGene_g3702.t1, Pocillopora_acuta_HIv1_PredGene_g23861.t1, Pocillopora_acuta_HIv1_PredGene_g29612.t1
OG0002155	Mcavernosa09651-RA	Pocillopora_acuta_HIv1_PredGene_g23578.t1
OG0002155	Mcavernosa09653-RA	Pocillopora_acuta_HIv1_PredGene_g23577.t1
OG0002156	Mcavernosa30024-RA	Pocillopora_acuta_HIv1_PredGene_g23486.t1
OG0002156	Mcavernosa33835-RA	Pocillopora_acuta_HIv1_PredGene_g20355.t1
OG0002158	Mcavernosa17240-RA	Pocillopora_acuta_HIv1_PredGene_g30268.t2, Pocillopora_acuta_HIv1_PredGene_g30268.t1, Pocillopora_acuta_HIv1_PredGene_g13181.t1
OG0002159	Mcavernosa08345-RA	Pocillopora_acuta_HIv1_PredGene_g21875.t1, Pocillopora_acuta_HIv1_PredGene_g21876.t1
OG0002162	Mcavernosa23023-RA, Mcavernosa28536-RA, Mcavernosa30388-RA	Pocillopora_acuta_HIv1_PredGene_g29210.t1, Pocillopora_acuta_HIv1_PredGene_g10314.t1, Pocillopora_acuta_HIv1_PredGene_g8443.t1, Pocillopora_acuta_HIv1_PredGene_g23124.t1, Pocillopora_acuta_HIv1_PredGene_g3289.t1
OG0002164	Mcavernosa01593-RA	Pocillopora_acuta_HIv1_PredGene_g21090.t2, Pocillopora_acuta_HIv1_PredGene_g9375.t1, Pocillopora_acuta_HIv1_PredGene_g21090.t1, Pocillopora_acuta_HIv1_PredGene_7860_t, Pocillopora_acuta_HIv1_PredGene_g9375.t2
OG0002165	Mcavernosa01588-RA	Pocillopora_acuta_HIv1_PredGene_g21087.t2, Pocillopora_acuta_HIv1_PredGene_g21087.t1
OG0002166	Mcavernosa21490-RA	Pocillopora_acuta_HIv1_PredGene_g32871.t1
OG0002167	Mcavernosa24361-RA	Pocillopora_acuta_HIv1_PredGene_g5488.t1
OG0002169	Mcavernosa14781-RA	Pocillopora_acuta_HIv1_PredGene_g26030.t2, Pocillopora_acuta_HIv1_PredGene_24188_t, Pocillopora_acuta_HIv1_PredGene_g26030.t1, Pocillopora_acuta_HIv1_PredGene_g26030.t3
OG0002170	Mcavernosa03722-RA, Mcavernosa03723-RA	Pocillopora_acuta_HIv1_PredGene_g11055.t1, Pocillopora_acuta_HIv1_PredGene_30685_t
OG0002171	Mcavernosa20343-RA	Pocillopora_acuta_HIv1_PredGene_g3868.t2, Pocillopora_acuta_HIv1_PredGene_g3868.t1, Pocillopora_acuta_HIv1_PredGene_g24204.t2, Pocillopora_acuta_HIv1_PredGene_g24204.t1
