"","GO.IDs"
"785","GO:0001069"
"2479","GO:0003725"
"2486","GO:0003730"
"2571","GO:0003904"
"2653","GO:0004013"
"2704","GO:0004064"
"2733","GO:0004089"
"2956","GO:0004449"
"3094","GO:0004607"
"3096","GO:0004609"
"3243","GO:0004768"
"3609","GO:0005200"
"3743","GO:0005436"
"5944","GO:0008035"
"6031","GO:0008137"
"6039","GO:0008143"
"6060","GO:0008171"
"6068","GO:0008177"
"6085","GO:0008201"
"6143","GO:0008266"
"6350","GO:0008494"
"6529","GO:0008716"
"6753","GO:0008970"
"6822","GO:0009055"
"7570","GO:0009882"
"9164","GO:0015078"
"9294","GO:0015216"
"10400","GO:0016524"
"10649","GO:0016807"
"10667","GO:0016829"
"10746","GO:0016922"
"12382","GO:0019534"
"12699","GO:0019894"
"12822","GO:0020037"
"13586","GO:0022853"
"13946","GO:0030331"
"15995","GO:0032217"
"17667","GO:0033679"
"17752","GO:0033764"
"17907","GO:0033919"
"18260","GO:0034185"
"18261","GO:0034186"
"19493","GO:0035374"
"19510","GO:0036469"
"19858","GO:0042301"
"19912","GO:0042356"
"20524","GO:0042923"
"22059","GO:0045142"
"22226","GO:0045294"
"23925","GO:0046933"
"24168","GO:0047179"
"24895","GO:0047918"
"25013","GO:0048039"
"26419","GO:0050459"
"26531","GO:0050577"
"26802","GO:0050839"
"27540","GO:0051538"
"27541","GO:0051539"
"28578","GO:0052689"
"30773","GO:0071949"
"31352","GO:0140030"
"31365","GO:1901682"
"31377","GO:1904680"
"31384","GO:1905172"
"31390","GO:1990518"
