"","GO.IDs"
"279","GO:0000274"
"285","GO:0000276"
"645","GO:0000786"
"3931","GO:0005726"
"3956","GO:0005749"
"3985","GO:0005769"
"3993","GO:0005771"
"4017","GO:0005789"
"4137","GO:0005902"
"4152","GO:0005916"
"4206","GO:0005962"
"8201","GO:0010494"
"9969","GO:0016012"
"10279","GO:0016342"
"10933","GO:0017177"
"13542","GO:0022625"
"14025","GO:0030424"
"14035","GO:0030427"
"14592","GO:0031002"
"14889","GO:0031252"
"15214","GO:0031528"
"15732","GO:0031985"
"19195","GO:0035060"
"19508","GO:0036057"
"20170","GO:0042588"
"20389","GO:0042788"
"21782","GO:0044232"
"22031","GO:0045121"
"22096","GO:0045177"
"22187","GO:0045261"
"22231","GO:0045298"
"23676","GO:0046696"
"30170","GO:0070369"
"31324","GO:0097356"
"31326","GO:0097381"
"31327","GO:0098797"
"31333","GO:0099056"
"31351","GO:0120219"
"31386","GO:1990124"
"31391","GO:1990711"
