"","GO.IDs"
"74","GO:0000082"
"233","GO:0000226"
"292","GO:0000278"
"562","GO:0000719"
"606","GO:0000747"
"962","GO:0001657"
"1147","GO:0001838"
"1229","GO:0001913"
"1354","GO:0002024"
"1390","GO:0002053"
"1427","GO:0002089"
"1499","GO:0002181"
"2207","GO:0002842"
"2431","GO:0003205"
"2433","GO:0003223"
"2435","GO:0003340"
"2437","GO:0003408"
"4337","GO:0006099"
"4341","GO:0006102"
"4345","GO:0006105"
"4575","GO:0006352"
"4638","GO:0006406"
"4702","GO:0006458"
"4862","GO:0006629"
"4892","GO:0006658"
"4964","GO:0006730"
"5125","GO:0006919"
"5238","GO:0007017"
"5417","GO:0007157"
"5421","GO:0007158"
"5553","GO:0007270"
"5689","GO:0007406"
"5783","GO:0007497"
"5904","GO:0007623"
"6416","GO:0008586"
"6991","GO:0009226"
"7016","GO:0009252"
"7032","GO:0009268"
"7437","GO:0009750"
"7473","GO:0009785"
"7475","GO:0009787"
"7640","GO:0009950"
"7658","GO:0009966"
"7732","GO:0010043"
"7956","GO:0010267"
"8682","GO:0010897"
"8694","GO:0010909"
"8703","GO:0010917"
"8768","GO:0010976"
"8830","GO:0014010"
"8845","GO:0014017"
"8876","GO:0014042"
"9009","GO:0014823"
"9108","GO:0014910"
"9629","GO:0015670"
"9823","GO:0015865"
"9938","GO:0015986"
"10206","GO:0016259"
"12358","GO:0019510"
"12517","GO:0019673"
"12920","GO:0021587"
"13243","GO:0021874"
"13356","GO:0021943"
"13833","GO:0030223"
"14023","GO:0030423"
"14498","GO:0030917"
"14583","GO:0030997"
"14649","GO:0031047"
"14689","GO:0031069"
"14942","GO:0031288"
"15002","GO:0031326"
"15805","GO:0032053"
"15998","GO:0032218"
"16051","GO:0032268"
"16106","GO:0032307"
"16557","GO:0032727"
"16586","GO:0032755"
"16592","GO:0032760"
"16683","GO:0032849"
"16834","GO:0032981"
"17023","GO:0033141"
"17254","GO:0033353"
"17603","GO:0033619"
"17617","GO:0033630"
"17749","GO:0033762"
"18587","GO:0034499"
"18602","GO:0034514"
"18692","GO:0034605"
"19264","GO:0035112"
"19268","GO:0035115"
"19271","GO:0035116"
"19424","GO:0035261"
"19481","GO:0035316"
"19495","GO:0035584"
"19497","GO:0035794"
"19498","GO:0035799"
"19502","GO:0035860"
"19506","GO:0036023"
"19509","GO:0036124"
"19511","GO:0036520"
"19513","GO:0038007"
"19515","GO:0038020"
"19516","GO:0038166"
"19521","GO:0039695"
"19652","GO:0042100"
"19680","GO:0042129"
"19713","GO:0042158"
"19907","GO:0042351"
"20030","GO:0042475"
"20369","GO:0042776"
"20521","GO:0042921"
"20636","GO:0043032"
"21265","GO:0043627"
"21824","GO:0044281"
"21827","GO:0044334"
"21829","GO:0044338"
"21831","GO:0044341"
"21944","GO:0045041"
"21960","GO:0045053"
"21977","GO:0045070"
"22375","GO:0045445"
"22607","GO:0045672"
"22609","GO:0045676"
"22667","GO:0045732"
"22725","GO:0045780"
"22734","GO:0045793"
"22952","GO:0045976"
"23435","GO:0046470"
"23436","GO:0046471"
"23893","GO:0046903"
"24978","GO:0048002"
"25220","GO:0048265"
"25247","GO:0048291"
"25425","GO:0048484"
"25490","GO:0048545"
"25590","GO:0048643"
"25608","GO:0048660"
"25624","GO:0048671"
"25650","GO:0048681"
"26645","GO:0050691"
"26683","GO:0050729"
"26836","GO:0050870"
"27057","GO:0051091"
"27753","GO:0051702"
"27930","GO:0051884"
"28706","GO:0055114"
"28769","GO:0060041"
"28805","GO:0060066"
"28978","GO:0060213"
"29169","GO:0060384"
"29279","GO:0060479"
"29293","GO:0060492"
"29432","GO:0060596"
"29609","GO:0060742"
"29641","GO:0060769"
"29669","GO:0060789"
"29671","GO:0060916"
"29673","GO:0060983"
"29675","GO:0061000"
"29677","GO:0061047"
"29679","GO:0061146"
"29683","GO:0061154"
"29685","GO:0061198"
"29687","GO:0061299"
"29688","GO:0061310"
"29689","GO:0061324"
"29692","GO:0061817"
"30456","GO:0070602"
"30732","GO:0070863"
"30733","GO:0070922"
"30758","GO:0071300"
"30764","GO:0071470"
"30765","GO:0071498"
"30767","GO:0071555"
"30768","GO:0071681"
"30770","GO:0071709"
"30772","GO:0071866"
"30775","GO:0072033"
"30777","GO:0072079"
"30779","GO:0072132"
"30781","GO:0072182"
"30783","GO:0072300"
"31311","GO:0090107"
"31312","GO:0090118"
"31313","GO:0090129"
"31315","GO:0090244"
"31316","GO:0090245"
"31317","GO:0090557"
"31319","GO:0097026"
"31321","GO:0097039"
"31322","GO:0097105"
"31325","GO:0097368"
"31331","GO:0099054"
"31339","GO:0099068"
"31340","GO:0099151"
"31342","GO:0099537"
"31343","GO:0099545"
"31345","GO:0099560"
"31347","GO:0099577"
"31349","GO:0110135"
"31350","GO:0120161"
"31353","GO:0140352"
"31357","GO:1900054"
"31358","GO:1900139"
"31359","GO:1900153"
"31363","GO:1900168"
"31364","GO:1900176"
"31367","GO:1902771"
"31368","GO:1902948"
"31369","GO:1902953"
"31370","GO:1902955"
"31371","GO:1902960"
"31372","GO:1902963"
"31373","GO:1902997"
"31374","GO:1903966"
"31375","GO:1904179"
"31376","GO:1904428"
"31379","GO:1904798"
"31381","GO:1904906"
"31382","GO:1904954"
"31385","GO:1905698"
"31393","GO:1990791"
"31397","GO:2000008"
"31399","GO:2000017"
"31401","GO:2000149"
"31402","GO:2000151"
"31403","GO:2000162"
"31404","GO:2000164"
"31405","GO:2000166"
"31406","GO:2000168"
"31407","GO:2000623"
"31411","GO:2000638"
"31412","GO:2000850"
"31413","GO:2001137"
"31414","GO:2001150"
"31417","GO:2001225"
"31420","GO:2001241"
