Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-total_sequences	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-percent_gc
10_2	36.9165894786	49.9528719317	17754409.0	18.1818181818	44.0
11_1	40.6762744486	119.690494034	12250465.0	9.09090909091	41.0
11_2	42.0365778997	123.847417615	12209817.0	18.1818181818	42.0
12_1	32.6961746466	49.9568492548	12301966.0	18.1818181818	42.0
13_1	34.6579781218	117.393356427	14262927.0	9.09090909091	45.0
13_2	37.0958577567	123.590196221	14217497.0	18.1818181818	45.0
14_1	39.995149025	118.096205963	18040337.0	9.09090909091	44.0
14_2	41.8970660268	123.636331207	18017023.0	18.1818181818	45.0
15_2	30.5786165631	49.9505410649	12071287.0	18.1818181818	45.0
16_2	34.9763719185	49.9519886716	17629381.0	18.1818181818	45.0
17_1	38.2740677976	49.957621518	17847619.0	18.1818181818	44.0
18_1	42.0695531645	49.9553644612	12827402.0	18.1818181818	45.0
19_2	36.3495252287	49.9511682443	14349781.0	18.1818181818	44.0
1_2	41.9069819538	49.957430729	13898993.0	18.1818181818	41.0
20_2	30.2709561981	49.896870131	14793910.0	18.1818181818	44.0
21_1	36.0774830489	49.9562560447	12803529.0	18.1818181818	44.0
22_1	47.0369032707	49.9104548563	13353823.0	18.1818181818	45.0
23_1	45.6821018313	49.9519981001	16034657.0	18.1818181818	46.0
24_1	37.4323068658	49.9574992998	16570527.0	18.1818181818	45.0
25_1	51.3326668186	118.351674619	14691427.0	18.1818181818	45.0
25_2	53.0117355523	123.41223141	14636808.0	27.2727272727	46.0
26_1	54.238301717	117.943372291	13653369.0	18.1818181818	45.0
26_2	55.1056297716	122.555347342	13676158.0	18.1818181818	45.0
27_1	43.9991146318	49.9572516427	11590036.0	18.1818181818	45.0
28_2	41.0199104434	49.9493996056	13430172.0	18.1818181818	41.0
29_1	58.1236141879	49.9297206357	18823847.0	27.2727272727	47.0
2_2	33.3134990412	49.9512117185	11601003.0	18.1818181818	45.0
30_1	30.893995792	49.9560966137	13636488.0	18.1818181818	45.0
31_2	1.3875123885	49.9205483978	6054.0	18.1818181818	43.0
32_1	44.294147365	117.556437854	14603151.0	9.09090909091	42.0
32_2	46.9780418112	123.422789654	14659389.0	18.1818181818	42.0
33_1	46.4597981618	49.9522207457	11748216.0	18.1818181818	45.0
34_1	49.6659540816	49.9231335183	11198288.0	18.1818181818	47.0
35_2	46.3875215853	49.9412090943	18083188.0	18.1818181818	41.0
36_2	40.5530855935	49.9517836553	16226510.0	18.1818181818	42.0
37_1	33.3358773192	115.902760493	16809464.0	9.09090909091	44.0
37_2	35.1001974939	123.52829871	16763202.0	18.1818181818	45.0
38_2	40.2323569863	49.9582510675	15474216.0	18.1818181818	42.0
39_1	44.0426254229	119.761543834	14850071.0	9.09090909091	42.0
39_2	43.1876225733	123.614539804	14786279.0	18.1818181818	42.0
3_1	42.7872700738	119.555575697	12599869.0	9.09090909091	44.0
3_2	43.8884046238	123.381036327	12559149.0	18.1818181818	45.0
40_2	36.5351712156	49.9538020817	21096535.0	18.1818181818	46.0
41_1	42.744558711	119.123279448	14394946.0	9.09090909091	42.0
41_2	42.6592118779	123.845807191	14343023.0	18.1818181818	43.0
42_2	43.7656834921	49.8941007773	17687788.0	18.1818181818	42.0
43_1	35.3813148216	119.878967527	13593922.0	9.09090909091	44.0
43_2	37.6363549676	123.319651141	13576260.0	18.1818181818	44.0
44_1	36.0927246109	49.9569802761	12197963.0	18.1818181818	43.0
45_1	38.1123314708	119.111759866	11500837.0	9.09090909091	43.0
45_2	39.633907363	123.444503268	11493875.0	18.1818181818	44.0
46_1	29.7258746918	49.959683082	11360541.0	18.1818181818	44.0
47_2	38.6688807638	49.9545839202	11331229.0	18.1818181818	42.0
48_2	38.594090596	49.9494296095	20511212.0	18.1818181818	45.0
4_1	39.1222671625	119.525240067	13285900.0	9.09090909091	42.0
4_2	39.5552032105	123.779139338	13243626.0	18.1818181818	43.0
5_1	39.1243163948	119.491581131	17233074.0	9.09090909091	43.0
5_2	39.778639151	123.390259559	17147416.0	18.1818181818	44.0
6_1	41.2060803383	117.42116158	16767491.0	9.09090909091	44.0
6_2	43.4916769966	122.72476165	16925443.0	9.09090909091	44.0
7_1	32.1338624601	49.9587730409	11869442.0	18.1818181818	45.0
8_1	51.2218449105	49.9586867316	13519095.0	27.2727272727	46.0
9_1	67.0043166527	119.010169238	12001588.0	18.1818181818	47.0
9_2	67.5640674317	123.132142905	11938893.0	27.2727272727	47.0
