"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Treatment_Compare","5_2","10_2","13_2","14_2","15_2","16_2","19_2","20_2","40_2","45_2","48_2"
"Montipora_capitata_PredGene_g35456",284.460839598599,1.44166869527958,0.254553144770301,5.66352734153212,1.48292528848109e-08,1.33119861685966e-05,"CvsHigh",769,95,668,984,113,160,145,98,150,683,164
"Montipora_capitata_PredGene_adi2mcaRNA3796_R3",502.33038044213,-1.82535909691005,0.45870695784242,-3.97935777014553,6.91016856655339e-05,0.0163694215376576,"CvsHigh",310,607,670,194,265,452,334,674,560,127,878
"Montipora_capitata_PredGene_g61775",17.6762196375865,-2.77350786561573,0.480724921381819,-5.76942809131555,7.95410097870456e-09,8.02705961132214e-06,"CvsHigh",7,17,11,9,16,26,17,16,22,0,25
"Montipora_capitata_PredGene_adi2mcaRNA26986_R3",91.2819315986551,-1.44970449168217,0.376892875860218,-3.8464629727303,0.000119835230743955,0.024332258280582,"CvsHigh",137,60,62,84,76,94,58,83,174,43,86
"Montipora_capitata_PredGene_g63093",17.8346684624415,-1.96359340122121,0.53082981678128,-3.69910155598941,0.0002163640195069,0.0365376704624722,"CvsHigh",19,14,12,12,16,21,20,17,22,0,22
"Montipora_capitata_PredGene_g13046",203.349467885992,1.82144765885357,0.481588566644661,3.78216549355401,0.000155469939852966,0.0294632810459133,"CvsHigh",643,243,449,842,53,63,84,162,122,193,45
"Montipora_capitata_PredGene_adi2mcaRNA38767_R7",22.109352596405,-2.14607818404862,0.559669604609247,-3.83454482139865,0.000125797032646327,0.0248464391914129,"CvsHigh",6,37,8,24,13,33,25,10,16,9,35
"Montipora_capitata_PredGene_g24143",149.620999168334,1.22839953489683,0.246667918025799,4.97997285065808,6.35931937595653e-07,0.000387373397415409,"CvsHigh",306,77,375,483,59,88,84,65,72,333,107
"Montipora_capitata_PredGene_adi2mcaRNA21693_R0",46.9544317639804,-1.36726050572403,0.299919090513731,-4.55876451006187,5.14554284365047e-06,0.00204098555212331,"CvsHigh",58,61,44,48,29,53,27,30,59,24,70
"Montipora_capitata_PredGene_g18729",200.807808281383,0.75802023654885,0.17915126329971,4.23117438631021,2.3247434487573e-05,0.00774194866028931,"CvsHigh",506,108,492,436,88,131,113,115,148,348,158
"Montipora_capitata_PredGene_g44164",660.098486436166,0.764288253617171,0.194781435871369,3.92382492817178,8.71540812264341e-05,0.0190576924281803,"CvsHigh",1912,432,1267,1546,395,403,344,365,513,982,453
"Montipora_capitata_PredGene_g43774",108.434994567514,-1.2378239220326,0.239033074109195,-5.17846296645599,2.23721473185269e-07,0.000165904062897737,"CvsHigh",108,113,100,111,102,119,66,105,125,56,112
"Montipora_capitata_PredGene_g53226",213.545452508858,0.969939273942068,0.200731261014715,4.83202899757087,1.3514856407974e-06,0.000719045218036458,"CvsHigh",660,142,423,530,88,121,122,145,145,330,138
"Montipora_capitata_PredGene_adi2mcaRNA8620_R1",67.9994533756123,-3.19187191060478,0.341057578409987,-9.35874794363261,8.0687139863881e-21,6.88099928759177e-17,"CvsHigh",19,81,34,18,55,73,56,54,89,11,149
"Montipora_capitata_PredGene_adi2mcaRNA12026_R0",40.3305184143875,-2.09626653985885,0.420821037924002,-4.9813729612953,6.31347253921863e-07,0.000387373397415409,"CvsHigh",11,57,25,31,20,39,47,26,48,21,72
"Montipora_capitata_PredGene_g27724",1679.22618887576,1.53972851748428,0.251593800168767,6.11989848895897,9.36349880082303e-10,1.14074168247741e-06,"CvsHigh",6170,1080,3966,4387,767,705,1159,1191,882,2047,668
"Montipora_capitata_PredGene_g61660",53.5958215837039,-1.73540330754795,0.422165038783633,-4.11072246187911,3.94423063401136e-05,0.0112121329489496,"CvsHigh",43,103,26,43,26,37,40,62,46,17,93
"Montipora_capitata_PredGene_adi2mcaRNA26986_R2",72.564166517921,-2.01373848108517,0.438185869826195,-4.59562623934886,4.31451481669276e-06,0.0018868811465003,"CvsHigh",72,54,29,38,68,79,47,75,155,36,55
"Montipora_capitata_PredGene_g36664",97.8622859266214,1.45500458652463,0.365524325130828,3.98059578115315,6.87427587997113e-05,0.0163694215376576,"CvsHigh",233,106,245,332,44,50,76,33,49,124,35
"Montipora_capitata_PredGene_g40719",51.6620513476617,-1.2686510731268,0.268277324567789,-4.72887924900355,2.25762597000552e-06,0.00106961301512262,"CvsHigh",53,45,64,57,29,50,42,47,73,24,70
"Montipora_capitata_PredGene_g29444",102.715167622297,2.94796390273888,0.653403372478495,4.5117059796564,6.430829091644e-06,0.00249282320425182,"CvsHigh",390,15,373,155,9,11,52,23,14,436,57
"Montipora_capitata_PredGene_g66821",294.433892607698,-4.81093352734454,0.971221150028849,-4.95348925134264,7.28943866884092e-07,0.000428719537709485,"CvsHigh",17,351,8,5,325,105,117,402,579,59,635
"Montipora_capitata_PredGene_g41994",15.7534197595877,-2.71249215193627,0.652797176494673,-4.15518364601628,3.25026373967486e-05,0.00972570146384113,"CvsHigh",7,11,11,14,7,31,18,9,11,0,39
"Montipora_capitata_PredGene_g32819",61.6151817127196,-2.38227566136808,0.656685679841449,-3.62772591895602,0.000285928552136619,0.043163854033813,"CvsHigh",9,49,18,94,29,108,99,35,75,12,75
"Montipora_capitata_PredGene_g60874",2442.85667956605,-0.848488828523774,0.221380740926157,-3.83271293145954,0.000126737817170082,0.0248464391914129,"CvsHigh",3702,1498,2546,3578,1443,2606,2141,1483,3336,2173,2872
"Montipora_capitata_PredGene_g67062",34.7481775450266,-2.31168186366529,0.612485417669534,-3.77426432854692,0.000160480535087214,0.0300786374334892,"CvsHigh",0,47,21,16,27,37,34,37,37,19,48
"Montipora_capitata_PredGene_g3562",61.0354791885978,1.47239485525273,0.383116680769682,3.84320216048721,0.000121439354431863,0.0243678779904689,"CvsHigh",184,35,92,147,18,30,35,34,31,181,33
"Montipora_capitata_PredGene_g51187",869.495456393864,1.14828453083056,0.29641570652593,3.87389907332765,0.000107107784473112,0.0222784191704073,"CvsHigh",2948,498,1167,2886,390,515,619,484,510,1318,468
"Montipora_capitata_PredGene_g51186",1323.2900181037,1.3965636389616,0.374702125693522,3.72713028082441,0.000193672360611744,0.0340543895112773,"CvsHigh",4471,541,1874,6024,569,748,887,723,792,1724,518
"Montipora_capitata_PredGene_g41734",176.503596004498,-1.53990762361909,0.366096220299662,-4.20629205720459,2.59594716853914e-05,0.00835405186917047,"CvsHigh",249,105,87,133,144,229,131,207,216,89,207
"Montipora_capitata_PredGene_g67655",65.7622849514976,-1.30011244690435,0.345076971957408,-3.76760129639951,0.000164823667757138,0.0305568747528885,"CvsHigh",56,57,93,54,45,85,39,41,54,54,129
"Montipora_capitata_PredGene_adi2mcaRNA15384_R0",1020.6980525005,1.62425474019911,0.161478792652793,10.0586257397375,8.41649742956529e-24,1.43551780158666e-19,"CvsHigh",2812,450,2893,3440,307,466,345,371,548,2594,581
"Montipora_capitata_PredGene_adi2mcaRNA4201_R8",30.2090528545957,-1.80175103070106,0.38773667598465,-4.646841896309,3.37055291697061e-06,0.00151284606715397,"CvsHigh",25,21,18,27,26,37,25,42,36,7,33
"Montipora_capitata_PredGene_g36718",73.7681204268675,-2.08212128142156,0.443461360247303,-4.69515828901178,2.66400353748086e-06,0.00122803363068307,"CvsHigh",63,76,27,83,50,116,79,55,81,10,95
"Montipora_capitata_PredGene_g43085",164.790837028336,-0.92206098750012,0.250446897637562,-3.68166264464771,0.000231717893036986,0.0380017344580657,"CvsHigh",163,138,184,190,133,140,113,109,199,174,236
"Montipora_capitata_PredGene_g63102",1694.80006163767,-1.87518715817811,0.325341060763531,-5.76375805063555,8.22613201357741e-09,8.02705961132214e-06,"CvsHigh",676,2029,1284,1818,1052,2101,1756,990,1843,751,2808
"Montipora_capitata_PredGene_g23310",702.883996721443,0.723467223105343,0.174427221303114,4.14767384184906,3.35870420784495e-05,0.00975865908591308,"CvsHigh",1751,471,1496,1906,325,531,477,413,437,901,498
"Montipora_capitata_PredGene_g36333",69.3666478499949,-2.78344493743756,0.583042664673392,-4.77399872442746,1.80603525432348e-06,0.000880106779935464,"CvsHigh",34,61,38,45,70,83,50,61,123,0,97
"Montipora_capitata_PredGene_g43715",514.504239209492,-0.988859316116855,0.249553258404314,-3.96251815119461,7.41633667121456e-05,0.0165202232253757,"CvsHigh",633,640,647,581,267,439,428,364,531,304,789
"Montipora_capitata_PredGene_g50913",401.200529969516,0.81276402179202,0.208616311663256,3.89597541684068,9.78043094480737e-05,0.0208518787743293,"CvsHigh",911,232,770,1143,206,266,277,186,283,700,274
"Montipora_capitata_PredGene_g22281",2799.81039710439,1.76674632884349,0.346502999235083,5.09879086975767,3.41829953220033e-07,0.000242927153421703,"CvsHigh",6081,827,5857,11744,824,1479,1243,723,1310,9119,1284
"Montipora_capitata_PredGene_g55946",67.4354282519657,2.92731647897494,0.460505201805565,6.35675008120953,2.06066842267653e-10,3.19516005610645e-07,"CvsHigh",137,20,243,383,12,9,26,11,13,192,31
