"","5_2","10_2","13_2","14_2","15_2","16_2","19_2","20_2","40_2","45_2","48_2"
"Montipora_capitata_PredGene_g19223",79,65,72,103,43,61,62,53,45,35,63
"Montipora_capitata_PredGene_g14329",158,139,205,189,100,108,106,107,138,111,142
"Montipora_capitata_PredGene_g35456",769,95,668,984,113,160,145,98,150,683,164
"Montipora_capitata_PredGene_adi2mcaRNA3796_R3",310,607,670,194,265,452,334,674,560,127,878
"Montipora_capitata_PredGene_g61775",7,17,11,9,16,26,17,16,22,0,25
"Montipora_capitata_PredGene_adi2mcaRNA26986_R3",137,60,62,84,76,94,58,83,174,43,86
"Montipora_capitata_PredGene_g63093",19,14,12,12,16,21,20,17,22,0,22
"Montipora_capitata_PredGene_g9676",42,66,17,42,27,34,21,41,36,8,45
"Montipora_capitata_PredGene_g13046",643,243,449,842,53,63,84,162,122,193,45
"Montipora_capitata_PredGene_g39266",239,81,216,336,48,74,58,54,80,233,119
"Montipora_capitata_PredGene_g66924",26,78,9,25,19,18,20,25,43,16,28
"Montipora_capitata_PredGene_adi2mcaRNA38767_R7",6,37,8,24,13,33,25,10,16,9,35
"Montipora_capitata_PredGene_g24143",306,77,375,483,59,88,84,65,72,333,107
"Montipora_capitata_PredGene_adi2mcaRNA36296_R6",219,225,259,309,150,191,115,179,227,112,214
"Montipora_capitata_PredGene_adi2mcaRNA21693_R0",58,61,44,48,29,53,27,30,59,24,70
"Montipora_capitata_PredGene_g18729",506,108,492,436,88,131,113,115,148,348,158
"Montipora_capitata_PredGene_g44164",1912,432,1267,1546,395,403,344,365,513,982,453
"Montipora_capitata_PredGene_g43774",108,113,100,111,102,119,66,105,125,56,112
"Montipora_capitata_PredGene_g53226",660,142,423,530,88,121,122,145,145,330,138
"Montipora_capitata_PredGene_g35468",29,28,42,36,20,29,38,26,29,19,30
"Montipora_capitata_PredGene_adi2mcaRNA8620_R1",19,81,34,18,55,73,56,54,89,11,149
"Montipora_capitata_PredGene_adi2mcaRNA12026_R0",11,57,25,31,20,39,47,26,48,21,72
"Montipora_capitata_PredGene_g27724",6170,1080,3966,4387,767,705,1159,1191,882,2047,668
"Montipora_capitata_PredGene_g32748",1665,364,1491,2070,321,577,530,294,419,1549,548
"Montipora_capitata_PredGene_g22334",1177,274,772,1057,203,310,237,260,340,584,353
"Montipora_capitata_PredGene_g33747",306,65,212,372,59,88,69,72,91,316,93
"Montipora_capitata_PredGene_g61660",43,103,26,43,26,37,40,62,46,17,93
"Montipora_capitata_PredGene_adi2mcaRNA26986_R2",72,54,29,38,68,79,47,75,155,36,55
"Montipora_capitata_PredGene_adi2mcaRNA10298_R0",3202,1031,3368,4701,795,1221,931,730,1115,1941,1338
"Montipora_capitata_PredGene_g36664",233,106,245,332,44,50,76,33,49,124,35
"Montipora_capitata_PredGene_g40719",53,45,64,57,29,50,42,47,73,24,70
"Montipora_capitata_PredGene_g29444",390,15,373,155,9,11,52,23,14,436,57
"Montipora_capitata_PredGene_g66821",17,351,8,5,325,105,117,402,579,59,635
"Montipora_capitata_PredGene_g41994",7,11,11,14,7,31,18,9,11,0,39
"Montipora_capitata_PredGene_g32819",9,49,18,94,29,108,99,35,75,12,75
"Montipora_capitata_PredGene_g60874",3702,1498,2546,3578,1443,2606,2141,1483,3336,2173,2872
"Montipora_capitata_PredGene_g67062",0,47,21,16,27,37,34,37,37,19,48
"Montipora_capitata_PredGene_adi2mcaRNA1577_R1",12,24,11,5,13,10,8,16,20,9,20
"Montipora_capitata_PredGene_g3562",184,35,92,147,18,30,35,34,31,181,33
"Montipora_capitata_PredGene_g28211",612,185,596,942,112,231,174,190,308,550,248
"Montipora_capitata_PredGene_g51187",2948,498,1167,2886,390,515,619,484,510,1318,468
"Montipora_capitata_PredGene_g51186",4471,541,1874,6024,569,748,887,723,792,1724,518
"Montipora_capitata_PredGene_g41734",249,105,87,133,144,229,131,207,216,89,207
"Montipora_capitata_PredGene_g67655",56,57,93,54,45,85,39,41,54,54,129
"Montipora_capitata_PredGene_adi2mcaRNA15384_R0",2812,450,2893,3440,307,466,345,371,548,2594,581
"Montipora_capitata_PredGene_adi2mcaRNA4201_R8",25,21,18,27,26,37,25,42,36,7,33
"Montipora_capitata_PredGene_g36718",63,76,27,83,50,116,79,55,81,10,95
"Montipora_capitata_PredGene_g43085",163,138,184,190,133,140,113,109,199,174,236
"Montipora_capitata_PredGene_adi2mcaRNA15070_R6",52,41,37,60,24,44,51,46,37,38,39
"Montipora_capitata_PredGene_g63102",676,2029,1284,1818,1052,2101,1756,990,1843,751,2808
"Montipora_capitata_PredGene_g23310",1751,471,1496,1906,325,531,477,413,437,901,498
"Montipora_capitata_PredGene_g36333",34,61,38,45,70,83,50,61,123,0,97
"Montipora_capitata_PredGene_g43715",633,640,647,581,267,439,428,364,531,304,789
"Montipora_capitata_PredGene_g50913",911,232,770,1143,206,266,277,186,283,700,274
"Montipora_capitata_PredGene_g22281",6081,827,5857,11744,824,1479,1243,723,1310,9119,1284
"Montipora_capitata_PredGene_g55946",137,20,243,383,12,9,26,11,13,192,31
"Montipora_capitata_PredGene_g57753",1125,334,782,3882,123,235,371,607,206,925,111
"Montipora_capitata_PredGene_g22616",628,168,449,622,132,175,183,139,171,407,185
"Montipora_capitata_PredGene_adi2mcaRNA21702_R1",16,31,20,25,17,20,25,18,21,12,25
"Montipora_capitata_PredGene_g30681",317,135,261,275,48,46,54,72,64,122,64
"Montipora_capitata_PredGene_g38249",100,95,126,115,74,77,59,62,87,59,110
"Montipora_capitata_PredGene_g2532",2061,744,1981,2930,506,665,682,564,820,1550,667
"Montipora_capitata_PredGene_g23101",416,371,514,498,228,330,216,292,345,285,398
"Montipora_capitata_PredGene_g10736",710,210,618,705,169,181,220,186,240,651,239
"Montipora_capitata_PredGene_g47151",242,35,187,175,29,61,44,41,49,136,47
"Montipora_capitata_PredGene_g56911",32,96,103,53,58,43,60,68,125,22,162
"Montipora_capitata_PredGene_g21181",14,18,9,14,11,20,19,17,16,6,22
"Montipora_capitata_PredGene_g31443",133,144,171,145,98,114,77,104,144,62,181
"Montipora_capitata_PredGene_g22815",154,130,140,170,70,126,73,102,118,71,147
"Montipora_capitata_PredGene_adi2mcaRNA12_R8",34,41,40,40,22,34,18,32,47,15,46
"Montipora_capitata_PredGene_g22253",2191,364,1388,1704,386,593,424,389,506,1095,544
"Montipora_capitata_PredGene_g48085",2026,833,2036,2293,497,587,647,559,716,1262,844
"Montipora_capitata_PredGene_g3686",24,59,18,34,27,50,57,51,47,25,75
"Montipora_capitata_PredGene_g64908",17,49,9,15,23,49,50,48,55,7,66
"Montipora_capitata_PredGene_g518",0,246,15,85,92,200,155,106,191,14,393
"Montipora_capitata_PredGene_g46631",4313,1227,4105,4452,700,1260,1157,919,1354,4161,1845
"Montipora_capitata_PredGene_g26572",96,56,212,152,21,20,36,39,34,299,32
"Montipora_capitata_PredGene_g17706",433,112,441,521,92,156,141,99,148,352,164
"Montipora_capitata_PredGene_g24972",2421,256,626,1747,233,182,553,409,242,683,123
"Montipora_capitata_PredGene_g21615",18,42,26,18,24,26,27,33,45,3,46
"Montipora_capitata_PredGene_g6064",142,639,33,15,225,361,250,439,285,11,607
"Montipora_capitata_PredGene_g27898",1065,204,504,1024,150,222,185,261,197,485,137
"Montipora_capitata_PredGene_adi2mcaRNA26447_R5",424,92,239,385,69,92,87,95,99,274,80
"Montipora_capitata_PredGene_g24884",1689,329,1419,1596,249,471,390,314,480,881,546
"Montipora_capitata_PredGene_adi2mcaRNA12420_R3",15,22,21,19,13,23,18,20,18,10,24
"Montipora_capitata_PredGene_g54997",120,362,126,79,275,502,364,287,350,122,421
"Montipora_capitata_PredGene_adi2mcaRNA31183_R2",107,130,139,140,90,95,72,88,134,65,137
"Montipora_capitata_PredGene_g55802",1533,374,1273,1611,294,329,341,341,412,580,341
"Montipora_capitata_PredGene_g25159",125,420,213,145,232,338,225,263,336,11,466
"Montipora_capitata_PredGene_g28510",38,88,16,22,103,86,68,160,129,3,100
"Montipora_capitata_PredGene_adi2mcaRNA5341_R0",11,61,22,24,21,50,35,34,27,9,79
"Montipora_capitata_PredGene_adi2mcaRNA29406_R1",252,76,210,250,47,69,59,66,73,129,56
"Montipora_capitata_PredGene_g65430",786,240,1058,846,100,205,188,181,212,536,321
"Montipora_capitata_PredGene_g65431",100,23,165,104,13,26,20,22,24,74,33
"Montipora_capitata_PredGene_g56282",51,43,51,56,33,62,48,52,47,32,58
"Montipora_capitata_PredGene_g32152",3394,639,1529,2372,590,597,726,788,569,1410,531
"Montipora_capitata_PredGene_g33208",3694,1025,3426,5323,701,1084,1024,861,1229,4045,1468
"Montipora_capitata_PredGene_g41407",19264,1542,6874,17888,1893,2121,3636,3785,1838,8279,859
"Montipora_capitata_PredGene_g41405",1141,120,258,1700,137,101,263,147,116,525,42
"Montipora_capitata_PredGene_adi2mcaRNA6000_R0",31,36,36,40,21,60,21,17,34,24,41
"Montipora_capitata_PredGene_g25681",292,51,200,196,43,56,54,58,67,172,70
"Montipora_capitata_PredGene_g59546",168,121,92,104,94,105,91,188,138,44,181
"Montipora_capitata_PredGene_g546",73,111,107,145,53,80,63,68,103,43,133
"Montipora_capitata_PredGene_adi2mcaRNA9790_R0",1145,318,1101,1360,270,399,336,295,390,941,468
"Montipora_capitata_PredGene_g6322",1083,307,1011,1181,244,335,330,269,350,815,395
"Montipora_capitata_PredGene_g62662",806,587,892,962,460,523,391,486,605,484,650
"Montipora_capitata_PredGene_g71411",44,30,37,42,18,27,25,26,57,17,46
"Montipora_capitata_PredGene_g47600",1604,329,1269,1779,299,448,440,290,423,979,428
"Montipora_capitata_PredGene_g33707",38,31,23,19,19,25,24,25,34,18,41
"Montipora_capitata_PredGene_g23209",1984,441,2220,2837,460,529,569,437,580,2498,674
"Montipora_capitata_PredGene_g15440",559,132,405,588,132,114,150,142,176,335,172
"Montipora_capitata_PredGene_adi2mcaRNA9177_R0",678,107,407,784,61,154,123,145,121,391,212
"Montipora_capitata_PredGene_g18352",220,38,226,307,35,45,53,28,39,242,55
"Montipora_capitata_PredGene_g48239",50,114,34,89,96,121,84,79,144,99,79
"Montipora_capitata_PredGene_g27065",8,14,9,7,12,11,6,13,15,0,12
"Montipora_capitata_PredGene_adi2mcaRNA26986_R0",540,122,448,414,90,121,94,107,189,291,155
"Montipora_capitata_PredGene_g3118",795,247,881,751,162,229,212,207,225,412,274
"Montipora_capitata_PredGene_g71443",9,17,6,10,14,11,16,15,16,0,19
"Montipora_capitata_PredGene_g1833",1466,350,1290,1704,289,439,440,304,560,1193,527
"Montipora_capitata_PredGene_g29986",11,31,0,21,49,83,51,51,65,11,75
"Montipora_capitata_PredGene_g45462",45,28,21,24,21,23,39,32,42,20,51
"Montipora_capitata_PredGene_g33968",143,11,57,77,11,13,12,13,18,160,15
"Montipora_capitata_PredGene_adi2mcaRNA6174_R8",43,37,36,29,24,34,30,31,46,20,32
"Montipora_capitata_PredGene_adi2mcaRNA33132_R8",297,68,185,193,31,37,48,72,41,168,81
"Montipora_capitata_PredGene_g27090",7434,1668,4670,8055,1330,1718,2066,1783,1773,5202,1502
"Montipora_capitata_PredGene_g69559",751,249,596,784,161,184,206,184,231,564,266
"Montipora_capitata_PredGene_g42570",143,25,90,128,18,24,26,22,30,81,25
"Montipora_capitata_PredGene_adi2mcaRNA26720_R3",1637,234,987,2350,248,292,379,270,273,818,273
"Montipora_capitata_PredGene_g70475",447,168,420,418,102,83,110,124,121,291,115
"Montipora_capitata_PredGene_g37834",99,21,147,145,21,34,15,19,31,102,27
"Montipora_capitata_PredGene_adi2mcaRNA25316_R5",79,12,59,64,11,9,9,13,18,50,15
"Montipora_capitata_PredGene_adi2mcaRNA25316_R4",236,11,90,113,13,15,18,17,18,71,15
"Montipora_capitata_PredGene_g18784",14982,426,13843,23132,948,1560,1008,544,799,6991,1156
"Montipora_capitata_PredGene_g18788",554,59,2269,69,47,19,20,32,42,2100,99
"Montipora_capitata_PredGene_g12169",19,48,24,36,26,31,31,45,36,20,53
"Montipora_capitata_PredGene_g3095",939,213,618,1385,110,301,197,82,124,2027,163
"Montipora_capitata_PredGene_g3096",2671,857,3069,5692,401,1105,888,303,430,5660,1192
