gene_id,10_2.fastq.trim.fq.Aligned.sortedByCoord.out.bam.merge.gtf,13_2.fastq.trim.fq.Aligned.sortedByCoord.out.bam.merge.gtf,14_2.fastq.trim.fq.Aligned.sortedByCoord.out.bam.merge.gtf,15_2.fastq.trim.fq.Aligned.sortedByCoord.out.bam.merge.gtf,16_2.fastq.trim.fq.Aligned.sortedByCoord.out.bam.merge.gtf,19_2.fastq.trim.fq.Aligned.sortedByCoord.out.bam.merge.gtf,20_2.fastq.trim.fq.Aligned.sortedByCoord.out.bam.merge.gtf,40_2.fastq.trim.fq.Aligned.sortedByCoord.out.bam.merge.gtf,45_2.fastq.trim.fq.Aligned.sortedByCoord.out.bam.merge.gtf,48_2.fastq.trim.fq.Aligned.sortedByCoord.out.bam.merge.gtf,5_2.fastq.trim.fq.Aligned.sortedByCoord.out.bam.merge.gtf
Montipora_capitata_PredGene_g50709,1,2,4,1,1,1,1,1,1,1,4
Montipora_capitata_PredGene_g58575,163,258,495,91,178,164,175,280,439,278,338
Montipora_capitata_PredGene_g58574,137,230,389,111,171,102,119,148,276,188,345
Montipora_capitata_PredGene_g58577,111,250,304,82,119,92,78,112,205,147,181
Montipora_capitata_PredGene_g34798,105,305,497,68,165,67,63,81,190,127,202
Montipora_capitata_PredGene_g58571,350,890,1618,337,551,528,294,528,1076,496,1178
Montipora_capitata_PredGene_adi2mcaRNA9470_R5,0,0,8,0,3,8,0,0,0,6,0
Montipora_capitata_PredGene_g58572,36,45,71,18,31,34,21,38,40,24,84
Montipora_capitata_PredGene_adi2mcaRNA18654_R0,2,7,0,4,4,3,2,0,0,6,5
Montipora_capitata_PredGene_g58579,90,239,96,83,49,45,115,153,189,107,259
Montipora_capitata_PredGene_g58578,16,47,41,11,17,12,31,25,42,20,59
Montipora_capitata_PredGene_adi2mcaRNA6526_R9,0,0,0,0,0,0,0,0,0,0,0
Montipora_capitata_PredGene_g3481,1,0,8,9,14,19,17,11,6,1,36
Montipora_capitata_PredGene_g34793,0,0,0,0,0,0,0,0,0,0,0
Montipora_capitata_PredGene_adi2mcaRNA7895_R7,7,21,3,1,0,1,1,1,2,7,7
Montipora_capitata_PredGene_adi2mcaRNA6526_R5,1,2,1,1,1,1,1,2,0,1,2
Montipora_capitata_PredGene_g35097,32,43,48,10,14,10,12,31,11,26,19
Montipora_capitata_PredGene_g34791,85,164,147,28,72,75,32,48,106,118,66
Montipora_capitata_PredGene_g35096,113,265,211,56,71,72,81,105,177,147,287
Montipora_capitata_PredGene_g49979,0,0,0,0,0,0,0,0,0,0,0
Montipora_capitata_PredGene_g57289,0,0,0,0,0,0,0,0,0,0,0
Montipora_capitata_PredGene_g42159,0,0,32,0,14,14,0,1,18,2,2
Montipora_capitata_PredGene_g57282,0,0,0,0,0,0,1,0,0,0,1
Montipora_capitata_PredGene_g34797,1,6,0,1,1,1,1,2,3,1,4
Montipora_capitata_PredGene_g49977,130,434,432,101,151,136,118,131,237,191,324
Montipora_capitata_PredGene_g49976,270,450,674,224,229,221,169,369,887,319,492
Montipora_capitata_PredGene_g49975,227,536,480,82,207,170,134,124,242,287,366
Montipora_capitata_PredGene_g49974,0,0,2,1,1,0,0,0,2,1,0
Montipora_capitata_PredGene_g12458,1,0,0,0,0,0,0,0,0,0,0
Montipora_capitata_PredGene_adi2mcaRNA31376_R1,13,3,0,10,17,10,12,17,4,10,0
Montipora_capitata_PredGene_adi2mcaRNA31376_R2,21,16,23,13,22,17,16,23,7,12,25
Montipora_capitata_PredGene_g48899,1,0,1,0,1,0,1,0,0,1,2
Montipora_capitata_PredGene_g12450,89,237,236,87,102,96,114,138,140,118,279
Montipora_capitata_PredGene_g12451,82,229,183,43,66,68,41,69,109,98,132
Montipora_capitata_PredGene_g12452,74,195,220,32,99,70,31,65,97,109,81
Montipora_capitata_PredGene_g34794,23,101,115,17,28,26,25,24,28,37,60
Montipora_capitata_PredGene_g64022,1,2,0,0,1,1,1,0,1,1,0
Montipora_capitata_PredGene_g52638,0,0,0,0,0,1,1,1,0,0,0
Montipora_capitata_PredGene_g52639,1,0,2,0,0,1,1,0,2,0,0
Montipora_capitata_PredGene_g58327,1,0,0,0,0,0,0,0,0,0,0
Montipora_capitata_PredGene_g56150,0,0,0,0,0,0,0,0,0,0,0
Montipora_capitata_PredGene_g46946,0,0,0,0,0,0,0,0,0,0,0
Montipora_capitata_PredGene_g52630,1,0,1,0,1,0,0,1,0,0,0
Montipora_capitata_PredGene_g52631,1741,4119,4381,1295,1649,1537,1968,1921,2652,2282,5107
Montipora_capitata_PredGene_g52632,169,380,351,95,134,139,126,140,249,165,416
Montipora_capitata_PredGene_g52634,0,0,0,0,0,0,0,0,0,0,4
Montipora_capitata_PredGene_g43713,5,4,4,2,5,1,1,3,2,6,9
Montipora_capitata_PredGene_g58321,12,8,22,4,9,5,3,11,27,7,22
Montipora_capitata_PredGene_g46944,43,88,173,46,61,47,44,58,74,33,140
Montipora_capitata_PredGene_g58322,0,8,10,3,3,4,10,10,0,8,17
Montipora_capitata_PredGene_g26394,1,0,0,0,0,0,0,0,0,0,0
Montipora_capitata_PredGene_g46942,71,164,150,28,56,45,36,58,93,86,113
Montipora_capitata_PredGene_g58391,36,104,93,54,46,37,52,56,46,50,231
Montipora_capitata_PredGene_g58390,129,234,296,111,119,100,97,127,174,168,258
Montipora_capitata_PredGene_g58393,242,380,380,175,185,126,229,206,144,257,577
Montipora_capitata_PredGene_g58392,95,213,217,81,71,81,79,136,285,101,308
Montipora_capitata_PredGene_g46473,1,12,2,2,1,2,3,3,2,3,3
Montipora_capitata_PredGene_g26396,0,0,0,0,3,0,0,0,0,0,6
Montipora_capitata_PredGene_g58399,1,0,0,0,0,0,0,0,0,0,0
Montipora_capitata_PredGene_g58398,1,0,1,0,0,0,1,1,0,1,3
Montipora_capitata_PredGene_g69987,1,4,2,1,1,1,1,1,3,1,5
Montipora_capitata_PredGene_g35004,117,264,319,105,132,107,93,160,171,143,298
Montipora_capitata_PredGene_g35005,153,274,294,115,142,110,132,169,219,183,330
Montipora_capitata_PredGene_g35006,134,327,216,80,90,77,147,189,185,148,519
Montipora_capitata_PredGene_g35007,93,202,291,61,121,102,93,108,172,108,338
Montipora_capitata_PredGene_g35000,188,353,347,145,161,116,178,222,163,240,301
Montipora_capitata_PredGene_g64098,87,182,179,56,76,52,81,101,120,87,201
Montipora_capitata_PredGene_g67210,0,0,0,0,0,0,0,0,0,0,0
Montipora_capitata_PredGene_g35003,54,132,98,38,63,42,58,49,39,84,136
