"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Treatment_Compare","5_2","10_2","13_2","14_2","15_2","16_2","19_2","20_2","40_2","45_2","48_2","gene_id"
"1",62.1778082885957,-0.919128366014602,0.246206142967525,-3.73316585417544,0.000189087993419505,0.0329090287322764,"CvsMid",79,65,72,103,43,61,62,53,45,35,63,"Montipora_capitata_PredGene_g19223"
"2",135.826817387627,-0.708428572458373,0.176628075741889,-4.0108491783244,6.05007509425279e-05,0.0137586774410101,"CvsMid",158,139,205,189,100,108,106,107,138,111,142,"Montipora_capitata_PredGene_g14329"
"3",284.460839598599,1.52115917824122,0.237596515196295,6.40227899379956,1.53074616841433e-10,2.0083389729596e-07,"CvsMid",769,95,668,984,113,160,145,98,150,683,164,"Montipora_capitata_PredGene_g35456"
"4",502.33038044213,-1.77806972826932,0.425181026425203,-4.18191221564803,2.89067584750406e-05,0.00809420291076694,"CvsMid",310,607,670,194,265,452,334,674,560,127,878,"Montipora_capitata_PredGene_adi2mcaRNA3796_R3"
"5",17.6762196375865,-2.60233910976073,0.46554702270023,-5.58985233041947,2.27262796606825e-08,1.84580678996476e-05,"CvsMid",7,17,11,9,16,26,17,16,22,0,25,"Montipora_capitata_PredGene_g61775"
"6",17.8346684624415,-1.99304080419224,0.502440397127628,-3.9667208599988,7.28682509058803e-05,0.0155355110931337,"CvsMid",19,14,12,12,16,21,20,17,22,0,22,"Montipora_capitata_PredGene_g63093"
"7",37.202902028934,-1.8045899668721,0.421388734291401,-4.28248270544455,1.84819501153467e-05,0.00573142074849734,"CvsMid",42,66,17,42,27,34,21,41,36,8,45,"Montipora_capitata_PredGene_g9676"
"8",116.990579850835,0.862062095606475,0.233849952797753,3.68638986364062,0.000227457812819672,0.0376652471403138,"CvsMid",239,81,216,336,48,74,58,54,80,233,119,"Montipora_capitata_PredGene_g39266"
"9",31.0929947906593,-2.09034485742237,0.49550762273515,-4.21859273502976,2.45831859321814e-05,0.00722915205619459,"CvsMid",26,78,9,25,19,18,20,25,43,16,28,"Montipora_capitata_PredGene_g66924"
"10",22.109352596405,-2.10198210010421,0.528213027699749,-3.97942116130282,6.90832641731795e-05,0.0149149892878196,"CvsMid",6,37,8,24,13,33,25,10,16,9,35,"Montipora_capitata_PredGene_adi2mcaRNA38767_R7"
"11",149.620999168334,1.15618847187317,0.230186060364209,5.02284312978728,5.09121272804917e-07,0.000280115239643892,"CvsMid",306,77,375,483,59,88,84,65,72,333,107,"Montipora_capitata_PredGene_g24143"
"12",200.720417228593,-0.863004984718523,0.225418171920498,-3.82846235228494,0.000128946350467249,0.0233969037613767,"CvsMid",219,225,259,309,150,191,115,179,227,112,214,"Montipora_capitata_PredGene_adi2mcaRNA36296_R6"
"13",200.807808281383,0.825603794562912,0.16887616357007,4.88881187912794,1.01446380111673e-06,0.00048063040532908,"CvsMid",506,108,492,436,88,131,113,115,148,348,158,"Montipora_capitata_PredGene_g18729"
"14",108.434994567514,-1.32453794927382,0.224087909447233,-5.91079613594998,3.40458181465134e-09,3.2260304128163e-06,"CvsMid",108,113,100,111,102,119,66,105,125,56,112,"Montipora_capitata_PredGene_g43774"
"15",213.545452508858,0.710090346461396,0.185801712815271,3.82176426525941,0.000132500321086476,0.0237886892257993,"CvsMid",660,142,423,530,88,121,122,145,145,330,138,"Montipora_capitata_PredGene_g53226"
"16",30.76911985901,-1.09979654697474,0.306461910526929,-3.58868919495984,0.000332344766973571,0.0497234416272037,"CvsMid",29,28,42,36,20,29,38,26,29,19,30,"Montipora_capitata_PredGene_g35468"
