"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Treatment_Compare","20_T12_Mc_PWC","21_T33_Mc_EOU","22_ctl2_Mc_TWF_1","28_ctl1_Mc_GBM_1","29_T23_Mc_PND","33_T43_Mc_RFV","34_T22_Mc_SVS","39_T13_Mc_FJE","42_ctl3_Mc_MGR_1","46_T41_Mc_QYH_1","49_T31_Mc_SWQ","55_T32_Mc_TWP","56_T42_Mc_JAW","58_T21_Mc_EAH","61_T11_Mc_RAP"
"STRG.15869",24.3794293136163,-1.50569222940938,0.390618603786659,-3.85463522426527,0.000115902308674709,0.03716600698169,"CvsT2",31,20,12,26,24,32,14,27,17,9,22,38,21,32,32
"Mcavernosa24806",1104.84501549221,-0.991656754989946,0.260593417682122,-3.80537913739477,0.000141587140481008,0.0411788088105928,"CvsT2",1233,804,1036,2273,1463,1053,888,828,1305,738,509,1113,1047,1634,1061
"Mcavernosa30573",48.3775175556967,2.42937633581986,0.425734666869182,5.70631551732749,1.15447907174855e-08,2.40631921188122e-05,"CvsT2",23,14,135,290,14,32,13,16,320,39,12,34,25,40,23
"Mcavernosa30572",80.8354241079748,2.52336795044712,0.428497658263626,5.88887220684567,3.88839968420303e-09,1.34432103053482e-05,"CvsT2",23,21,285,435,28,46,26,40,546,39,39,43,24,52,55
"Mcavernosa30575",43.9545456035024,3.35116407370178,0.570680151998133,5.87222818590815,4.29976341127402e-09,1.34432103053482e-05,"CvsT2",7,7,98,367,13,25,8,3,471,20,6,11,8,21,11
"Mcavernosa30574",67.2133170145486,3.08019516250379,0.482656855656227,6.38174953159199,1.75076150758792e-10,2.18950234138945e-06,"CvsT2",13,19,179,474,23,32,13,19,622,36,12,29,21,34,21
"Mcavernosa04010",33.9434669360564,-1.54013299718078,0.355891785223615,-4.32753174174302,1.50789619871717e-05,0.00942887493057848,"CvsT2",31,14,24,57,38,30,34,31,31,26,11,36,29,75,45
"Mcavernosa12089",1053.28351038437,1.81379743791394,0.426327517869375,4.25446953783004,2.0954518288902e-05,0.0117015287876646,"CvsT2",1304,789,1904,4427,147,1542,442,415,3059,802,1271,1301,504,637,744
"Mcavernosa28951",30.0012792007762,-2.39000675793529,0.549438736898229,-4.34990581739414,1.36196015178018e-05,0.00896456508324367,"CvsT2",56,32,12,17,23,33,46,24,17,6,16,39,34,39,28
"Mcavernosa10782",84.4999454592228,-1.47446221298662,0.387163788758848,-3.80836807521019,0.00013988694420628,0.0411788088105928,"CvsT2",162,71,44,59,67,95,63,70,90,66,55,61,118,133,75
