"","DEGs","Treatment_Compare"
"CvsT1","STRG.15869","CvsT1"
"CvsT11","Mcavernosa30573","CvsT1"
"CvsT12","Mcavernosa30572","CvsT1"
"CvsT13","Mcavernosa30575","CvsT1"
"CvsT14","Mcavernosa30574","CvsT1"
"CvsT15","Mcavernosa05196","CvsT1"
"CvsT16","Mcavernosa30729","CvsT1"
"CvsT17","Mcavernosa03628","CvsT1"
"CvsT18","Mcavernosa26093","CvsT1"
"CvsT19","Mcavernosa24709","CvsT1"
"CvsT110","Mcavernosa07006","CvsT1"
"CvsT111","Mcavernosa13956","CvsT1"
"CvsT112","Mcavernosa30571","CvsT1"
"CvsT113","Mcavernosa30570","CvsT1"
"CvsT114","Mcavernosa08717","CvsT1"
"CvsT115","Mcavernosa18547","CvsT1"
"CvsT116","Mcavernosa12043","CvsT1"
"CvsT117","Mcavernosa01252","CvsT1"
"CvsT118","Mcavernosa26827","CvsT1"
"CvsT2","STRG.15869","CvsT2"
"CvsT21","Mcavernosa24806","CvsT2"
"CvsT22","Mcavernosa30573","CvsT2"
"CvsT23","Mcavernosa30572","CvsT2"
"CvsT24","Mcavernosa30575","CvsT2"
"CvsT25","Mcavernosa30574","CvsT2"
"CvsT26","Mcavernosa04010","CvsT2"
"CvsT27","Mcavernosa12089","CvsT2"
"CvsT28","Mcavernosa28951","CvsT2"
"CvsT29","Mcavernosa10782","CvsT2"
"CvsT210","Mcavernosa13780","CvsT2"
"CvsT211","Mcavernosa03628","CvsT2"
"CvsT212","Mcavernosa26093","CvsT2"
"CvsT213","Mcavernosa24709","CvsT2"
"CvsT214","Mcavernosa07006","CvsT2"
"CvsT215","Mcavernosa02968","CvsT2"
"CvsT216","Mcavernosa15503","CvsT2"
"CvsT217","Mcavernosa18273","CvsT2"
"CvsT218","Mcavernosa11839","CvsT2"
"CvsT219","Mcavernosa01732","CvsT2"
"CvsT220","Mcavernosa00103","CvsT2"
"CvsT221","Mcavernosa20093","CvsT2"
"CvsT222","Mcavernosa25968","CvsT2"
"CvsT223","Mcavernosa33068","CvsT2"
"CvsT224","Mcavernosa30571","CvsT2"
"CvsT225","Mcavernosa30570","CvsT2"
"CvsT226","Mcavernosa33020","CvsT2"
"CvsT227","Mcavernosa03157","CvsT2"
"CvsT228","Mcavernosa02761","CvsT2"
"CvsT229","Mcavernosa10311","CvsT2"
"CvsT230","Mcavernosa08717","CvsT2"
"CvsT231","Mcavernosa21617","CvsT2"
"CvsT232","Mcavernosa18547","CvsT2"
"CvsT233","Mcavernosa12043","CvsT2"
"CvsT234","Mcavernosa16456","CvsT2"
"CvsT235","Mcavernosa01252","CvsT2"
"CvsT236","Mcavernosa02620","CvsT2"
"CvsT237","Mcavernosa02621","CvsT2"
"CvsT238","Mcavernosa14558","CvsT2"
"CvsT239","Mcavernosa13241","CvsT2"
"CvsT240","Mcavernosa02339","CvsT2"
"CvsT241","Mcavernosa13828","CvsT2"
"CvsT242","Mcavernosa25973","CvsT2"
"CvsT3","STRG.15869","CvsT3"
"CvsT31","Mcavernosa30960","CvsT3"
"CvsT32","Mcavernosa30573","CvsT3"
"CvsT33","Mcavernosa30572","CvsT3"
"CvsT34","Mcavernosa30575","CvsT3"
"CvsT35","Mcavernosa30574","CvsT3"
"CvsT36","Mcavernosa05091","CvsT3"
"CvsT37","Mcavernosa05196","CvsT3"
"CvsT38","Mcavernosa30729","CvsT3"
"CvsT39","Mcavernosa26093","CvsT3"
"CvsT310","Mcavernosa24709","CvsT3"
"CvsT311","Mcavernosa07006","CvsT3"
"CvsT312","Mcavernosa13956","CvsT3"
"CvsT313","Mcavernosa15503","CvsT3"
"CvsT314","Mcavernosa29012","CvsT3"
"CvsT315","Mcavernosa30571","CvsT3"
"CvsT316","Mcavernosa30570","CvsT3"
"CvsT317","Mcavernosa08717","CvsT3"
"CvsT318","Mcavernosa18547","CvsT3"
"CvsT319","Mcavernosa12043","CvsT3"
"CvsT320","Mcavernosa00001","CvsT3"
"CvsT321","Mcavernosa13005","CvsT3"
"CvsT322","Mcavernosa09510","CvsT3"
"CvsT323","Mcavernosa14558","CvsT3"
"CvsT324","Mcavernosa15302","CvsT3"
"CvsT325","Mcavernosa18489","CvsT3"
"CvsT4","Mcavernosa30960","CvsT4"
"CvsT41","Mcavernosa30573","CvsT4"
"CvsT42","Mcavernosa30572","CvsT4"
"CvsT43","Mcavernosa30575","CvsT4"
"CvsT44","Mcavernosa30574","CvsT4"
"CvsT45","Mcavernosa10782","CvsT4"
"CvsT46","Mcavernosa11724","CvsT4"
"CvsT47","Mcavernosa18652","CvsT4"
"CvsT48","Mcavernosa30571","CvsT4"
"CvsT49","Mcavernosa30570","CvsT4"
"CvsT410","Mcavernosa18547","CvsT4"
"CvsT411","Mcavernosa12043","CvsT4"
"CvsT412","Mcavernosa30410","CvsT4"
"CvsT413","Mcavernosa13005","CvsT4"
"CvsT414","Mcavernosa14558","CvsT4"
"CvsT415","Mcavernosa22347","CvsT4"
"CvsT416","Mcavernosa22344","CvsT4"
"CvsT417","Mcavernosa24249","CvsT4"
"T1vsT3","Mcavernosa07053","T1vsT3"
"T2vsT3","Mcavernosa25973","T2vsT3"
