"","gene_id"
"1","Mcavernosa00001"
"2","Mcavernosa01732"
"3","Mcavernosa02339"
"4","Mcavernosa09510"
"5","Mcavernosa10311"
"6","Mcavernosa11839"
"7","Mcavernosa16456"
"8","Mcavernosa18273"
"9","Mcavernosa18489"
"10","Mcavernosa22344"
"11","Mcavernosa22347"
"12","Mcavernosa24709"
"13","Mcavernosa29012"
"14","Mcavernosa30410"
"15","Mcavernosa30570"
"16","Mcavernosa30571"
"17","Mcavernosa30572"
"18","Mcavernosa30573"
"19","Mcavernosa30574"
"20","Mcavernosa30575"
"21","Mcavernosa30729"
"22","Mcavernosa30960"
