"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Treatment_Compare","20_T12_Mc_PWC","21_T33_Mc_EOU","22_ctl2_Mc_TWF_1","28_ctl1_Mc_GBM_1","29_T23_Mc_PND","33_T43_Mc_RFV","34_T22_Mc_SVS","39_T13_Mc_FJE","42_ctl3_Mc_MGR_1","46_T41_Mc_QYH_1","49_T31_Mc_SWQ","55_T32_Mc_TWP","56_T42_Mc_JAW","58_T21_Mc_EAH","61_T11_Mc_RAP"
"STRG.15869",24.3794293136163,-1.61789796029084,0.385274590753351,-4.19933730155229,2.67697298071562e-05,0.0162606987342897,"CvsT3",31,20,12,26,24,32,14,27,17,9,22,38,21,32,32
"Mcavernosa30960",285.148275384159,-1.08032936735749,0.275747564244854,-3.91782016394602,8.93533259471619e-05,0.0455916410312799,"CvsT3",355,230,288,289,180,383,176,169,243,357,317,330,284,366,236
"Mcavernosa30573",48.3775175556967,2.62160500530521,0.428284153526894,6.12118142526743,9.28840719071757e-10,1.71057523325541e-06,"CvsT3",23,14,135,290,14,32,13,16,320,39,12,34,25,40,23
"Mcavernosa30572",80.8354241079748,2.62108484345424,0.428316869575686,6.11949943986757,9.3869760369927e-10,1.71057523325541e-06,"CvsT3",23,21,285,435,28,46,26,40,546,39,39,43,24,52,55
"Mcavernosa30575",43.9545456035024,4.20762468867589,0.601279927386925,6.9977800638741,2.60049880312605e-12,3.09100008779067e-08,"CvsT3",7,7,98,367,13,25,8,3,471,20,6,11,8,21,11
"Mcavernosa30574",67.2133170145486,3.36451038072796,0.486904149286738,6.910005564045,4.84634695483014e-12,3.09100008779067e-08,"CvsT3",13,19,179,474,23,32,13,19,622,36,12,29,21,34,21
"Mcavernosa05091",90.2634745080796,0.756101913369796,0.177585589221179,4.25767606868195,2.06562962502781e-05,0.0140070393688954,"CvsT3",96,57,165,322,55,99,56,66,199,78,55,79,76,92,64
"Mcavernosa05196",189.25501905301,5.3460858774681,1.05611385583294,5.06203554469205,4.14803663155574e-07,0.000529123552721251,"CvsT3",51,13,1525,2738,15,27,68,22,12,33,16,18,47,300,13
"Mcavernosa30729",261.992297906827,-1.21414419197045,0.245529382819387,-4.94500567723733,7.61416454165719e-07,0.000882966208121628,"CvsT3",325,252,156,352,123,328,221,292,286,198,285,324,216,259,274
"Mcavernosa26093",62.8032387982434,-2.00555937079074,0.432774223566904,-4.63419321571653,3.58332198759111e-06,0.00351606579028555,"CvsT3",78,53,24,53,65,88,52,81,31,13,63,87,60,82,64
