"","20_T12_Mc_PWC","21_T33_Mc_EOU","22_ctl2_Mc_TWF_1","28_ctl1_Mc_GBM_1","29_T23_Mc_PND","33_T43_Mc_RFV","34_T22_Mc_SVS","39_T13_Mc_FJE","42_ctl3_Mc_MGR_1","46_T41_Mc_QYH_1","49_T31_Mc_SWQ","55_T32_Mc_TWP","56_T42_Mc_JAW","58_T21_Mc_EAH","61_T11_Mc_RAP","Treatment_Compare"
"Mcavernosa30960",355,230,288,289,180,383,176,169,243,357,317,330,284,366,236,"CvsT4"
"Mcavernosa30573",23,14,135,290,14,32,13,16,320,39,12,34,25,40,23,"CvsT4"
"Mcavernosa30572",23,21,285,435,28,46,26,40,546,39,39,43,24,52,55,"CvsT4"
"Mcavernosa30575",7,7,98,367,13,25,8,3,471,20,6,11,8,21,11,"CvsT4"
"Mcavernosa30574",13,19,179,474,23,32,13,19,622,36,12,29,21,34,21,"CvsT4"
"Mcavernosa10782",162,71,44,59,67,95,63,70,90,66,55,61,118,133,75,"CvsT4"
"Mcavernosa11724",574,372,476,808,338,496,300,321,458,461,378,494,372,504,360,"CvsT4"
"Mcavernosa18652",38,9,6,17,4,12,24,56,6,7,6,8,292,105,30,"CvsT4"
"Mcavernosa30571",8,10,112,405,16,31,8,3,509,22,6,15,8,24,12,"CvsT4"
"Mcavernosa30570",12,12,127,404,14,26,8,11,558,32,10,16,10,26,17,"CvsT4"
"Mcavernosa18547",212,94,49,73,46,186,124,101,44,91,238,183,176,189,125,"CvsT4"
"Mcavernosa12043",1191,530,305,624,513,762,622,804,327,264,432,909,810,845,540,"CvsT4"
"Mcavernosa30410",169,47,12,7,32,166,11,50,6,14,7,0,215,170,69,"CvsT4"
"Mcavernosa13005",70,23,117,209,52,40,45,42,130,16,30,39,36,51,50,"CvsT4"
"Mcavernosa14558",206,111,104,231,112,205,113,103,144,92,169,183,145,217,129,"CvsT4"
"Mcavernosa22347",639,121,47,42,85,544,47,145,71,119,49,12,700,569,169,"CvsT4"
"Mcavernosa22344",526,73,27,18,54,345,31,97,77,102,65,17,605,496,108,"CvsT4"
"Mcavernosa24249",64,5,14,36,12,39,24,210,15,32,9,17,364,51,26,"CvsT4"
