"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology"
"6","GO:0005871",0.0102924440737289,0.99895052510362,3,45,"kinesin complex","CC"
"7","GO:0005874",0.000720866884678601,0.999973407738548,3,18,"microtubule","CC"
