"","GO.IDs"
"2475","GO:0003785"
"2693","GO:0004081"
"2862","GO:0004370"
"3119","GO:0004675"
"3138","GO:0004698"
"3139","GO:0004699"
"3260","GO:0004820"
"3452","GO:0005025"
"3489","GO:0005085"
"3613","GO:0005244"
"3766","GO:0005542"
"3769","GO:0005545"
"5958","GO:0008137"
"6288","GO:0008519"
"6378","GO:0008641"
"6737","GO:0009055"
"9259","GO:0015299"
"10280","GO:0016504"
"10544","GO:0016805"
"11773","GO:0019001"
"11969","GO:0019211"
"12501","GO:0019778"
"12503","GO:0019779"
"14012","GO:0030546"
"15862","GO:0032217"
"19260","GO:0035255"
"19281","GO:0035276"
"19340","GO:0036094"
"19342","GO:0036122"
"20588","GO:0043167"
"23328","GO:0046592"
"24614","GO:0047865"
"26377","GO:0050660"
"28339","GO:0052894"
"28341","GO:0052901"
"28343","GO:0052903"
"28345","GO:0052904"
"31045","GO:0098821"
"31048","GO:0099635"
