"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology"
"21","GO:0016020",0.0039350225036738,0.999128213665629,7,455,"membrane","CC"
"29","GO:0045263",8.57978224259206e-05,0.999999849976218,2,3,"proton-transporting ATP synthase complex, coupling factor F(o)","CC"
"2","GO:0000786",0.0387485950479062,0.999344014221586,1,8,"nucleosome","CC"
"28","GO:0043235",0.0077699665006041,0.999980132206609,1,3,"receptor complex","CC"
