"","GO.IDs"
"501","GO:0000502"
"629","GO:0000786"
"1048","GO:0001772"
"1233","GO:0001931"
"3958","GO:0005769"
"4095","GO:0005912"
"6955","GO:0009277"
"7114","GO:0009505"
"7499","GO:0009897"
"10372","GO:0016600"
"13539","GO:0030027"
"20652","GO:0043226"
"21635","GO:0044291"
"24791","GO:0048046"
"30490","GO:0071203"
"30498","GO:0071817"
"31041","GO:0097361"
"31043","GO:0098691"
"31047","GO:0099523"
"31090","GO:1990111"
"31092","GO:1990712"
