"","gene_id","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology","length","X20_T12_Mc_PWC","X21_T33_Mc_EOU","X22_ctl2_Mc_TWF_1","X28_ctl1_Mc_GBM_1","X29_T23_Mc_PND","X33_T43_Mc_RFV","X34_T22_Mc_SVS","X39_T13_Mc_FJE","X42_ctl3_Mc_MGR_1","X46_T41_Mc_QYH_1","X49_T31_Mc_SWQ","X55_T32_Mc_TWP","X56_T42_Mc_JAW","X58_T21_Mc_EAH","X61_T11_Mc_RAP","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Treatment_Compare"
"35","Mcavernosa02339","GO:0005769",0.0146257994914612,0.998291799241756,3,108,"early endosome","CC",1231,159,84,190,578,44,148,65,81,358,85,89,148,94,132,105,129.019574017764,1.07151713337485,0.262199641296615,4.08664606891161,4.37653985972969e-05,0.0182443358285932,"CvsT2"
"308","Mcavernosa24806","GO:0005769",0.0146257994914612,0.998291799241756,3,108,"early endosome","CC",4855,1233,804,1036,2273,1463,1053,888,828,1305,738,509,1113,1047,1634,1061,1104.84501549221,-0.991656754989946,0.260593417682122,-3.80537913739477,0.000141587140481008,0.0411788088105928,"CvsT2"
"326","Mcavernosa25973","GO:0005769",0.0146257994914612,0.998291799241756,3,108,"early endosome","CC",1008,360,72,97,262,665,122,227,206,122,79,60,81,281,374,167,229.292654240467,-2.71939910825278,0.518128056310425,-5.24850772918482,1.53336208480672e-07,0.00023970282790741,"CvsT2"
"327","Mcavernosa25973","GO:0005769",0.0146257994914612,0.998291799241756,3,108,"early endosome","CC",1008,360,72,97,262,665,122,227,206,122,79,60,81,281,374,167,229.292654240467,2.72649475458079,0.522890108623233,5.21427869760176,1.84533855717522e-07,0.00235391386353272,"T2vsT3"
"36","Mcavernosa02620","GO:0043226",0.0255123079804608,0.998062737522963,2,52,"organelle","CC",1458,29,24,5,25,44,25,18,22,3,25,10,24,20,22,18,23.0144418151112,-2.78278202251954,0.610643264838072,-4.55713209783369,5.18568125824459e-06,0.00381483116562393,"CvsT2"
"194","Mcavernosa15503","GO:0009897",0.0294539516678126,0.997581050894306,2,55,"external side of plasma membrane","CC",1002,54,46,13,28,18,57,39,23,36,15,49,64,42,78,45,41.6698066266137,-2.09934597043751,0.474278350051742,-4.42640059409939,9.58185075676447e-06,0.00814840588355251,"CvsT3"
"195","Mcavernosa15503","GO:0009897",0.0294539516678126,0.997581050894306,2,55,"external side of plasma membrane","CC",1002,54,46,13,28,18,57,39,23,36,15,49,64,42,78,45,41.6698066266137,-1.84784172095552,0.478265040559637,-3.86363535748564,0.000111711944696114,0.0367649889570948,"CvsT2"
"275","Mcavernosa18547","GO:0030027",0.0385527288691505,0.996324313393577,2,65,"lamellipodium","CC",2125,212,94,49,73,46,186,124,101,44,91,238,183,176,189,125,136.669690118324,-2.18273818988454,0.424178072908575,-5.14580627640079,2.66374206931727e-07,0.000320484810024745,"CvsT2"
"276","Mcavernosa18547","GO:0030027",0.0385527288691505,0.996324313393577,2,65,"lamellipodium","CC",2125,212,94,49,73,46,186,124,101,44,91,238,183,176,189,125,136.669690118324,-2.47937307490951,0.42228621446106,-5.87130952895016,4.32366149794601e-09,2.29765008228639e-05,"CvsT4"
"277","Mcavernosa18547","GO:0030027",0.0385527288691505,0.996324313393577,2,65,"lamellipodium","CC",2125,212,94,49,73,46,186,124,101,44,91,238,183,176,189,125,136.669690118324,-2.29551409666124,0.422600060806472,-5.43188302500616,5.57624728725876e-08,8.89132629953409e-05,"CvsT1"
