"","GO.IDs"
"416","GO:0000422"
"817","GO:0001502"
"861","GO:0001550"
"1046","GO:0001770"
"1060","GO:0001782"
"1176","GO:0001880"
"1406","GO:0002090"
"1563","GO:0002281"
"1597","GO:0002315"
"2408","GO:0003183"
"2410","GO:0003186"
"2412","GO:0003215"
"2414","GO:0003222"
"2416","GO:0003223"
"2418","GO:0003272"
"4265","GO:0006071"
"4606","GO:0006426"
"4674","GO:0006497"
"4686","GO:0006513"
"4718","GO:0006544"
"4818","GO:0006641"
"4879","GO:0006703"
"4967","GO:0006807"
"5380","GO:0007178"
"5614","GO:0007398"
"5742","GO:0007525"
"5817","GO:0007606"
"5843","GO:0007635"
"7067","GO:0009411"
"7709","GO:0010102"
"8120","GO:0010499"
"8273","GO:0010634"
"8498","GO:0010811"
"8556","GO:0010862"
"8616","GO:0010917"
"8681","GO:0010976"
"8771","GO:0014032"
"9016","GO:0014912"
"9778","GO:0015918"
"9825","GO:0015966"
"9885","GO:0016032"
"10044","GO:0016203"
"11768","GO:0018991"
"12899","GO:0021680"
"13110","GO:0021860"
"13261","GO:0021955"
"13314","GO:0021983"
"13331","GO:0021998"
"13427","GO:0022617"
"13510","GO:0022900"
"13680","GO:0030166"
"14051","GO:0030587"
"14951","GO:0031396"
"15263","GO:0031663"
"15863","GO:0032218"
"15871","GO:0032226"
"15876","GO:0032230"
"15993","GO:0032332"
"16163","GO:0032486"
"16619","GO:0032915"
"16974","GO:0033227"
"17967","GO:0034116"
"18015","GO:0034141"
"18546","GO:0034614"
"19005","GO:0035023"
"19008","GO:0035025"
"19087","GO:0035093"
"19135","GO:0035137"
"19335","GO:0035669"
"19336","GO:0035912"
"19338","GO:0035999"
"19339","GO:0036010"
"19341","GO:0036120"
"19344","GO:0038096"
"19345","GO:0038180"
"19346","GO:0039521"
"19348","GO:0039689"
"19374","GO:0040024"
"20991","GO:0043547"
"21704","GO:0044854"
"22675","GO:0045937"
"22937","GO:0046167"
"22969","GO:0046203"
"22975","GO:0046208"
"24755","GO:0048009"
"25092","GO:0048352"
"25119","GO:0048378"
"25124","GO:0048382"
"25310","GO:0048592"
"25359","GO:0048643"
"26449","GO:0050730"
"26601","GO:0050877"
"26619","GO:0050893"
"26652","GO:0050927"
"26700","GO:0050975"
"26721","GO:0050996"
"26880","GO:0051148"
"27018","GO:0051280"
"27325","GO:0051562"
"27351","GO:0051580"
"28525","GO:0060041"
"28815","GO:0060284"
"28886","GO:0060350"
"28892","GO:0060355"
"28933","GO:0060391"
"28963","GO:0060412"
"29416","GO:0060914"
"29418","GO:0060928"
"29420","GO:0061028"
"29421","GO:0061312"
"29423","GO:0061626"
"29425","GO:0061684"
"29780","GO:0070257"
"30081","GO:0070509"
"30109","GO:0070528"
"30491","GO:0071315"
"30493","GO:0071360"
"30495","GO:0071380"
"30496","GO:0071455"
"30499","GO:0071900"
"30500","GO:0071902"
"30502","GO:0072488"
"30547","GO:0075044"
"30997","GO:0080144"
"31030","GO:0090155"
"31032","GO:0090156"
"31034","GO:0090298"
"31036","GO:0090303"
"31037","GO:0097065"
"31042","GO:0097428"
"31049","GO:0099638"
"31050","GO:0099703"
"31057","GO:1901741"
"31059","GO:1901888"
"31060","GO:1901890"
"31062","GO:1902043"
"31064","GO:1902074"
"31065","GO:1902617"
"31067","GO:1902731"
"31069","GO:1902895"
"31071","GO:1903044"
"31073","GO:1903204"
"31075","GO:1903602"
"31077","GO:1903609"
"31078","GO:1903706"
"31080","GO:1904313"
"31081","GO:1904414"
"31083","GO:1904707"
"31085","GO:1904719"
"31086","GO:1905285"
"31088","GO:1990090"
"31091","GO:1990504"
"31094","GO:2000049"
"31096","GO:2000619"
"31098","GO:2000650"
"31099","GO:2000772"
"31101","GO:2001024"
"31102","GO:2001031"
