Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-total_sequences	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-percent_gc
18_T33_Of_VLL	60.560762648	49.5054321629	6564052.0	36.3636363636	39.0
19_T33_Ac_WK	39.3894083456	49.8564114495	19493135.0	9.09090909091	42.0
20_T12_Mc_PWC	50.4351227044	49.8685890822	17824242.0	18.1818181818	43.0
21_T33_Mc_EOU	41.7126542938	49.8602072036	15249255.0	9.09090909091	46.0
24_T12_Ac_FM	44.5741081815	49.8707647197	13569940.0	9.09090909091	41.0
26_T12_Of_WCL	50.5823008359	49.8781242499	13252661.0	18.1818181818	41.0
29_T23_Mc_PND	47.0736886335	49.9558517212	15429503.0	18.1818181818	43.0
30_T23_Of_RPG	37.3509564913	49.9602628239	8205037.0	18.1818181818	41.0
31_T22_Ac_UV	41.8411725423	49.9561136553	13262941.0	18.1818181818	43.0
32_T22_Of_EVR	41.7221037293	49.9568024591	12482192.0	18.1818181818	41.0
33_T43_Mc_RFV	44.3288069059	49.9429959214	17860108.0	18.1818181818	43.0
34_T22_Mc_SVS	42.2895898411	49.8182689152	12419796.0	9.09090909091	44.0
35_T43_Ac_MT	52.3223331836	49.8688072511	23624545.0	18.1818181818	42.0
36_T43_Of_JJN	44.8336139356	49.8686093575	13119260.0	9.09090909091	41.0
37_T13_Ac_ML	47.3961951566	49.8728788002	14089255.0	9.09090909091	42.0
38_T23_Ac_IN	49.7406129914	49.8618995059	21204725.0	9.09090909091	44.0
39_T13_Mc_FJE	40.8106888659	49.865174274	16844137.0	9.09090909091	45.0
40_T13_Of_GWS	45.3985446167	49.8707195185	14369470.0	9.09090909091	41.0
47_T31_Ac_JB	48.3760122332	49.8647483168	14014406.0	9.09090909091	42.0
48_T31_Of_JNO	53.2499882	49.8682326398	12042565.0	18.1818181818	40.0
49_T31_Mc_SWQ	42.5346586908	49.8593011106	14519809.0	9.09090909091	41.0
50_T21_Of_YZB	41.9241445742	49.9525922278	14983598.0	18.1818181818	42.0
51_T42_Of_UOF	45.3908213407	49.9569867654	14396383.0	18.1818181818	41.0
52_T11_Ac_II	48.2242472589	49.9512383433	17145972.0	18.1818181818	42.0
53_T21_Ac_NH	38.677384662	49.9234154209	10130277.0	18.1818181818	44.0
54_T42_Ac_JQ	50.0973594815	49.9563358609	23414821.0	27.2727272727	43.0
55_T32_Mc_TWP	43.2702250381	49.9533857301	19235526.0	18.1818181818	43.0
56_T42_Mc_JAW	37.8867933931	49.9549403111	11663729.0	18.1818181818	42.0
57_T32_Ac_NM	38.9023270378	49.9507980557	11628199.0	18.1818181818	44.0
58_T21_Mc_EAH	42.29098985	49.9462483958	20509453.0	18.1818181818	44.0
59_T11_Of_TQP	48.4190694575	49.9571271286	19238856.0	18.1818181818	41.0
60_T32_Of_WXY	45.4072888006	49.9513209585	19279940.0	18.1818181818	41.0
61_T11_Mc_RAP	40.9896315481	49.9495374034	16801355.0	18.1818181818	45.0
