"","gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","contrast"
"1","STRG.15869",24.3794293136163,1.70473813835502,0.38069754893032,4.47793305511153,7.53692270630347e-06,0.00676931171089288,"Treatment_Treatment1_vs_control"
"2","Mcavernosa30573",48.3775175556967,-2.642152980966,0.425552325630858,-6.20876170057148,5.34037312230422e-10,1.36243599096225e-06,"Treatment_Treatment1_vs_control"
"3","Mcavernosa30572",80.8354241079748,-2.45473416846363,0.424001941201887,-5.78944087261813,7.0621110826352e-09,1.50140481616824e-05,"Treatment_Treatment1_vs_control"
"4","Mcavernosa30575",43.9545456035024,-4.50625649729423,0.611003547236697,-7.37517239903772,1.64132519978368e-13,1.45924482288037e-09,"Treatment_Treatment1_vs_control"
"5","Mcavernosa30574",67.2133170145486,-3.59045148677925,0.489776631340087,-7.33079378849771,2.28793481166567e-13,1.45924482288037e-09,"Treatment_Treatment1_vs_control"
"6","Mcavernosa05196",189.25501905301,-4.6748932031099,1.04712805954953,-4.46449043216456,8.02595349138351e-06,0.00676931171089288,"Treatment_Treatment1_vs_control"
"7","Mcavernosa30729",261.992297906827,1.1566599803894,0.245335108147019,4.7146125522983,2.42171112623061e-06,0.00308913471261977,"Treatment_Treatment1_vs_control"
"8","Mcavernosa03628",40.7448605394761,3.56392720735876,0.791478035178548,4.50287569452864,6.70400991131742e-06,0.00676931171089288,"Treatment_Treatment1_vs_control"
"9","Mcavernosa26093",62.8032387982434,2.06582047765502,0.431381370647421,4.78884953829743,1.67740186661444e-06,0.0023774375789482,"Treatment_Treatment1_vs_control"
"10","Mcavernosa24709",328.905102243987,2.1903986648109,0.489426589964622,4.47543862496158,7.62546022416995e-06,0.00676931171089288,"Treatment_Treatment1_vs_control"
"11","Mcavernosa07006",41.0754131452848,2.68085768703077,0.604112383472375,4.43768040579053,9.09334996496266e-06,0.00682322189135669,"Treatment_Treatment1_vs_control"
"12","Mcavernosa13956",41.1807778506932,-3.75329406219793,0.842978625751537,-4.45241901460048,8.49082685593337e-06,0.00676931171089288,"Treatment_Treatment1_vs_control"
"13","Mcavernosa30571",48.8311865525838,-4.51229020930242,0.623908042428111,-7.23230011868671,4.74881291238108e-13,2.01919525034443e-09,"Treatment_Treatment1_vs_control"
"14","Mcavernosa30570",54.0972095167914,-3.78671249559694,0.559207440532592,-6.77157029954834,1.27392032804921e-11,4.06253192614892e-08,"Treatment_Treatment1_vs_control"
"15","Mcavernosa08717",67.921375309079,1.41125296576557,0.312234498135292,4.51984958162461,6.18835838815787e-06,0.00676931171089288,"Treatment_Treatment1_vs_control"
"16","Mcavernosa18547",136.669690118324,2.29551409666124,0.422600060806472,5.43188302500616,5.57624728725876e-08,8.89132629953409e-05,"Treatment_Treatment1_vs_control"
"17","Mcavernosa12043",656.156600845764,1.98069176638644,0.359095715658694,5.51577665791203,3.47243015546326e-08,6.32775986615563e-05,"Treatment_Treatment1_vs_control"
"18","Mcavernosa01252",60.0532481930039,2.07815205376545,0.517408288717683,4.01646455822313,5.90777438640372e-05,0.0396629316173504,"Treatment_Treatment1_vs_control"
"19","Mcavernosa26827",105.239932423156,5.02055142972556,1.19114904891416,4.21488094567362,2.49909986787955e-05,0.0177102877303731,"Treatment_Treatment1_vs_control"
"20","STRG.15869",24.3794293136163,1.50569222940938,0.390618603786659,3.85463522426527,0.000115902308674709,0.03716600698169,"Treatment_Treatment2_vs_control"
"21","Mcavernosa24806",1104.84501549221,0.991656754989946,0.260593417682122,3.80537913739477,0.000141587140481008,0.0411788088105928,"Treatment_Treatment2_vs_control"
"22","Mcavernosa30573",48.3775175556967,-2.42937633581986,0.425734666869182,-5.70631551732749,1.15447907174855e-08,2.40631921188122e-05,"Treatment_Treatment2_vs_control"
"23","Mcavernosa30572",80.8354241079748,-2.52336795044712,0.428497658263626,-5.88887220684567,3.88839968420303e-09,1.34432103053482e-05,"Treatment_Treatment2_vs_control"
"24","Mcavernosa30575",43.9545456035024,-3.35116407370178,0.570680151998133,-5.87222818590815,4.29976341127402e-09,1.34432103053482e-05,"Treatment_Treatment2_vs_control"
"25","Mcavernosa30574",67.2133170145486,-3.08019516250379,0.482656855656227,-6.38174953159199,1.75076150758792e-10,2.18950234138945e-06,"Treatment_Treatment2_vs_control"
"26","Mcavernosa04010",33.9434669360564,1.54013299718078,0.355891785223615,4.32753174174302,1.50789619871717e-05,0.00942887493057848,"Treatment_Treatment2_vs_control"
"27","Mcavernosa12089",1053.28351038437,-1.81379743791394,0.426327517869375,-4.25446953783004,2.0954518288902e-05,0.0117015287876646,"Treatment_Treatment2_vs_control"
"28","Mcavernosa28951",30.0012792007762,2.39000675793529,0.549438736898229,4.34990581739414,1.36196015178018e-05,0.00896456508324367,"Treatment_Treatment2_vs_control"
"29","Mcavernosa10782",84.4999454592228,1.47446221298662,0.387163788758848,3.80836807521019,0.00013988694420628,0.0411788088105928,"Treatment_Treatment2_vs_control"
"30","Mcavernosa13780",158.344821589914,3.34992443513918,0.788495455977581,4.24850189020548,2.15204831373968e-05,0.0117015287876646,"Treatment_Treatment2_vs_control"
"31","Mcavernosa03628",40.7448605394761,3.23193833416467,0.794220580297352,4.06932080877915,4.71503870441799e-05,0.0190213787217585,"Treatment_Treatment2_vs_control"
"32","Mcavernosa26093",62.8032387982434,2.07888267123407,0.43310809841235,4.79991641545069,1.58731864360719e-06,0.00141963360563987,"Treatment_Treatment2_vs_control"
