gene_id,18_T33_Of_VLL.fastq.trim.fq.Aligned.sortedByCoord.out.bam.merge.gtf,19_T33_Ac_WK.fastq.trim.fq.Aligned.sortedByCoord.out.bam.merge.gtf,20_T12_Mc_PWC.fastq.trim.fq.Aligned.sortedByCoord.out.bam.merge.gtf,21_T33_Mc_EOU.fastq.trim.fq.Aligned.sortedByCoord.out.bam.merge.gtf,24_T12_Ac_FM.fastq.trim.fq.Aligned.sortedByCoord.out.bam.merge.gtf,26_T12_Of_WCL.fastq.trim.fq.Aligned.sortedByCoord.out.bam.merge.gtf,29_T23_Mc_PND.fastq.trim.fq.Aligned.sortedByCoord.out.bam.merge.gtf,30_T23_Of_RPG.fastq.trim.fq.Aligned.sortedByCoord.out.bam.merge.gtf,31_T22_Ac_UV.fastq.trim.fq.Aligned.sortedByCoord.out.bam.merge.gtf,32_T22_Of_EVR.fastq.trim.fq.Aligned.sortedByCoord.out.bam.merge.gtf,33_T43_Mc_RFV.fastq.trim.fq.Aligned.sortedByCoord.out.bam.merge.gtf,34_T22_Mc_SVS.fastq.trim.fq.Aligned.sortedByCoord.out.bam.merge.gtf,35_T43_Ac_MT.fastq.trim.fq.Aligned.sortedByCoord.out.bam.merge.gtf,36_T43_Of_JJN.fastq.trim.fq.Aligned.sortedByCoord.out.bam.merge.gtf,37_T13_Ac_ML.fastq.trim.fq.Aligned.sortedByCoord.out.bam.merge.gtf,38_T23_Ac_IN.fastq.trim.fq.Aligned.sortedByCoord.out.bam.merge.gtf,39_T13_Mc_FJE.fastq.trim.fq.Aligned.sortedByCoord.out.bam.merge.gtf,40_T13_Of_GWS.fastq.trim.fq.Aligned.sortedByCoord.out.bam.merge.gtf,47_T31_Ac_JB.fastq.trim.fq.Aligned.sortedByCoord.out.bam.merge.gtf,48_T31_Of_JNO.fastq.trim.fq.Aligned.sortedByCoord.out.bam.merge.gtf,49_T31_Mc_SWQ.fastq.trim.fq.Aligned.sortedByCoord.out.bam.merge.gtf,50_T21_Of_YZB.fastq.trim.fq.Aligned.sortedByCoord.out.bam.merge.gtf,51_T42_Of_UOF.fastq.trim.fq.Aligned.sortedByCoord.out.bam.merge.gtf,52_T11_Ac_II.fastq.trim.fq.Aligned.sortedByCoord.out.bam.merge.gtf,53_T21_Ac_NH.fastq.trim.fq.Aligned.sortedByCoord.out.bam.merge.gtf,54_T42_Ac_JQ.fastq.trim.fq.Aligned.sortedByCoord.out.bam.merge.gtf,55_T32_Mc_TWP.fastq.trim.fq.Aligned.sortedByCoord.out.bam.merge.gtf,56_T42_Mc_JAW.fastq.trim.fq.Aligned.sortedByCoord.out.bam.merge.gtf,57_T32_Ac_NM.fastq.trim.fq.Aligned.sortedByCoord.out.bam.merge.gtf,58_T21_Mc_EAH.fastq.trim.fq.Aligned.sortedByCoord.out.bam.merge.gtf,59_T11_Of_TQP.fastq.trim.fq.Aligned.sortedByCoord.out.bam.merge.gtf,60_T32_Of_WXY.fastq.trim.fq.Aligned.sortedByCoord.out.bam.merge.gtf,61_T11_Mc_RAP.fastq.trim.fq.Aligned.sortedByCoord.out.bam.merge.gtf
Acerv_evm.model.Segkk3473_pilon.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acerv_evm.model.Segkk3473_pilon.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acerv_evm.model.Segkk1990_pilon.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acerv_evm.model.Segkk1990_pilon.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acerv_evm.model.Segkk1990_pilon.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acerv_evm.TU.Segkk3423_pilon.20,58,129,2,0,30,48,0,38,93,22,0,0,159,103,112,210,1,29,111,45,1,115,26,78,81,182,0,1,60,1,185,30,0
Acerv_evm.model.Segkk1990_pilon.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acerv_evm.model.Segkk3986_pilon.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acerv_evm.TU.Segkk3416_pilon.24,0,5,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0
Acerv_evm.model.Segkk3986_pilon.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acerv_evm.TU.Segkk2869_pilon.2,0,1,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,2,0,0,1,0,1,0,0,0,0,0
Acerv_evm.TU.Segkk2869_pilon.3,0,3,0,0,1,0,0,0,1,0,0,0,5,0,2,3,0,0,0,0,0,0,0,2,2,3,0,0,0,0,0,0,0
Acerv_evm.TU.Segkk3416_pilon.20,0,89,0,0,0,0,0,0,61,0,0,0,81,0,63,73,0,0,59,0,0,0,0,77,55,122,0,0,42,0,0,0,0
Acerv_evm.model.Segkk3986_pilon.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acerv_evm.model.Segkk523_pilon.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acerv_evm.TU.Segkk666_pilon.3,0,650,0,0,0,0,0,0,402,0,0,0,676,0,412,461,0,0,362,0,0,0,0,358,227,704,0,0,283,0,0,0,0
Acerv_evm.TU.Segkk3628_pilon.2,0,76,1,0,2,1,1,0,61,1,1,1,95,0,39,101,1,1,47,0,0,1,1,44,38,106,0,0,20,1,0,1,0
