"","gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","contrast"
"1","STRG.15869",24.3794293136163,1.61789796029084,0.385274590753351,4.19933730155229,2.67697298071562e-05,0.0162606987342897,"Treatment_Treatment3_vs_control"
"2","Mcavernosa30960",285.148275384159,1.08032936735749,0.275747564244854,3.91782016394602,8.93533259471619e-05,0.0455916410312799,"Treatment_Treatment3_vs_control"
"3","Mcavernosa30573",48.3775175556967,-2.62160500530521,0.428284153526894,-6.12118142526743,9.28840719071757e-10,1.71057523325541e-06,"Treatment_Treatment3_vs_control"
"4","Mcavernosa30572",80.8354241079748,-2.62108484345424,0.428316869575686,-6.11949943986757,9.3869760369927e-10,1.71057523325541e-06,"Treatment_Treatment3_vs_control"
"5","Mcavernosa30575",43.9545456035024,-4.20762468867589,0.601279927386925,-6.9977800638741,2.60049880312605e-12,3.09100008779067e-08,"Treatment_Treatment3_vs_control"
"6","Mcavernosa30574",67.2133170145486,-3.36451038072796,0.486904149286738,-6.910005564045,4.84634695483014e-12,3.09100008779067e-08,"Treatment_Treatment3_vs_control"
"7","Mcavernosa05091",90.2634745080796,-0.756101913369796,0.177585589221179,-4.25767606868195,2.06562962502781e-05,0.0140070393688954,"Treatment_Treatment3_vs_control"
"8","Mcavernosa05196",189.25501905301,-5.3460858774681,1.05611385583294,-5.06203554469205,4.14803663155574e-07,0.000529123552721251,"Treatment_Treatment3_vs_control"
"9","Mcavernosa30729",261.992297906827,1.21414419197045,0.245529382819387,4.94500567723733,7.61416454165719e-07,0.000882966208121628,"Treatment_Treatment3_vs_control"
"10","Mcavernosa26093",62.8032387982434,2.00555937079074,0.432774223566904,4.63419321571653,3.58332198759111e-06,0.00351606579028555,"Treatment_Treatment3_vs_control"
"11","Mcavernosa24709",328.905102243987,2.55560671649893,0.489115330101454,5.22495730397335,1.74195299830923e-07,0.000246892804960362,"Treatment_Treatment3_vs_control"
"12","Mcavernosa07006",41.0754131452848,3.20946839969548,0.600703925494864,5.34284572395877,9.14986342017192e-08,0.000145894572234641,"Treatment_Treatment3_vs_control"
"13","Mcavernosa13956",41.1807778506932,-3.29854858766793,0.833340602612582,-3.95822377708075,7.55091980855588e-05,0.0401331387824745,"Treatment_Treatment3_vs_control"
"14","Mcavernosa15503",41.6698066266137,2.09934597043751,0.474278350051742,4.42640059409939,9.58185075676447e-06,0.00814840588355251,"Treatment_Treatment3_vs_control"
"15","Mcavernosa29012",244.617249293395,1.17065910941312,0.282911843152839,4.13789361508167,3.50508811742102e-05,0.019439523489488,"Treatment_Treatment3_vs_control"
"16","Mcavernosa30571",48.8311865525838,-3.97506730396992,0.605057226848627,-6.56973774972264,5.04039553707136e-11,1.60738213677206e-07,"Treatment_Treatment3_vs_control"
"17","Mcavernosa30570",54.0972095167914,-3.77075515097059,0.562532124761953,-6.70318188950768,2.0392936011428e-11,8.6710763920592e-08,"Treatment_Treatment3_vs_control"
"18","Mcavernosa08717",67.921375309079,1.32386166753244,0.314379182332167,4.21103476926049,2.54203614104399e-05,0.0162131065075786,"Treatment_Treatment3_vs_control"
"19","Mcavernosa18547",136.669690118324,2.68666737986224,0.421568033905823,6.37303392045716,1.85324874966424e-10,4.72800821014342e-07,"Treatment_Treatment3_vs_control"
"20","Mcavernosa12043",656.156600845764,1.65071820238897,0.359523489835604,4.59140570521213,4.40270549971698e-06,0.0040114936681707,"Treatment_Treatment3_vs_control"
"21","Mcavernosa00001",21.2376153269723,-3.05316945190261,0.712480265583676,-4.28526879885072,1.82518373462487e-05,0.0140070393688954,"Treatment_Treatment3_vs_control"
"22","Mcavernosa13005",53.9311192005941,-1.24001173319722,0.291394177728997,-4.25544443908026,2.08634170593456e-05,0.0140070393688954,"Treatment_Treatment3_vs_control"
"23","Mcavernosa09510",62.576188560493,1.08736157483386,0.278917169846064,3.89851071353541,9.67861193461543e-05,0.047484759168444,"Treatment_Treatment3_vs_control"
"24","Mcavernosa14558",149.195413567758,1.05065034770539,0.218054926622863,4.81828300776041,1.44798887581662e-06,0.00153921217499306,"Treatment_Treatment3_vs_control"
"25","Mcavernosa15302",426.232262646165,5.34480804303799,1.28164739565527,4.17026403764143,3.0424693106722e-05,0.0176407902395157,"Treatment_Treatment3_vs_control"
"26","Mcavernosa18489",18.3986087081639,2.21705037558269,0.520136386142232,4.2624404572543,2.02206387283183e-05,0.0140070393688954,"Treatment_Treatment3_vs_control"
