"","gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","contrast"
"1","gene-LOC110039914|LOC110039914",841.725646752124,-3.41528692145055,0.826451858004071,-4.1324692882882,3.58886732266116e-05,0.0434238702846925,"Treatment_Treatment3_vs_control"
"2","gene-LOC110065550|LOC110065550",43.3544550216377,-4.90465030915475,1.05246515754896,-4.66015456566466,3.15972020225133e-06,0.0203343793615884,"Treatment_Treatment3_vs_control"
"3","gene-LOC110044078|LOC110044078",432.135619241597,3.47690556708663,0.67539875427823,5.14793008583833,2.63376614811706e-07,0.00338992040924146,"Treatment_Treatment3_vs_control"
"4","gene-LOC110067001|LOC110067001",64.9037300695116,3.58895237136411,0.841567416884121,4.264604711827,2.00256413454436e-05,0.0322187537196506,"Treatment_Treatment3_vs_control"
"5","gene-LOC110055167|LOC110055167",98.63644731998,-3.54764495370646,0.863583625972778,-4.10805027678732,3.99013256552204e-05,0.0434238702846925,"Treatment_Treatment3_vs_control"
"6","gene-LOC110063000|LOC110063000",74.7253018626041,-3.94140026177203,0.916911307024431,-4.29856217452776,1.71909679469698e-05,0.0316092783493498,"Treatment_Treatment3_vs_control"
"7","gene-LOC110063719|LOC110063719",73.0744009754662,-3.89748903781501,0.94952035548125,-4.10469245373853,4.04853114300606e-05,0.0434238702846925,"Treatment_Treatment3_vs_control"
"8","gene-LOC110042871|LOC110042871",243.964293494229,-3.06303361336994,0.739464897708269,-4.14222990552062,3.43945303715574e-05,0.0434238702846925,"Treatment_Treatment3_vs_control"
"9","gene-LOC110050314|LOC110050314",129.58629967522,-6.08935364423714,1.38812134782666,-4.38675887649955,1.15052211504482e-05,0.0312145955082161,"Treatment_Treatment3_vs_control"
"10","gene-LOC110047759|LOC110047759",134.079314572238,-5.60704393127188,1.28151890933397,-4.37531111748164,1.21259402953213e-05,0.0312145955082161,"Treatment_Treatment3_vs_control"
"11","gene-LOC110063009|LOC110063009",144.786075620265,-3.99107309407612,0.884742943866276,-4.51099737132162,6.45235205258312e-06,0.0276827410895991,"Treatment_Treatment3_vs_control"
"12","gene-LOC110044634|LOC110044634",115.056089193594,-5.44895391610128,1.26087730006076,-4.32155762962716,1.54931573058029e-05,0.0316092783493498,"Treatment_Treatment3_vs_control"
