"","X1_2","X2_2","X4_2","X11_2","X28_2","X35_2","X36_2","X38_2","X39_2","X41_2","X42_2","X47_2"
"rna-XR_003447215.1",80,13,16,44,67,22,65,237,22,56,31,29
"rna-XM_027181688.1",209,421,267,314,547,239,399,541,306,93,637,369
"gene-LOC113684962|LOC113684962",26,13,22,20,18,23,46,45,22,19,27,37
"rna-XM_027202548.1",207,209,246,244,188,292,180,280,373,340,303,133
"rna-XM_027199782.1",92,61,59,90,35,83,105,136,79,114,69,61
"rna-XR_003446838.1",47,40,36,64,38,53,57,40,47,51,41,29
"rna-XM_027193833.1",210,161,193,220,157,238,207,289,213,148,253,86
"rna-XM_027191984.1",486,181,1097,884,354,440,299,363,988,1037,512,318
"rna-XM_027197762.1",25,12,8,23,21,25,18,45,38,33,45,42
"rna-XM_027191315.1",210,47,44,100,170,246,91,118,60,74,143,158
"rna-XR_003447424.1",37,14,19,9,24,38,31,31,18,17,44,15
"rna-XM_027196767.1",177,38,623,712,189,249,177,131,618,585,230,142
"gene-LOC113664962|LOC113664962",157,458,523,513,216,505,1435,521,386,294,224,32
"rna-XM_027182026.1",151,137,171,52,129,193,179,164,137,113,151,62
"rna-XM_027180593.1",161,100,173,241,90,240,236,289,237,325,212,114
"STRG.4640|LOC113680168",96,225,215,126,110,154,149,156,190,160,165,148
"rna-XM_027184360.1",16,12,72,71,10,19,11,10,79,68,27,15
"STRG.3767|LOC113676766",20,11,10,10,24,25,22,23,12,5,17,15
"rna-XM_027203611.1",27,10,5,12,24,33,27,25,25,43,32,28
"rna-XM_027194641.1",426,95,0,33,52,45,215,87,15,24,25,70
"rna-XR_003446322.1",44,17,35,30,36,57,35,40,41,33,44,47
"rna-XM_027193820.1",166,75,592,760,158,202,115,116,536,558,228,143
"rna-XR_003447353.1",91,39,338,557,84,159,114,97,538,511,153,85
"gene-LOC113684083|LOC113684083",307,59,915,925,484,365,173,196,807,1145,389,230
"STRG.3580|LOC113676041",241,244,313,272,103,263,308,302,393,336,294,157
"rna-XM_027200735.1",214,272,69,213,87,225,314,363,435,245,162,149
"STRG.574|LOC113685185",730,315,1748,1621,555,780,538,701,1657,1902,846,510
"rna-XM_027182517.1",103,42,273,291,40,116,112,124,351,355,84,67
"rna-XM_027182069.1",28,10,18,12,25,28,12,44,28,23,34,13
"rna-XM_027183030.1",222,60,844,819,164,230,100,86,618,632,287,378
"rna-XM_027192257.1",92,51,39,30,32,45,56,59,58,54,59,65
"rna-XM_027193175.1",213,639,141,432,53,167,459,435,375,277,137,159
"STRG.1221|LOC113666178",1251,672,1314,292,718,879,1416,1409,598,511,772,1333
"STRG.4726|LOC113680500",439,240,132,312,623,388,328,446,636,390,517,208
"rna-XM_027189457.1",165,75,84,193,103,214,335,238,230,144,165,142
"rna-XR_003446373.1",130,32,341,202,62,88,38,65,262,326,142,68
"STRG.69|LOC113686300",21,6,64,61,12,11,13,15,58,56,27,15
"rna-XM_027185585.1",33,0,1461,6,57,20,24,54,1384,1450,66,17
"gene-LOC113677648|LOC113677648",167,138,0,76,132,146,65,245,87,88,175,125
"gene-LOC113667225|LOC113667225",63,30,246,360,63,134,46,60,313,359,115,98
"rna-XM_027203053.1",226,142,255,249,189,162,230,232,222,188,202,180
