"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Treatment_Compare","6_1","7_1","8_1","9_1","21_1","22_1","23_1","25_1","26_1","27_1","29_1","34_1"
"plut2.m8.21690",22.1008135708292,-1.56615089374322,0.41972965359084,-3.73133249067489,0.000190469640125348,0.0301707837167626,"CvsMid",15,26,16,3,27,35,36,21,27,13,27,11
"plut2.m8.9532",14.4367526051344,-1.41075648062952,0.377611233618333,-3.73600241473598,0.000186968872830259,0.029924757614968,"CvsMid",23,15,9,5,26,11,18,12,17,11,19,9
"plut2.m8.1221",20.0640908482059,-2.31420775665462,0.406290721600647,-5.69594045253466,1.22693698166252e-08,9.92204564381295e-06,"CvsMid",18,43,15,3,32,18,19,10,12,14,25,14
"plut2.m8.31556",23.3130682486971,-2.45631977126738,0.397147408323892,-6.18490696347221,6.21391068268856e-10,5.61627868467704e-07,"CvsMid",16,36,18,0,40,41,29,17,11,15,24,14
"plut2.m8.10411",380.699216079369,-1.59918592823888,0.355522870766415,-4.49812391757372,6.85557371939991e-06,0.00214722639956481,"CvsMid",481,199,369,163,242,390,466,384,281,296,540,355
"plut2.m8.92",731.37953358112,-0.653324509577531,0.142026471602652,-4.60001929362395,4.22451811479709e-06,0.00144243824075238,"CvsMid",1483,721,594,395,848,711,695,1186,886,662,632,419
"plut2.m8.10068",42.0269436322234,1.31131103817281,0.336036583761874,3.90228654122387,9.52882595943559e-05,0.0179836164282864,"CvsMid",167,29,19,32,22,67,56,89,90,43,11,8
"plut2.m8.29685",11.6068587444491,-1.89068489096608,0.479124767869944,-3.9461222164981,7.94270826372212e-05,0.0152549640590113,"CvsMid",11,12,12,3,11,21,12,9,6,10,11,8
"plut2.m8.29528",18.1010511638835,-2.44351120180105,0.483987248866066,-5.04870987309264,4.44803641133188e-07,0.000213575248312857,"CvsMid",10,18,27,2,32,9,25,20,7,21,19,8
"plut2.m8.21554",86.26543538791,-0.685176499343504,0.191434534091754,-3.57916873564256,0.000344688868493992,0.0490383746704648,"CvsMid",218,83,61,54,155,66,71,120,123,56,97,40
"plut2.m8.30338",12.493679396992,-1.77154231800669,0.45916465582342,-3.8581852839474,0.000114232038153622,0.0204090147236093,"CvsMid",12,17,8,0,20,14,19,15,7,15,10,8
"plut2.m8.33156",20.0145310721413,-1.91008497471109,0.357766567266652,-5.33891411180256,9.35049243998891e-08,5.52578139770883e-05,"CvsMid",25,31,12,3,38,25,26,16,11,14,22,12
"plut2.m8.26404",105.829213272988,-3.01339092604641,0.773137527292708,-3.89761306322614,9.71454711062658e-05,0.0179836164282864,"CvsMid",41,47,134,22,19,170,226,11,35,106,104,92
"plut2.m8.28828",33.4123038761349,-1.19614504590759,0.282139067616218,-4.23955837103233,2.23959954203999e-05,0.00546213443864199,"CvsMid",51,40,33,16,44,32,44,44,23,24,33,16
"plut2.m8.7375",190.343117460166,-1.51444971556365,0.214397574619675,-7.06374462607689,1.62074486063686e-12,2.07522873197378e-09,"CvsMid",247,198,144,92,426,152,180,215,150,121,261,99
"plut2.m8.8613",33.1178269788825,-1.45219036134829,0.402946979468069,-3.60392417698558,0.000313448532394654,0.0454352518890929,"CvsMid",71,22,17,8,101,13,16,44,49,18,72,14
"plut2.m8.19607",31.6615970599734,-1.21829274630847,0.328084927512799,-3.71334567407382,0.000204537210474117,0.0320685126421919,"CvsMid",67,27,23,8,77,36,28,50,30,21,40,11
"plut2.m8.20414",44.1136490308591,1.24897137094662,0.33808890666566,3.69420985522527,0.00022057158788568,0.0342323085621709,"CvsMid",179,62,13,21,37,50,45,139,127,22,14,13
"plut2.m8.25894",92.226028729373,-1.52144772071819,0.230203545744185,-6.60914112247823,3.86556095305946e-11,4.24245314598276e-08,"CvsMid",118,145,53,28,125,117,113,87,64,60,103,63
"plut2.m8.1212",180.48500445574,0.782628118801629,0.21896843848903,3.5741594734021,0.000351354747603249,0.0495281256598525,"CvsMid",682,223,85,97,162,170,240,461,413,121,75,53
"plut2.m8.5539",74.8659165801011,-3.0363585191242,0.730361960802906,-4.15733387290085,3.21983257691929e-05,0.00706753250633785,"CvsMid",69,9,20,17,383,27,20,49,28,24,260,18
"jamg1.TU.Sc0000117.30",163.952961798919,-1.14676345791526,0.229758104561435,-4.99117739547956,6.00123490444789e-07,0.000271202865608358,"CvsMid",261,115,143,68,275,170,150,274,145,148,209,73
"plut2.m8.33367",22.1476384211051,-2.59524466612575,0.390301881754144,-6.64932655323585,2.94437090747496e-11,3.4800199225656e-08,"CvsMid",25,22,22,5,55,18,23,10,9,16,42,7
"plut2.m8.27437",24.6862553251951,-1.14243183143384,0.315199160389196,-3.62447612494655,0.000289547765047404,0.0423704896186034,"CvsMid",46,22,19,15,37,26,27,33,15,15,26,17
"plut2.m8.33216",102.510297320754,1.02891762126669,0.228949957733909,4.49407211711533,6.98739472686237e-06,0.00214722639956481,"CvsMid",429,74,56,113,68,69,105,265,228,80,42,37
