"","6_1","7_1","8_1","9_1","21_1","22_1","23_1","25_1","26_1","27_1","29_1","34_1","Treatment_Compare"
"plut2.m8.10068",167,29,19,32,22,67,56,89,90,43,11,8,"MidvsHigh"
"plut2.m8.13153",794,233,66,46,136,177,374,527,440,214,40,52,"MidvsHigh"
"plut2.m8.5539",69,9,20,17,383,27,20,49,28,24,260,18,"MidvsHigh"
"plut2.m8.27435",1332,489,148,178,280,592,305,721,744,286,100,122,"MidvsHigh"
"plut2.m8.32953",730,515,136,103,156,482,312,1579,633,600,60,87,"MidvsHigh"
"plut2.m8.32952",527,232,56,71,94,218,145,876,370,246,34,34,"MidvsHigh"
"plut2.m8.11052",156,20,76,58,30,9,7,77,161,6,28,42,"MidvsHigh"
"plut2.m8.26944",324,68,82,70,170,55,64,181,206,43,106,35,"MidvsHigh"
"plut2.m8.21703",44,7,22,12,159,15,10,66,22,17,87,9,"MidvsHigh"
"plut2.m8.22908",578,141,169,196,309,103,126,396,431,77,257,105,"MidvsHigh"
"plut2.m8.24269",182,72,16,10,23,195,105,109,78,38,26,19,"MidvsHigh"
"plut2.m8.25307",490,191,80,95,89,202,127,212,235,188,51,52,"MidvsHigh"
"jamg1.TU.Sc0000055.95",35,8,10,8,116,6,6,24,17,10,73,5,"MidvsHigh"
"plut2.m8.12217",293,134,31,43,80,101,85,190,198,110,10,20,"MidvsHigh"
"plut2.m8.23282",122,10,18,93,202,13,17,126,84,11,59,16,"MidvsHigh"
"plut2.m8.14149",184,75,21,17,2779,52,94,33,114,19,2691,30,"MidvsHigh"
"plut2.m8.7016",768,482,106,180,216,299,232,524,498,255,145,108,"MidvsHigh"
"plut2.m8.21745",497,244,66,83,99,316,164,678,566,271,39,47,"MidvsHigh"
