"","gene_id","X6_1","X7_1","X8_1","X9_1","X21_1","X22_1","X23_1","X25_1","X26_1","X27_1","X29_1","X34_1","Treatment_Compare","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology"
"39","plut2.m8.12181",12,16,14,3,19,11,13,10,10,12,15,8,"CvsMid","GO:0005871",0.0141986052473635,0.998370057734276,3,45,"kinesin complex","CC"
"107","plut2.m8.23335",390,95,68,113,94,56,79,371,206,59,62,34,"CvsHigh","GO:0005871",0.0141986052473635,0.998370057734276,3,45,"kinesin complex","CC"
"114","plut2.m8.24633",210,2250,1107,58,2882,1299,2172,109,166,985,2992,936,"CvsMid","GO:0005576",0.0308697731963294,0.995153866637221,3,86,"extracellular region","CC"
"186","plut2.m8.3794",198,269,185,30,405,180,265,127,84,245,270,144,"CvsMid","GO:0005874",0.000645388426456628,0.999977270367207,3,17,"microtubule","CC"
"212","plut2.m8.7220",12,40,20,0,34,43,31,7,6,32,20,20,"CvsMid","GO:0005576",0.0308697731963294,0.995153866637221,3,86,"extracellular region","CC"
"222","plut2.m8.7555",182,286,200,47,166,131,277,99,76,155,221,236,"CvsMid","GO:0005874",0.000645388426456628,0.999977270367207,3,17,"microtubule","CC"
"227","plut2.m8.8790",477,208,78,61,207,279,172,302,157,203,70,58,"CvsHigh","GO:0005576",0.0308697731963294,0.995153866637221,3,86,"extracellular region","CC"
"229","plut2.m8.92",1483,721,594,395,848,711,695,1186,886,662,632,419,"CvsMid","GO:0005874",0.000645388426456628,0.999977270367207,3,17,"microtubule","CC"
"232","plut2.m8.9273",22,23,23,8,30,16,13,23,10,12,19,9,"CvsMid","GO:0005871",0.0141986052473635,0.998370057734276,3,45,"kinesin complex","CC"
