"","gene_id","prot","GO_term","1_2","2_2","4_2","11_2","28_2","35_2","36_2","38_2","39_2","41_2","42_2","47_2"
"371","LOC113677344","XP_027049962.1","GO:0000287,GO:0005737,GO:0008253",58,38,70,54,89,67,96,93,71,76,66,292
"372","LOC113677411","XP_027050021.1","GO:0005515",25,36,6,55,8,21,99,86,7,12,23,49
"373","LOC113677629","XP_027050267.1","GO:0005515",207,44,109,116,246,142,129,190,185,28,226,108
"374","LOC113677629","XP_027050267.1","GO:0005515,GO:0007165",207,44,109,116,246,142,129,190,185,28,226,108
"375","LOC113677676","XP_027050313.1","GO:0003723",211,79,546,406,188,248,184,220,600,638,242,163
"376","LOC113677707","XP_027050343.1","GO:0008080",43,27,12,35,37,63,5,43,27,9,60,39
"377","LOC113677713","XP_027050351.1","GO:0005524",118,141,80,237,109,160,188,190,73,73,145,85
"378","LOC113677713","XP_027050351.1","GO:0004672,GO:0005524,GO:0006468",118,141,80,237,109,160,188,190,73,73,145,85
"379","LOC113677713","XP_027050351.1","GO:0004672,GO:0006468",118,141,80,237,109,160,188,190,73,73,145,85
"380","LOC113677713","XP_027050351.1","GO:0004713,GO:0006468",118,141,80,237,109,160,188,190,73,73,145,85
"381","LOC113677808","XP_027050446.1","GO:0005515,GO:0007165",64,20,65,23,22,62,80,101,56,60,64,26
"382","LOC113677818","XP_027050459.1","GO:0043231,GO:0051537",293,187,878,848,296,359,248,282,857,884,426,258
"383","LOC113677848","XP_027050488.1","GO:0016592",64,30,55,66,92,141,108,70,76,76,115,45
"384","LOC113677848","XP_027050488.1","GO:0003712,GO:0006357,GO:0016592",64,30,55,66,92,141,108,70,76,76,115,45
"385","LOC113678084","XP_027050753.1","GO:0015031",258,233,886,998,270,394,298,350,1044,1074,436,235
"386","LOC113678084","XP_027050754.1","GO:0015031",258,233,886,998,270,394,298,350,1044,1074,436,235
"387","LOC113678090","XP_027050758.1","GO:0005515",92,56,83,60,49,68,107,130,81,71,83,61
"388","LOC113678385","XP_027051066.1","GO:0004252,GO:0006508",101,106,71,17,41,84,71,73,75,42,82,65
"389","LOC113678418","XP_027051106.1","GO:0055114",39,32,480,894,100,149,648,86,1051,1267,59,90
"390","LOC113678426","XP_027051113.1","GO:0003676",16,75,41,36,20,41,50,38,36,33,40,14
"391","LOC113678426","XP_027051113.1","GO:0015074",16,75,41,36,20,41,50,38,36,33,40,14
"392","LOC113678514","XP_027051195.1","GO:0055114",58,18,277,460,48,69,60,41,196,246,89,88
"393","LOC113678520","XP_027051211.1","GO:0016539",191,202,285,85,224,277,233,234,95,262,160,121
"394","LOC113678520","XP_027051207.1","GO:0016540",191,202,285,85,224,277,233,234,95,262,160,121
"395","LOC113678520","XP_027051211.1","GO:0016540",191,202,285,85,224,277,233,234,95,262,160,121
"396","LOC113678520","XP_027051211.1","GO:0007267,GO:0007275",191,202,285,85,224,277,233,234,95,262,160,121
"397","LOC113678520","XP_027051207.1","GO:0007267",191,202,285,85,224,277,233,234,95,262,160,121
"398","LOC113678520","XP_027051213.1","GO:0007267",191,202,285,85,224,277,233,234,95,262,160,121
"399","LOC113678520","XP_027051212.1","GO:0007267,GO:0007275",191,202,285,85,224,277,233,234,95,262,160,121
"400","LOC113678520","XP_027051208.1","GO:0007267",191,202,285,85,224,277,233,234,95,262,160,121
"401","LOC113678520","XP_027051208.1","GO:0007267,GO:0007275",191,202,285,85,224,277,233,234,95,262,160,121
"402","LOC113678520","XP_027051207.1","GO:0016539",191,202,285,85,224,277,233,234,95,262,160,121
"403","LOC113678520","XP_027051210.1","GO:0007267,GO:0007275",191,202,285,85,224,277,233,234,95,262,160,121
"404","LOC113678520","XP_027051211.1","GO:0007267",191,202,285,85,224,277,233,234,95,262,160,121
"405","LOC113678520","XP_027051213.1","GO:0016539",191,202,285,85,224,277,233,234,95,262,160,121
"406","LOC113678520","XP_027051210.1","GO:0016539",191,202,285,85,224,277,233,234,95,262,160,121
"407","LOC113678520","XP_027051206.1","GO:0007267",191,202,285,85,224,277,233,234,95,262,160,121
"408","LOC113678520","XP_027051212.1","GO:0007267",191,202,285,85,224,277,233,234,95,262,160,121
"409","LOC113678520","XP_027051206.1","GO:0007267,GO:0007275",191,202,285,85,224,277,233,234,95,262,160,121
"410","LOC113678520","XP_027051210.1","GO:0007267",191,202,285,85,224,277,233,234,95,262,160,121
"411","LOC113678520","XP_027051210.1","GO:0016540",191,202,285,85,224,277,233,234,95,262,160,121
"412","LOC113678520","XP_027051207.1","GO:0007267,GO:0007275",191,202,285,85,224,277,233,234,95,262,160,121
"413","LOC113678520","XP_027051209.1","GO:0007267",191,202,285,85,224,277,233,234,95,262,160,121
"414","LOC113678520","XP_027051208.1","GO:0016539",191,202,285,85,224,277,233,234,95,262,160,121
"415","LOC113678520","XP_027051213.1","GO:0016540",191,202,285,85,224,277,233,234,95,262,160,121
"416","LOC113678520","XP_027051209.1","GO:0016540",191,202,285,85,224,277,233,234,95,262,160,121
"417","LOC113678520","XP_027051209.1","GO:0016539",191,202,285,85,224,277,233,234,95,262,160,121
"418","LOC113678520","XP_027051206.1","GO:0016539",191,202,285,85,224,277,233,234,95,262,160,121
"419","LOC113678520","XP_027051209.1","GO:0007267,GO:0007275",191,202,285,85,224,277,233,234,95,262,160,121
"420","LOC113678520","XP_027051213.1","GO:0007267,GO:0007275",191,202,285,85,224,277,233,234,95,262,160,121
"421","LOC113678520","XP_027051212.1","GO:0016540",191,202,285,85,224,277,233,234,95,262,160,121
"422","LOC113678520","XP_027051206.1","GO:0016540",191,202,285,85,224,277,233,234,95,262,160,121
"423","LOC113678520","XP_027051208.1","GO:0016540",191,202,285,85,224,277,233,234,95,262,160,121
"424","LOC113678520","XP_027051212.1","GO:0016539",191,202,285,85,224,277,233,234,95,262,160,121
"425","LOC113678576","XP_027051275.1","GO:0016020,GO:0016757",73,97,339,316,107,182,165,137,402,346,148,68
"426","LOC113678608","XP_027051309.1","GO:0016021,GO:0030148,GO:0042284",908,339,2826,2355,1165,1001,522,617,2746,2549,1298,626
"427","LOC113678608","XP_027051309.1","GO:0006629",908,339,2826,2355,1165,1001,522,617,2746,2549,1298,626
"428","LOC113678667","XP_027051368.1","GO:0005515",75,19,27,19,47,34,29,110,45,31,48,22
"429","LOC113678765","XP_027051475.1","GO:0006508,GO:0008237,GO:0008270",197,83,796,631,220,197,157,162,541,522,305,181
"430","LOC113678765","XP_027051475.1","GO:0008237",197,83,796,631,220,197,157,162,541,522,305,181
"431","LOC113678765","XP_027051475.1","GO:0004222,GO:0006508,GO:0008270,GO:0031012",197,83,796,631,220,197,157,162,541,522,305,181
"432","LOC113678765","XP_027051475.1","GO:0008237,GO:0008270",197,83,796,631,220,197,157,162,541,522,305,181
"433","LOC113678765","XP_027051475.1","GO:0004222,GO:0006508,GO:0008270",197,83,796,631,220,197,157,162,541,522,305,181
"434","LOC113678791","XP_027051499.1","GO:0005524",95,19,11,20,35,180,36,112,23,67,63,61
"435","LOC113678825","XP_027051538.1","GO:0016021",316,517,318,190,221,411,234,420,268,272,404,263
"436","LOC113678825","XP_027051537.1","GO:0016021",316,517,318,190,221,411,234,420,268,272,404,263
"437","LOC113678949","XP_027051672.1","GO:0005515",29,7,15,14,19,21,37,37,16,6,5,12
"438","LOC113678968","XP_027051686.1","GO:0004672,GO:0006468",60,37,24,2,30,61,42,65,26,26,63,31
"439","LOC113678968","XP_027051686.1","GO:0005524",60,37,24,2,30,61,42,65,26,26,63,31
"440","LOC113678968","XP_027051686.1","GO:0004672,GO:0005524,GO:0006468",60,37,24,2,30,61,42,65,26,26,63,31
"441","LOC113679025","XP_027051753.1","GO:0005515",91,16,1150,293,139,128,72,90,622,450,259,103
"442","LOC113679025","XP_027051753.1","GO:0051260",91,16,1150,293,139,128,72,90,622,450,259,103
"443","LOC113679057","XP_027051804.1","GO:0016747",42,81,148,74,59,121,116,188,174,78,83,52
"444","LOC113679109","XP_027051857.1","GO:0005515",221,112,195,101,157,223,230,307,94,170,257,196
"445","LOC113679283","XP_027052038.1","GO:0004672,GO:0005524,GO:0006468",104,112,51,172,159,146,121,119,68,119,93,87
"446","LOC113679283","XP_027052038.1","GO:0004672,GO:0006468",104,112,51,172,159,146,121,119,68,119,93,87
"447","LOC113679283","XP_027052038.1","GO:0004713,GO:0006468",104,112,51,172,159,146,121,119,68,119,93,87
"448","LOC113679283","XP_027052038.1","GO:0005524",104,112,51,172,159,146,121,119,68,119,93,87
"449","LOC113679436","XP_027052199.1","GO:0005515",29,27,41,20,24,32,33,31,35,35,20,19
"450","LOC113679436","XP_027052199.1","GO:0018024",29,27,41,20,24,32,33,31,35,35,20,19
"451","LOC113679585","XP_027052355.1","GO:0003950",169,105,6,29,161,185,8,37,30,26,27,55
"452","LOC113679585","XP_027052353.1","GO:0003950",169,105,6,29,161,185,8,37,30,26,27,55
"453","LOC113679585","XP_027052354.1","GO:0003950",169,105,6,29,161,185,8,37,30,26,27,55
"454","LOC113679585","XP_027052352.1","GO:0003950",169,105,6,29,161,185,8,37,30,26,27,55
"455","LOC113679585","XP_027052351.1","GO:0003950",169,105,6,29,161,185,8,37,30,26,27,55
"456","LOC113679684","XP_027052454.1","GO:0055085",133,42,348,310,138,171,74,123,380,428,188,84
"457","LOC113679798","XP_027052568.1","GO:0097193",205,45,668,745,212,239,218,108,685,590,303,89
"458","LOC113679869","XP_027052645.1","GO:0004553,GO:0005975",307,328,288,64,186,389,224,424,235,138,61,262
"459","LOC113679869","XP_027052645.1","GO:0003824,GO:0005975,GO:0030246",307,328,288,64,186,389,224,424,235,138,61,262
"460","LOC113680168","XP_027052972.1","GO:0003924",39,75,49,40,114,173,152,71,42,28,178,14
"461","LOC113680168","XP_027052972.1","GO:0005874,GO:0007017",39,75,49,40,114,173,152,71,42,28,178,14
"462","LOC113680168","XP_027052972.1","GO:0005200,GO:0005525,GO:0005874,GO:0007017",39,75,49,40,114,173,152,71,42,28,178,14
"463","LOC113680180","XP_027052987.1","GO:0043531",18,29,4,27,10,20,26,27,14,30,21,12
"464","LOC113680204","XP_027053018.1","GO:0005576,GO:0030414",611,355,171,304,140,821,563,737,415,348,729,507
"465","LOC113680256","XP_027053077.1","GO:0005525",65,33,7,7,90,71,35,45,7,6,86,67
"466","LOC113680398","XP_027053229.1","GO:0004725,GO:0016311",58,9,1416,997,58,488,93,515,857,1014,84,116
"467","LOC113680398","XP_027053229.1","GO:0006470,GO:0008138",58,9,1416,997,58,488,93,515,857,1014,84,116
"468","LOC113680398","XP_027053229.1","GO:0016311,GO:0016791",58,9,1416,997,58,488,93,515,857,1014,84,116
"469","LOC113680398","XP_027053229.1","GO:0008138,GO:0016311",58,9,1416,997,58,488,93,515,857,1014,84,116
"470","LOC113680469","XP_027053301.1","GO:0005515",77,43,91,77,55,91,72,169,56,104,80,107
"471","LOC113680561","XP_027053404.1","GO:0005506,GO:0016705,GO:0020037,GO:0055114",46,10,81,69,36,28,17,32,120,95,49,52
"472","LOC113680561","XP_027053404.1","GO:0016705,GO:0055114",46,10,81,69,36,28,17,32,120,95,49,52
"473","LOC113680594","XP_027053431.1","GO:0000977,GO:0032422",1190,1038,190,610,1087,1351,24,1361,270,112,1265,934
"474","LOC113680629","XP_027053463.1","GO:0008168,GO:0008610",34,13,5,19,13,25,14,11,30,7,24,22
"475","LOC113680735","XP_027053573.1","GO:0005515",129,75,366,327,80,172,142,128,337,380,136,93
"476","LOC113680763","XP_027053604.1","GO:0005515",34,7,190,163,16,34,39,51,139,319,41,75
"477","LOC113680923","XP_027053771.1","GO:0016020",5927,1857,2160,1606,5619,6733,3112,5185,1793,1531,6592,4534
"478","LOC113680950","XP_027053804.1","GO:0005515",160,111,187,218,141,211,184,258,195,339,192,156
"479","LOC113680964","XP_027053817.1","GO:0005524,GO:0006457,GO:0009408,GO:0051082",125,75,364,368,102,119,107,160,428,431,216,113
"480","LOC113680964","XP_027053817.1","GO:0006457,GO:0051082",125,75,364,368,102,119,107,160,428,431,216,113
"481","LOC113680964","XP_027053817.1","GO:0031072,GO:0051082",125,75,364,368,102,119,107,160,428,431,216,113
"482","LOC113680970","XP_027053825.1","GO:0005515",112,39,157,108,86,134,168,144,110,131,123,68
"483","LOC113681103","XP_027053973.1","GO:0016021",50,124,60,22,63,20,33,96,18,43,23,24
"484","LOC113681103","XP_027053973.1","GO:0004930,GO:0007186,GO:0016021",50,124,60,22,63,20,33,96,18,43,23,24
"485","LOC113681196","XP_027054073.1","GO:0005515",509,455,1977,3572,223,506,826,1007,2733,3013,976,471
"486","LOC113681196","XP_027054073.1","GO:0016787",509,455,1977,3572,223,506,826,1007,2733,3013,976,471
"487","LOC113681196","XP_027054073.1","GO:0003993,GO:0046872",509,455,1977,3572,223,506,826,1007,2733,3013,976,471
"488","LOC113681218","XP_027054094.1","GO:0005515",46,120,52,6,51,217,384,68,2,84,171,57
"489","LOC113681278","XP_027054159.1","GO:0005524",366,220,425,488,320,474,442,327,367,444,393,169
"490","LOC113681278","XP_027054159.1","GO:0005524,GO:0016887",366,220,425,488,320,474,442,327,367,444,393,169
"491","LOC113681354","XP_027054251.1","GO:0003676,GO:0016787,GO:0046872",30,54,17,18,17,36,56,37,34,12,39,24
"492","LOC113681384","XP_027054277.1","GO:0016021",46,39,10,9,40,52,15,10,12,21,4,36
"493","LOC113681384","XP_027054277.1","GO:0004930,GO:0007186,GO:0016021",46,39,10,9,40,52,15,10,12,21,4,36
"494","LOC113681388","XP_027054280.1","GO:0005515,GO:0007165",45,35,54,85,43,54,88,64,47,58,52,33
"495","LOC113681475","XP_027054369.1","GO:0036297,GO:0043240",54,40,55,62,51,68,52,63,78,99,63,42
"496","LOC113681529","XP_027054427.1","GO:0005096",185,88,433,338,176,164,155,157,415,432,237,155
"497","LOC113681648","XP_027054558.1","GO:0006508,GO:0008234",6487,2601,26240,23283,4447,9038,5699,5119,19861,21415,9717,7785
"498","LOC113681664","XP_027054570.1","GO:0005548,GO:0015914",1308,285,2724,2934,1517,925,653,853,2809,2984,1024,1090
"499","LOC113681878","XP_027054807.1","GO:0000145,GO:0006887",505,234,621,342,393,578,551,569,550,572,557,338
"500","LOC113681925","XP_027054862.1","GO:0004930,GO:0007186,GO:0016021",8,343,43,28,171,305,15,15,35,36,16,153
"501","LOC113681925","XP_027054862.1","GO:0004888,GO:0007166,GO:0016021",8,343,43,28,171,305,15,15,35,36,16,153
"502","LOC113682109","XP_027055062.1","GO:0005515",150,185,101,270,112,150,395,162,162,125,171,148
"503","LOC113682120","XP_027055075.1","GO:0003735,GO:0005840,GO:0006412",6228,1335,18398,22895,8532,4876,7997,4825,20289,20102,8295,8345
"504","LOC113682120","XP_027055075.1","GO:0003735,GO:0006412,GO:0015934",6228,1335,18398,22895,8532,4876,7997,4825,20289,20102,8295,8345
"505","LOC113682288","XP_027055246.1","GO:0006383",96,23,137,205,63,52,55,78,284,287,108,54
"506","LOC113682506","XP_027055469.1","GO:0009055,GO:0051536",1496,369,5015,7008,1350,2262,1410,952,4214,4852,2491,1633
"507","LOC113682506","XP_027055469.1","GO:0051537",1496,369,5015,7008,1350,2262,1410,952,4214,4852,2491,1633
"508","LOC113682506","XP_027055469.1","GO:0006099,GO:0016491,GO:0055114",1496,369,5015,7008,1350,2262,1410,952,4214,4852,2491,1633
"509","LOC113682506","XP_027055469.1","GO:0051536",1496,369,5015,7008,1350,2262,1410,952,4214,4852,2491,1633
"510","LOC113682541","XP_027055500.1","GO:0005515",44,16,137,167,39,64,40,28,143,173,86,36
"511","LOC113682549","XP_027055510.1","GO:0005524",61,14,254,248,42,71,47,64,206,253,95,64
"512","LOC113682549","XP_027055511.1","GO:0005524",61,14,254,248,42,71,47,64,206,253,95,64
"513","LOC113682550","XP_027055512.1","GO:0005507,GO:0005743,GO:0006825,GO:0006878,GO:0008535",350,118,1193,1116,405,381,247,252,975,1070,462,313
"514","LOC113682626","XP_027055593.1","GO:0004252,GO:0006515",200,103,48,112,112,231,265,252,37,102,333,139
"515","LOC113682626","XP_027055593.1","GO:0004176,GO:0005524,GO:0006508",200,103,48,112,112,231,265,252,37,102,333,139
"516","LOC113682626","XP_027055593.1","GO:0004176,GO:0004252,GO:0006508",200,103,48,112,112,231,265,252,37,102,333,139
"517","LOC113682626","XP_027055593.1","GO:0005524,GO:0016887",200,103,48,112,112,231,265,252,37,102,333,139
"518","LOC113682635","XP_027055603.1","GO:0005515",187,0,14,25,51,45,31,47,19,49,61,126
"519","LOC113682635","XP_027055603.1","GO:0035556",187,0,14,25,51,45,31,47,19,49,61,126
"520","LOC113682887","XP_027055863.1","GO:0008119",91,31,431,431,85,101,51,55,323,315,172,163
"521","LOC113682887","XP_027055863.1","GO:0008757",91,31,431,431,85,101,51,55,323,315,172,163
"522","LOC113682888","XP_027055864.1","GO:0008289",372,200,24,52,340,410,344,386,64,93,443,0
"523","LOC113682923","XP_027055911.1","GO:0030246",288,274,147,87,169,154,257,316,102,71,209,388
"524","LOC113682923","XP_027055910.1","GO:0030246",288,274,147,87,169,154,257,316,102,71,209,388
"525","LOC113682923","XP_027055909.1","GO:0030246",288,274,147,87,169,154,257,316,102,71,209,388
"526","LOC113682977","XP_027055981.1","GO:0005507,GO:0016491,GO:0055114",417,150,64,144,251,427,302,362,10,10,258,203
"527","LOC113682977","XP_027055981.1","GO:0055114",417,150,64,144,251,427,302,362,10,10,258,203
"528","LOC113682977","XP_027055981.1","GO:0005507",417,150,64,144,251,427,302,362,10,10,258,203
"529","LOC113683282","XP_027056307.1","GO:0005515",91,47,41,7,83,51,33,69,8,27,24,45
"530","LOC113683360","XP_027056397.1","GO:0003677,GO:0003899,GO:0006351",110,114,32,9,76,132,132,53,51,15,163,79
"531","LOC113683409","XP_027056449.1","GO:0004114,GO:0007165",367,581,111,77,490,834,310,381,7,290,334,458
"532","LOC113683409","XP_027056452.1","GO:0008081",367,581,111,77,490,834,310,381,7,290,334,458
"533","LOC113683409","XP_027056453.1","GO:0008081",367,581,111,77,490,834,310,381,7,290,334,458
"534","LOC113683409","XP_027056454.1","GO:0004114,GO:0007165",367,581,111,77,490,834,310,381,7,290,334,458
"535","LOC113683409","XP_027056452.1","GO:0004114,GO:0007165",367,581,111,77,490,834,310,381,7,290,334,458
"536","LOC113683409","XP_027056448.1","GO:0008081",367,581,111,77,490,834,310,381,7,290,334,458
"537","LOC113683409","XP_027056454.1","GO:0000160",367,581,111,77,490,834,310,381,7,290,334,458
"538","LOC113683409","XP_027056451.1","GO:0008081",367,581,111,77,490,834,310,381,7,290,334,458
"539","LOC113683409","XP_027056451.1","GO:0004114,GO:0007165",367,581,111,77,490,834,310,381,7,290,334,458
"540","LOC113683409","XP_027056454.1","GO:0008081",367,581,111,77,490,834,310,381,7,290,334,458
"541","LOC113683409","XP_027056448.1","GO:0004114,GO:0007165",367,581,111,77,490,834,310,381,7,290,334,458
"542","LOC113683409","XP_027056453.1","GO:0000160",367,581,111,77,490,834,310,381,7,290,334,458
"543","LOC113683409","XP_027056449.1","GO:0008081",367,581,111,77,490,834,310,381,7,290,334,458
"544","LOC113683409","XP_027056450.1","GO:0004114,GO:0007165",367,581,111,77,490,834,310,381,7,290,334,458
"545","LOC113683409","XP_027056453.1","GO:0004114,GO:0007165",367,581,111,77,490,834,310,381,7,290,334,458
"546","LOC113683409","XP_027056450.1","GO:0008081",367,581,111,77,490,834,310,381,7,290,334,458
"547","LOC113683506","XP_027056559.1","GO:0008270",194,118,620,531,215,196,137,236,645,553,210,138
"548","LOC113683602","XP_027056662.1","GO:0005515",32,82,149,190,27,89,96,106,172,267,40,25
"549","LOC113683602","XP_027056662.1","GO:0006606,GO:0061608",32,82,149,190,27,89,96,106,172,267,40,25
"550","LOC113683627","XP_027056681.1","GO:0005524,GO:0016887",391,236,105,109,263,268,369,389,105,82,311,54
"551","LOC113683627","XP_027056681.1","GO:0005515",391,236,105,109,263,268,369,389,105,82,311,54
"552","LOC113683721","XP_027056791.1","GO:0005515",25,31,4,13,19,10,16,12,12,10,11,8
"553","LOC113683782","XP_027056867.1","GO:0042981",321,182,290,305,427,633,470,297,377,375,416,241
"554","LOC113684081","XP_027057195.1","GO:0004386",224,299,233,171,279,275,401,202,13,177,282,127
"555","LOC113684081","XP_027057192.1","GO:0004386",224,299,233,171,279,275,401,202,13,177,282,127
"556","LOC113684081","XP_027057193.1","GO:0004386",224,299,233,171,279,275,401,202,13,177,282,127
"557","LOC113684081","XP_027057194.1","GO:0004386",224,299,233,171,279,275,401,202,13,177,282,127
"558","LOC113684175","XP_027057314.1","GO:0005515",22,10,8,14,8,11,16,19,10,11,12,8
"559","LOC113684177","XP_027057316.1","GO:0005515",325,205,36,13,349,237,20,386,29,56,24,290
"560","LOC113684224","XP_027057363.1","GO:0005515",530,274,218,466,407,406,530,546,686,670,529,332
"561","LOC113684226","XP_027057365.1","GO:0005249,GO:0006813,GO:0016020",13,15,12,7,32,25,20,5,9,8,18,6
"562","LOC113684226","XP_027057365.1","GO:0005216,GO:0006811,GO:0016020,GO:0055085",13,15,12,7,32,25,20,5,9,8,18,6
