"","gene_id","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology","length","17_ctl2_Of_ZTH_1","18_T33_Of_VLL","26_T12_Of_WCL","30_T23_Of_RPG","32_T22_Of_EVR","36_T43_Of_JJN","40_T13_Of_GWS","43_ctl3_Of_JVP_1","44_T41_Of_PVT_1","48_T31_Of_JNO","50_T21_Of_YZB","51_T42_Of_UOF","59_T11_Of_TQP","60_T32_Of_WY","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Treatment_Compare"
"9","LOC110044078","GO:0071944",0.00050080832308553,0.99999580042469,2,83,"cell periphery","CC",5685,128,168,771,334,621,381,954,255,347,633,380,1073,517,1238,606.708164710032,-3.16350581871835,0.686248929286891,-4.60985173704486,4.02956238306175e-06,0.0264124382335087,"CvsT1"
"10","LOC110044078","GO:0071944",0.00050080832308553,0.99999580042469,2,83,"cell periphery","CC",5685,128,168,771,334,621,381,954,255,347,633,380,1073,517,1238,606.708164710032,-3.27683638181401,0.6866619012388,-4.77212493645315,1.82292361741076e-06,0.00664565690352721,"CvsT3"
"45","LOC110047898","GO:0071944",0.00050080832308553,0.99999580042469,2,83,"cell periphery","CC",376,0,22,44,22,22,46,32,0,88,40,51,59,70,55,42.5147172629862,-9.13858916987499,1.49732809259386,-6.10326435139808,1.03923745353658e-09,2.04355652863432e-05,"CvsT2"
"46","LOC110047898","GO:0071944",0.00050080832308553,0.99999580042469,2,83,"cell periphery","CC",376,0,22,44,22,22,46,32,0,88,40,51,59,70,55,42.5147172629862,-9.18812559972576,1.49473710662533,-6.14698434861885,7.89699179589156e-10,1.55286446674412e-05,"CvsT1"
"47","LOC110047898","GO:0071944",0.00050080832308553,0.99999580042469,2,83,"cell periphery","CC",376,0,22,44,22,22,46,32,0,88,40,51,59,70,55,42.5147172629862,-9.44958779412622,1.49659843441435,-6.31404361840325,2.71837266450886e-10,5.34540800749022e-06,"CvsT3"
"48","LOC110047898","GO:0071944",0.00050080832308553,0.99999580042469,2,83,"cell periphery","CC",376,0,22,44,22,22,46,32,0,88,40,51,59,70,55,42.5147172629862,-9.4542771935456,1.4937120809465,-6.3293838981036,2.46142017514236e-10,4.84013663239994e-06,"CvsT4"
"25","LOC110045321","GO:0009941",0.0030958158214998,0.999996401380721,1,7,"chloroplast envelope","CC",2855,245,73,158,100,139,223,204,217,328,220,172,268,345,457,217.197987452254,-1.645674615117,0.341261478734566,-4.82232750446767,1.41892720654481e-06,0.00664565690352721,"CvsT3"
"39","LOC110045321","GO:0005622",0.0449782350045312,0.999107365509885,1,115,"intracellular","CC",2855,245,73,158,100,139,223,204,217,328,220,172,268,345,457,217.197987452254,-1.645674615117,0.341261478734566,-4.82232750446767,1.41892720654481e-06,0.00664565690352721,"CvsT3"
