Orthogroup	plut2v1.1.proteins	Mcavernosa.maker.proteins
OG0000005	plut2.m8.12167.m1, plut2.m8.25156.m1, plut2.m8.1278.m1, plut2.m8.9273.m1, plut2.m8.11585.m1, plut2.m8.11587.m1, plut2.m8.9280.m1, plut2.m8.12185.m1, plut2.m8.23335.m1, plut2.m8.10392.m1, plut2.m8.33550.m1, plut2.m8.639.m1, plut2.m8.646.m1, plut2.m8.12186.m1, plut2.m8.33402.m1, plut2.m8.17586.m1, plut2.m8.11554.m1, plut2.m8.1283.m1, plut2.m8.32931.m1, plut2.m8.25219.m1, plut2.m8.17756.m1, plut2.m8.26274.m1, plut2.m8.11502.m1, plut2.m8.25480.m1, plut2.m8.25215.m1, plut2.m8.25217.m1, plut2.m8.17758.m1, plut2.m8.17759.m1, plut2.m8.28435.m1, plut2.m8.28443.m1, plut2.m8.16929.m1	Mcavernosa31190-RA
OG0000006	plut2.m8.17369.m1	Mcavernosa29868-RA
OG0000006	plut2.m8.17365.m1, plut2.m8.23604.m1, plut2.m8.17379.m1, plut2.m8.25655.m1, plut2.m8.17373.m1, plut2.m8.24292.m1, plut2.m8.23716.m1, jamg1.model.xfSc0002268.1, plut2.m8.9049.m1, plut2.m8.9050.m1, plut2.m8.9051.m1, plut2.m8.21821.m1	Mcavernosa05195-RA, Mcavernosa30132-RA, Mcavernosa25815-RA
OG0000007	plut2.m8.27420.m1, plut2.m8.17069.m1, plut2.m8.30549.m1	Mcavernosa01452-RA
OG0000007	jamg1.model.Sc0000013.22, plut2.m8.28514.m1, plut2.m8.9151.m1, jamg1.model.Sc0000467.7, plut2.m8.14928.m1, plut2.m8.25034.m1, plut2.m8.21734.m1, plut2.m8.15271.m1, plut2.m8.28534.m1, plut2.m8.25296.m1, plut2.m8.22129.m1, plut2.m8.23738.m1, jamg1.model.Sc0000250.1, jamg1.model.Sc0000518.15, jamg1.model.Sc0000096.13, jamg1.model.Sc0000270.22, jamg1.model.Sc0000250.4, jamg1.model.Sc0000278.53, plut2.m8.4743.m1, jamg1.model.xpSc0007078.4, jamg1.model.xpSc0007074.1, jamg1.model.Sc0000191.34	Mcavernosa25907-RA
OG0000007	plut2.m8.8634.m1, plut2.m8.27823.m1, plut2.m8.16308.m1, plut2.m8.9354.m1, plut2.m8.19922.m1, plut2.m8.31186.m1, jamg1.model.Sc0000390.1, plut2.m8.6242.m1, plut2.m8.23742.m1, plut2.m8.19136.m1, plut2.m8.9150.m1, plut2.m8.30243.m1	Mcavernosa29663-RA
OG0000008	plut2.m8.16439.m1	Mcavernosa22378-RA
OG0000009	jamg1.model.Sc0000320.78	Mcavernosa07119-RA, Mcavernosa07120-RA, Mcavernosa32991-RA
OG0000010	plut2.m8.31139.m1, plut2.m8.31138.m1, plut2.m8.30690.m1	Mcavernosa18524-RA, Mcavernosa18526-RA
OG0000011	jamg1.model.Sc0000231.45	Mcavernosa29991-RA, Mcavernosa07525-RA, Mcavernosa32676-RA, Mcavernosa06309-RA
OG0000012	jamg1.model.Sc0000488.16	Mcavernosa24341-RA
OG0000013	plut2.m8.31867.m1	Mcavernosa23938-RA
OG0000013	plut2.m8.32987.m1	Mcavernosa07294-RA
OG0000013	plut2.m8.19878.m1	Mcavernosa06544-RA, Mcavernosa25679-RA
OG0000014	jamg1.model.xpSc0007142.5, jamg1.model.Sc0000021.101, plut2.m8.2680.m1, plut2.m8.33176.m1, plut2.m8.15689.m1, plut2.m8.15688.m1, plut2.m8.15691.m1, plut2.m8.33175.m1, plut2.m8.25313.m1, plut2.m8.25314.m1, plut2.m8.15690.m1, plut2.m8.7886.m1, plut2.m8.14383.m1, plut2.m8.14369.m1, plut2.m8.33424.m1, plut2.m8.32360.m1, plut2.m8.2662.m1, plut2.m8.6312.m1, plut2.m8.18661.m1, plut2.m8.33044.m1, plut2.m8.29943.m1, plut2.m8.18666.m1	Mcavernosa08072-RA, Mcavernosa08071-RA
OG0000014	plut2.m8.32505.m1, plut2.m8.6451.m1	Mcavernosa26712-RA
OG0000015	plut2.m8.15561.m1, plut2.m8.15565.m1, plut2.m8.15562.m1	Mcavernosa12684-RA, Mcavernosa12683-RA
OG0000015	plut2.m8.1918.m1, plut2.m8.18835.m1	Mcavernosa06424-RA, Mcavernosa06425-RA, Mcavernosa06422-RA
