Orthogroup	plut2v1.1.proteins	Mcavernosa.maker.proteins
OG0001157	plut2.m8.19089.m1	Mcavernosa11441-RA
OG0001158	plut2.m8.33032.m1	Mcavernosa25765-RA
OG0001159	plut2.m8.7469.m1	Mcavernosa00861-RA, Mcavernosa32509-RA, Mcavernosa00863-RA, Mcavernosa26125-RA
OG0001160	plut2.m8.29181.m1	Mcavernosa16098-RA, Mcavernosa16090-RA, Mcavernosa16091-RA
OG0001160	plut2.m8.29180.m1, plut2.m8.29184.m1	Mcavernosa16095-RA
OG0001161	plut2.m8.4457.m1	Mcavernosa01753-RA
OG0001161	plut2.m8.4458.m1	Mcavernosa01752-RA
OG0001162	plut2.m8.4320.m1	Mcavernosa08231-RA, Mcavernosa08232-RA
OG0001163	plut2.m8.8952.m1, plut2.m8.26202.m1	Mcavernosa02685-RA, Mcavernosa19769-RA, Mcavernosa17664-RA
OG0001163	plut2.m8.26368.m1	Mcavernosa29364-RA
OG0001164	plut2.m8.8286.m1	Mcavernosa13736-RA
OG0001165	plut2.m8.22025.m1	Mcavernosa15706-RA
OG0001166	plut2.m8.6357.m1	Mcavernosa19592-RA
OG0001166	plut2.m8.6354.m1	Mcavernosa19591-RA, Mcavernosa19596-RA, Mcavernosa10616-RA
OG0001167	plut2.m8.13967.m1, plut2.m8.6292.m1, jamg1.model.xfSc0000125.3, plut2.m8.29709.m1	Mcavernosa10123-RA, Mcavernosa27157-RA, Mcavernosa29139-RA
OG0001168	plut2.m8.6528.m1	Mcavernosa24151-RA
OG0001169	plut2.m8.7338.m1, plut2.m8.7332.m1	Mcavernosa21539-RA, Mcavernosa29640-RA
OG0001172	plut2.m8.2468.m1	Mcavernosa17496-RA
OG0001173	plut2.m8.6983.m1, plut2.m8.6976.m1, plut2.m8.6972.m1, plut2.m8.6973.m1	Mcavernosa08043-RA
OG0001174	plut2.m8.21684.m1, plut2.m8.18244.m1	Mcavernosa17413-RA, Mcavernosa17408-RA
OG0001175	plut2.m8.22244.m1, plut2.m8.30752.m1	Mcavernosa22038-RA, Mcavernosa34643-RA, Mcavernosa22036-RA, Mcavernosa34647-RA, Mcavernosa22037-RA
OG0001176	plut2.m8.23380.m1	Mcavernosa17272-RA
OG0001176	plut2.m8.25887.m1	Mcavernosa15680-RA
OG0001178	plut2.m8.25667.m1	Mcavernosa25933-RA, Mcavernosa25932-RA, Mcavernosa10617-RA
OG0001179	plut2.m8.29303.m1, plut2.m8.22991.m1	Mcavernosa17480-RA, Mcavernosa17484-RA, Mcavernosa17485-RA, Mcavernosa17489-RA
OG0001180	plut2.m8.26625.m1, plut2.m8.26624.m1	Mcavernosa33710-RA, Mcavernosa01730-RA, Mcavernosa26035-RA
OG0001180	plut2.m8.26623.m1	Mcavernosa26037-RA
OG0001181	plut2.m8.28866.m1	Mcavernosa19013-RA, Mcavernosa19015-RA
OG0001182	jamg1.model.Sc0000935.1	Mcavernosa31900-RA
OG0001183	jamg1.model.xfSc0000017.5, jamg1.model.xfSc0000017.10, plut2.m8.31674.m1, jamg1.model.xfSc0000017.4	Mcavernosa11930-RA
OG0001183	jamg1.model.xfSc0000017.1, plut2.m8.31673.m1, plut2.m8.27323.m1	Mcavernosa11933-RA, Mcavernosa11931-RA
OG0001184	plut2.m8.11207.m1	Mcavernosa22295-RA
OG0001185	plut2.m8.15535.m1, plut2.m8.15532.m1	Mcavernosa03322-RA
OG0001185	jamg1.model.Sc0000222.33	Mcavernosa03325-RA
OG0001186	plut2.m8.33232.m1	Mcavernosa21996-RA, Mcavernosa22001-RA, Mcavernosa22003-RA
OG0001186	plut2.m8.33231.m1	Mcavernosa21993-RA
OG0001187	plut2.m8.33589.m1, plut2.m8.30221.m1	Mcavernosa11628-RA
OG0001187	plut2.m8.26315.m1	Mcavernosa23057-RA
OG0001188	plut2.m8.30074.m1, plut2.m8.6043.m1	Mcavernosa25025-RA
OG0001188	plut2.m8.6041.m1	Mcavernosa25024-RA
OG0001189	plut2.m8.9838.m1, plut2.m8.9837.m1	Mcavernosa11231-RA, Mcavernosa04498-RA
OG0001190	jamg1.model.Sc0000426.10, plut2.m8.21609.m1	Mcavernosa29952-RA
OG0001190	plut2.m8.21605.m1	Mcavernosa29950-RA, Mcavernosa29951-RA
OG0001191	plut2.m8.18283.m1, plut2.m8.18285.m1	Mcavernosa22178-RA, Mcavernosa22185-RA, Mcavernosa22184-RA, Mcavernosa22181-RA
OG0001193	plut2.m8.2103.m1	Mcavernosa30095-RA
OG0001194	plut2.m8.6965.m1	Mcavernosa20656-RA
OG0001195	plut2.m8.1047.m1	Mcavernosa25692-RA, Mcavernosa25691-RA
OG0001196	plut2.m8.1043.m1	Mcavernosa02931-RA
OG0001196	plut2.m8.1042.m1, plut2.m8.13049.m1	Mcavernosa02932-RA
OG0001197	plut2.m8.8832.m1	Mcavernosa09185-RA
OG0001198	plut2.m8.23945.m1, plut2.m8.20435.m1, plut2.m8.23942.m1, plut2.m8.23936.m1, plut2.m8.24653.m1	Mcavernosa10634-RA
OG0001199	plut2.m8.29835.m1	Mcavernosa16477-RA
OG0001199	plut2.m8.29838.m1	Mcavernosa16481-RA
OG0001200	plut2.m8.12158.m1	Mcavernosa08914-RA
OG0001201	plut2.m8.10647.m1	Mcavernosa06761-RA, Mcavernosa32865-RA, Mcavernosa06762-RA
OG0001202	jamg1.model.Sc0000187.21, plut2.m8.14053.m1	Mcavernosa15532-RA, Mcavernosa15530-RA
OG0001203	plut2.m8.12871.m1, plut2.m8.1901.m1	Mcavernosa05891-RA, Mcavernosa05893-RA, Mcavernosa05894-RA, Mcavernosa05892-RA
OG0001204	plut2.m8.7981.m1	Mcavernosa24488-RA, Mcavernosa24484-RA
OG0001205	jamg1.model.Sc0000301.24	Mcavernosa23508-RA, Mcavernosa28925-RA
OG0001207	plut2.m8.18484.m1	Mcavernosa27954-RA
OG0001208	plut2.m8.1175.m1	Mcavernosa06079-RA
OG0001209	plut2.m8.20970.m1	Mcavernosa17356-RA
OG0001210	plut2.m8.530.m1	Mcavernosa04130-RA, Mcavernosa04128-RA, Mcavernosa29396-RA, Mcavernosa34679-RA, Mcavernosa04674-RA, Mcavernosa29956-RA, Mcavernosa04127-RA, Mcavernosa04131-RA
OG0001211	plut2.m8.29849.m1	Mcavernosa01839-RA, Mcavernosa01664-RA
OG0001212	plut2.m8.9516.m1	Mcavernosa30983-RA
OG0001213	plut2.m8.21514.m1	Mcavernosa24441-RA
OG0001213	plut2.m8.12155.m1	Mcavernosa24442-RA
OG0001214	jamg1.model.xfSc0000001.8, plut2.m8.26512.m1	Mcavernosa14329-RA
OG0001214	plut2.m8.26510.m1	Mcavernosa14323-RA
OG0001215	plut2.m8.23033.m1, plut2.m8.23036.m1	Mcavernosa00197-RA, Mcavernosa32805-RA, Mcavernosa00198-RA, Mcavernosa30444-RA
OG0001216	plut2.m8.9302.m1, plut2.m8.9300.m1, plut2.m8.9304.m1, plut2.m8.9296.m1, plut2.m8.9699.m1, plut2.m8.9698.m1	Mcavernosa20637-RA, Mcavernosa04947-RA, Mcavernosa20639-RA, Mcavernosa20641-RA
OG0001217	plut2.m8.14981.m1, plut2.m8.14982.m1, plut2.m8.14992.m1	Mcavernosa24332-RA
OG0001217	plut2.m8.14990.m1	Mcavernosa24334-RA
OG0001218	plut2.m8.9721.m1, plut2.m8.9717.m1	Mcavernosa29154-RA
OG0001219	jamg1.model.Sc0000101.61	Mcavernosa12224-RA, Mcavernosa13471-RA, Mcavernosa13473-RA, Mcavernosa13472-RA
OG0001220	plut2.m8.22985.m1, plut2.m8.9060.m1	Mcavernosa06364-RA, Mcavernosa27753-RA, Mcavernosa06366-RA, Mcavernosa27755-RA
OG0001221	plut2.m8.18646.m1	Mcavernosa27370-RA
OG0001221	plut2.m8.18643.m1	Mcavernosa27371-RA, Mcavernosa27372-RA
OG0001222	plut2.m8.19912.m1	Mcavernosa25351-RA, Mcavernosa02839-RA
OG0001222	plut2.m8.5183.m1	Mcavernosa14054-RA
OG0001223	jamg1.model.xfSc0000075.9, jamg1.model.Sc0000554.1, jamg1.model.Sc0000143.13	Mcavernosa10771-RA
OG0001224	plut2.m8.15050.m1	Mcavernosa18879-RA
OG0001224	plut2.m8.15048.m1	Mcavernosa27406-RA
OG0001227	plut2.m8.7157.m1	Mcavernosa14269-RA, Mcavernosa14267-RA
OG0001229	plut2.m8.13310.m1	Mcavernosa15106-RA, Mcavernosa07225-RA, Mcavernosa15060-RA, Mcavernosa24077-RA
OG0001230	jamg1.model.xfSc0001343.1, jamg1.model.Sc0000016.5, jamg1.model.Sc0000016.4, jamg1.model.Sc0000016.1, jamg1.model.Sc0000069.111	Mcavernosa05473-RA
OG0001232	plut2.m8.10438.m1	Mcavernosa07192-RA
OG0001233	jamg1.model.Sc0000274.21	Mcavernosa26667-RA, Mcavernosa26668-RA
OG0001234	plut2.m8.2267.m1, plut2.m8.2268.m1, plut2.m8.2266.m1	Mcavernosa07600-RA, Mcavernosa07599-RA
OG0001234	plut2.m8.26970.m1, plut2.m8.32678.m1	Mcavernosa11557-RA
OG0001236	plut2.m8.7023.m1, plut2.m8.7022.m1	Mcavernosa33881-RA, Mcavernosa33878-RA, Mcavernosa10582-RA, Mcavernosa10586-RA, Mcavernosa24262-RA, Mcavernosa26431-RA
OG0001237	plut2.m8.5227.m1, plut2.m8.5226.m1	Mcavernosa29170-RA, Mcavernosa12532-RA, Mcavernosa12523-RA
OG0001237	plut2.m8.5228.m1	Mcavernosa32841-RA, Mcavernosa12533-RA, Mcavernosa29169-RA
OG0001238	jamg1.model.xpSc0007070.8, jamg1.model.Sc0000208.52, jamg1.model.Sc0000440.5, jamg1.model.xfSc0000857.1, jamg1.model.Sc0000117.44, jamg1.model.Sc0000208.51, jamg1.model.Sc0000440.4, jamg1.model.xpSc0007070.7, jamg1.model.Sc0000715.11	Mcavernosa28871-RA
OG0001241	plut2.m8.21818.m1	Mcavernosa28450-RA, Mcavernosa26398-RA, Mcavernosa27090-RA
OG0001244	plut2.m8.1671.m1	Mcavernosa24667-RA, Mcavernosa24670-RA
OG0001245	plut2.m8.11342.m1, plut2.m8.5186.m1, plut2.m8.5182.m1	Mcavernosa14106-RA, Mcavernosa14100-RA
OG0001247	plut2.m8.33011.m1	Mcavernosa28734-RA, Mcavernosa32824-RA
OG0001248	plut2.m8.28568.m1, plut2.m8.28564.m1	Mcavernosa16628-RA, Mcavernosa34213-RA
OG0001248	jamg1.model.xfSc0000058.27	Mcavernosa32883-RA
OG0001249	plut2.m8.8388.m1	Mcavernosa16422-RA, Mcavernosa16423-RA
OG0001250	plut2.m8.20733.m1	Mcavernosa25857-RA, Mcavernosa25855-RA
OG0001251	plut2.m8.8296.m1, plut2.m8.10663.m1	Mcavernosa14606-RA
OG0001252	plut2.m8.2929.m1, plut2.m8.21491.m1, plut2.m8.22829.m1, plut2.m8.22828.m1, plut2.m8.21490.m1	Mcavernosa14061-RA, Mcavernosa14062-RA
OG0001253	plut2.m8.19424.m1	Mcavernosa25309-RA
OG0001254	plut2.m8.14107.m1, plut2.m8.29890.m1, plut2.m8.15614.m1, plut2.m8.29892.m1, plut2.m8.14095.m1, plut2.m8.14094.m1	Mcavernosa02645-RA, Mcavernosa02649-RA, Mcavernosa31357-RA
OG0001255	plut2.m8.7153.m1	Mcavernosa20976-RA, Mcavernosa01646-RA, Mcavernosa01647-RA
OG0001255	plut2.m8.18451.m1	Mcavernosa01638-RA
OG0001258	plut2.m8.3944.m1	Mcavernosa20559-RA
OG0001259	plut2.m8.15712.m1	Mcavernosa07134-RA
OG0001259	plut2.m8.25569.m1, plut2.m8.25570.m1	Mcavernosa07135-RA
OG0001260	plut2.m8.11338.m1, plut2.m8.25411.m1, plut2.m8.30047.m1, plut2.m8.26065.m1, plut2.m8.31725.m1, plut2.m8.29520.m1	Mcavernosa27214-RA
OG0001261	plut2.m8.359.m1, plut2.m8.355.m1, plut2.m8.29941.m1, plut2.m8.22220.m1	Mcavernosa24444-RA
OG0001261	plut2.m8.12263.m1, plut2.m8.20834.m1, plut2.m8.20832.m1, plut2.m8.20833.m1, plut2.m8.20831.m1	Mcavernosa24439-RA
OG0001262	plut2.m8.4547.m1	Mcavernosa25808-RA, Mcavernosa33267-RA, Mcavernosa25809-RA
OG0001263	jamg1.model.Sc0000381.1	Mcavernosa21947-RA, Mcavernosa21946-RA, Mcavernosa09963-RA
OG0001264	plut2.m8.20391.m1, plut2.m8.21685.m1, plut2.m8.14384.m1, plut2.m8.22026.m1, plut2.m8.23489.m1, plut2.m8.25981.m1, plut2.m8.17450.m1, plut2.m8.26755.m1, plut2.m8.20417.m1, plut2.m8.26754.m1, plut2.m8.25805.m1, plut2.m8.32525.m1, plut2.m8.30165.m1	Mcavernosa24954-RA
OG0001267	jamg1.model.Sc0000006.1, jamg1.model.Sc0000019.59, plut2.m8.2448.m1	Mcavernosa04700-RA
OG0001267	jamg1.model.Sc0000006.16, plut2.m8.922.m1	Mcavernosa04701-RA
OG0001268	plut2.m8.21662.m1	Mcavernosa21796-RA
OG0001268	plut2.m8.5448.m1	Mcavernosa19161-RA
OG0001269	jamg1.model.Sc0000001.111	Mcavernosa22716-RA
OG0001273	jamg1.model.xpSc0007995.1, plut2.m8.19276.m1	Mcavernosa27487-RA
OG0001274	plut2.m8.15745.m1	Mcavernosa24534-RA
OG0001274	plut2.m8.17626.m1	Mcavernosa29581-RA
OG0001275	plut2.m8.12771.m1	Mcavernosa33206-RA
OG0001275	plut2.m8.12747.m1	Mcavernosa00144-RA
OG0001276	plut2.m8.17199.m1, plut2.m8.17194.m1, plut2.m8.17201.m1	Mcavernosa24248-RA
OG0001279	plut2.m8.15105.m1, plut2.m8.25448.m1, plut2.m8.15110.m1	Mcavernosa10056-RA, Mcavernosa10063-RA, Mcavernosa27123-RA, Mcavernosa34150-RA, Mcavernosa21333-RA, Mcavernosa06439-RA, Mcavernosa19094-RA, Mcavernosa28261-RA
OG0001282	jamg1.model.Sc0000186.39	Mcavernosa26581-RA
OG0001284	plut2.m8.18950.m1, plut2.m8.26080.m1	Mcavernosa34114-RA, Mcavernosa34538-RA
OG0001284	plut2.m8.20875.m1	Mcavernosa17609-RA
OG0001285	plut2.m8.23371.m1	Mcavernosa22190-RA, Mcavernosa19072-RA
OG0001287	plut2.m8.25619.m1, plut2.m8.25334.m1	Mcavernosa17611-RA, Mcavernosa04653-RA
OG0001288	plut2.m8.8957.m1	Mcavernosa17791-RA, Mcavernosa12331-RA
OG0001290	plut2.m8.1412.m1	Mcavernosa13369-RA, Mcavernosa13371-RA, Mcavernosa13370-RA, Mcavernosa33842-RA
OG0001291	plut2.m8.5994.m1	Mcavernosa25486-RA, Mcavernosa22216-RA
OG0001292	plut2.m8.22294.m1	Mcavernosa16582-RA
OG0001295	plut2.m8.25759.m1	Mcavernosa16251-RA, Mcavernosa26722-RA
OG0001295	plut2.m8.10638.m1	Mcavernosa29202-RA
OG0001296	plut2.m8.15084.m1	Mcavernosa06181-RA
OG0001299	plut2.m8.3091.m1	Mcavernosa11518-RA, Mcavernosa11519-RA, Mcavernosa30317-RA, Mcavernosa11520-RA
OG0001300	jamg1.model.Sc0000098.62	Mcavernosa34644-RA, Mcavernosa06336-RA
OG0001300	plut2.m8.18920.m1	Mcavernosa13134-RA
OG0001301	plut2.m8.8000.m1	Mcavernosa24497-RA, Mcavernosa24496-RA, Mcavernosa24499-RA
OG0001302	plut2.m8.6472.m1, plut2.m8.27288.m1	Mcavernosa30872-RA
OG0001303	plut2.m8.6705.m1	Mcavernosa01324-RA, Mcavernosa01323-RA
OG0001304	plut2.m8.12191.m1	Mcavernosa01061-RA
OG0001305	plut2.m8.14606.m1	Mcavernosa11114-RA, Mcavernosa30551-RA, Mcavernosa11111-RA
OG0001306	plut2.m8.32715.m1	Mcavernosa30088-RA
OG0001307	plut2.m8.1639.m1	Mcavernosa24172-RA
OG0001308	plut2.m8.32262.m1	Mcavernosa22997-RA, Mcavernosa05763-RA, Mcavernosa32147-RA
OG0001310	plut2.m8.17706.m1, plut2.m8.17733.m1	Mcavernosa25737-RA, Mcavernosa27203-RA
OG0001312	plut2.m8.1403.m1	Mcavernosa13350-RA
OG0001313	plut2.m8.11240.m1, plut2.m8.11241.m1	Mcavernosa16189-RA, Mcavernosa16191-RA, Mcavernosa34303-RA, Mcavernosa16190-RA
OG0001314	plut2.m8.1129.m1	Mcavernosa23596-RA, Mcavernosa22628-RA, Mcavernosa22630-RA
OG0001315	plut2.m8.4670.m1	Mcavernosa17528-RA
OG0001316	plut2.m8.12956.m1	Mcavernosa07627-RA
OG0001317	plut2.m8.14995.m1, plut2.m8.14994.m1	Mcavernosa00472-RA
OG0001317	plut2.m8.33388.m1	Mcavernosa25701-RA
OG0001318	plut2.m8.16206.m1	Mcavernosa08665-RA, Mcavernosa08668-RA
OG0001319	plut2.m8.18912.m1	Mcavernosa09424-RA
OG0001320	plut2.m8.12491.m1, plut2.m8.12494.m1	Mcavernosa30595-RA, Mcavernosa32555-RA, Mcavernosa03186-RA
OG0001321	plut2.m8.29696.m1	Mcavernosa12898-RA, Mcavernosa12876-RA, Mcavernosa12884-RA
OG0001322	jamg1.model.Sc0000430.2	Mcavernosa28499-RA
OG0001323	jamg1.model.xpSc0007153.3	Mcavernosa33357-RA, Mcavernosa25397-RA
OG0001323	plut2.m8.2684.m1, plut2.m8.25531.m1	Mcavernosa25480-RA
OG0001325	plut2.m8.20123.m1, plut2.m8.6380.m1, plut2.m8.6383.m1, plut2.m8.6381.m1, plut2.m8.6382.m1	Mcavernosa21862-RA
OG0001326	plut2.m8.7944.m1, plut2.m8.7948.m1, plut2.m8.26436.m1, plut2.m8.26763.m1, plut2.m8.26758.m1	Mcavernosa34889-RA, Mcavernosa11506-RA
OG0001328	plut2.m8.21456.m1, plut2.m8.21459.m1	Mcavernosa04107-RA
OG0001329	plut2.m8.21429.m1	Mcavernosa04090-RA
OG0001330	plut2.m8.1272.m1, plut2.m8.1270.m1	Mcavernosa10347-RA, Mcavernosa32966-RA, Mcavernosa10346-RA
OG0001332	plut2.m8.7756.m1	Mcavernosa32412-RA
OG0001335	jamg1.model.Sc0000135.32	Mcavernosa34408-RA
OG0001338	plut2.m8.7859.m1, plut2.m8.7858.m1	Mcavernosa33639-RA
OG0001339	plut2.m8.2974.m1	Mcavernosa01180-RA
OG0001340	jamg1.model.Sc0000551.17	Mcavernosa08265-RA
OG0001340	plut2.m8.3536.m1	Mcavernosa14614-RA
OG0001341	plut2.m8.22245.m1	Mcavernosa11703-RA, Mcavernosa33017-RA
OG0001342	jamg1.model.Sc0000415.20	Mcavernosa01278-RA
OG0001344	plut2.m8.16667.m1, plut2.m8.16671.m1, plut2.m8.16665.m1	Mcavernosa26235-RA
OG0001345	plut2.m8.27360.m1	Mcavernosa10448-RA, Mcavernosa21114-RA
OG0001347	plut2.m8.12237.m1	Mcavernosa31607-RA
OG0001348	plut2.m8.10643.m1	Mcavernosa14582-RA
OG0001348	plut2.m8.10642.m1	Mcavernosa06773-RA
OG0001349	plut2.m8.14656.m1	Mcavernosa16324-RA
OG0001350	plut2.m8.9479.m1, plut2.m8.9478.m1, plut2.m8.9465.m1	Mcavernosa21728-RA, Mcavernosa21726-RA, Mcavernosa21727-RA
OG0001352	plut2.m8.24335.m1	Mcavernosa02284-RA, Mcavernosa02283-RA
OG0001353	plut2.m8.4042.m1	Mcavernosa20230-RA
OG0001354	plut2.m8.14072.m1	Mcavernosa22382-RA
OG0001355	plut2.m8.9968.m1	Mcavernosa05269-RA
OG0001355	plut2.m8.16068.m1	Mcavernosa27887-RA
OG0001357	jamg1.model.xfSc0000247.10	Mcavernosa18409-RA
OG0001357	jamg1.model.xfSc0000217.4, jamg1.model.xfSc0000217.8, jamg1.model.xfSc0000217.7, jamg1.model.xfSc0000217.2, jamg1.model.xfSc0000217.3, jamg1.model.xfSc0000247.8	Mcavernosa20959-RA
OG0001358	plut2.m8.12991.m1	Mcavernosa26655-RA, Mcavernosa26657-RA, Mcavernosa29969-RA
OG0001359	jamg1.model.xfSc0001608.1	Mcavernosa19840-RA
OG0001360	plut2.m8.11185.m1	Mcavernosa16612-RA, Mcavernosa16611-RA, Mcavernosa33082-RA, Mcavernosa35102-RA
OG0001362	plut2.m8.18974.m1, plut2.m8.17592.m1, plut2.m8.33173.m1, plut2.m8.17807.m1, plut2.m8.7214.m1	Mcavernosa09680-RA
OG0001364	plut2.m8.10838.m1	Mcavernosa16391-RA
OG0001365	plut2.m8.15476.m1	Mcavernosa30716-RA, Mcavernosa30717-RA, Mcavernosa30718-RA
OG0001366	plut2.m8.5079.m1	Mcavernosa14869-RA
OG0001366	plut2.m8.5080.m1	Mcavernosa14866-RA
OG0001368	plut2.m8.17253.m1	Mcavernosa25934-RA
OG0001369	plut2.m8.29215.m1	Mcavernosa11237-RA, Mcavernosa27749-RA, Mcavernosa29398-RA
OG0001369	plut2.m8.21524.m1, plut2.m8.25825.m1, plut2.m8.25824.m1, plut2.m8.25823.m1	Mcavernosa11234-RA
OG0001370	plut2.m8.18567.m1	Mcavernosa24251-RA
OG0001371	plut2.m8.16157.m1, plut2.m8.16162.m1, plut2.m8.16158.m1, plut2.m8.16156.m1, jamg1.model.xfSc0000791.1	Mcavernosa10265-RA
OG0001372	plut2.m8.15940.m1	Mcavernosa15133-RA
OG0001372	plut2.m8.15945.m1	Mcavernosa15132-RA, Mcavernosa15131-RA
OG0001373	plut2.m8.4190.m1, plut2.m8.4181.m1	Mcavernosa22613-RA
OG0001374	plut2.m8.873.m1, plut2.m8.872.m1	Mcavernosa01458-RA, Mcavernosa34147-RA
OG0001375	jamg1.model.Sc0000214.30	Mcavernosa17687-RA, Mcavernosa17685-RA, Mcavernosa14078-RA
OG0001376	plut2.m8.15863.m1	Mcavernosa34898-RA
OG0001377	jamg1.model.xpSc0007060.16	Mcavernosa26909-RA
OG0001377	plut2.m8.11372.m1	Mcavernosa34159-RA, Mcavernosa23000-RA, Mcavernosa22465-RA
OG0001379	plut2.m8.26790.m1	Mcavernosa10546-RA, Mcavernosa10547-RA, Mcavernosa33519-RA, Mcavernosa10549-RA, Mcavernosa00250-RA
OG0001380	plut2.m8.6533.m1	Mcavernosa13564-RA
OG0001380	plut2.m8.6534.m1	Mcavernosa13563-RA, Mcavernosa13562-RA
OG0001381	plut2.m8.26802.m1	Mcavernosa10591-RA, Mcavernosa10592-RA, Mcavernosa10611-RA
OG0001382	plut2.m8.32040.m1	Mcavernosa18687-RA, Mcavernosa18685-RA, Mcavernosa18686-RA
OG0001382	plut2.m8.5112.m1, plut2.m8.5231.m1, plut2.m8.1013.m1	Mcavernosa15007-RA
OG0001383	plut2.m8.18464.m1	Mcavernosa01634-RA
OG0001384	plut2.m8.17523.m1	Mcavernosa29850-RA
OG0001384	plut2.m8.17518.m1	Mcavernosa29849-RA
OG0001387	plut2.m8.9417.m1, plut2.m8.9145.m1	Mcavernosa30004-RA, Mcavernosa29866-RA
OG0001388	plut2.m8.10346.m1	Mcavernosa33721-RA, Mcavernosa02959-RA
OG0001389	jamg1.model.Sc0000032.54, plut2.m8.3785.m1	Mcavernosa02248-RA
OG0001389	plut2.m8.26115.m1, plut2.m8.31084.m1, plut2.m8.25173.m1	Mcavernosa21221-RA, Mcavernosa21223-RA
OG0001390	jamg1.model.Sc0000080.28	Mcavernosa08017-RA
OG0001391	plut2.m8.18425.m1	Mcavernosa08093-RA
OG0001391	plut2.m8.18427.m1, plut2.m8.9511.m1	Mcavernosa08092-RA
OG0001392	plut2.m8.18164.m1	Mcavernosa33075-RA
OG0001393	plut2.m8.5380.m1	Mcavernosa18683-RA, Mcavernosa18676-RA, Mcavernosa18669-RA
OG0001393	plut2.m8.5381.m1	Mcavernosa18678-RA
OG0001394	plut2.m8.8781.m1	Mcavernosa08952-RA
OG0001394	plut2.m8.1321.m1	Mcavernosa09924-RA
OG0001396	jamg1.model.Sc0000171.79	Mcavernosa05576-RA
OG0001398	plut2.m8.7461.m1	Mcavernosa00854-RA
OG0001398	plut2.m8.7459.m1	Mcavernosa00856-RA, Mcavernosa00855-RA
OG0001399	plut2.m8.3959.m1, plut2.m8.7184.m1	Mcavernosa34446-RA
OG0001400	plut2.m8.28766.m1	Mcavernosa32273-RA
OG0001400	plut2.m8.28765.m1, plut2.m8.28767.m1	Mcavernosa32267-RA
OG0001401	plut2.m8.933.m1	Mcavernosa31430-RA
OG0001402	plut2.m8.24137.m1, plut2.m8.24135.m1	Mcavernosa19658-RA, Mcavernosa19661-RA
OG0001403	plut2.m8.16534.m1	Mcavernosa12726-RA
OG0001404	plut2.m8.15242.m1	Mcavernosa02879-RA, Mcavernosa02872-RA
OG0001404	plut2.m8.15241.m1	Mcavernosa02874-RA, Mcavernosa02876-RA
OG0001405	plut2.m8.20113.m1, plut2.m8.20117.m1	Mcavernosa22147-RA, Mcavernosa22146-RA, Mcavernosa22148-RA
OG0001406	plut2.m8.23504.m1	Mcavernosa17710-RA, Mcavernosa17714-RA
OG0001407	plut2.m8.2904.m1	Mcavernosa31829-RA
OG0001409	plut2.m8.23072.m1	Mcavernosa17268-RA, Mcavernosa17267-RA
OG0001410	plut2.m8.11882.m1	Mcavernosa23704-RA
OG0001411	plut2.m8.28555.m1	Mcavernosa17372-RA, Mcavernosa17370-RA
OG0001411	plut2.m8.28562.m1, plut2.m8.28558.m1	Mcavernosa17373-RA
OG0001412	plut2.m8.6626.m1	Mcavernosa34868-RA
OG0001412	plut2.m8.6619.m1, plut2.m8.6620.m1, plut2.m8.6624.m1	Mcavernosa15876-RA
OG0001413	jamg1.model.xpSc0007450.2	Mcavernosa33545-RA, Mcavernosa33546-RA, Mcavernosa06589-RA, Mcavernosa29105-RA, Mcavernosa23662-RA
OG0001414	plut2.m8.1500.m1	Mcavernosa27133-RA, Mcavernosa02223-RA, Mcavernosa27134-RA, Mcavernosa34848-RA, Mcavernosa34849-RA
OG0001415	plut2.m8.1505.m1, plut2.m8.1503.m1, plut2.m8.1502.m1	Mcavernosa02225-RA
OG0001416	plut2.m8.16474.m1	Mcavernosa29648-RA, Mcavernosa17883-RA
OG0001417	plut2.m8.21394.m1, plut2.m8.21379.m1, plut2.m8.21373.m1, plut2.m8.21377.m1, plut2.m8.21397.m1	Mcavernosa30245-RA, Mcavernosa26963-RA, Mcavernosa15111-RA
OG0001418	plut2.m8.1976.m1	Mcavernosa09259-RA
OG0001419	plut2.m8.32082.m1, plut2.m8.31915.m1, jamg1.model.Sc0000050.58	Mcavernosa25863-RA
OG0001420	plut2.m8.2114.m1	Mcavernosa13064-RA
OG0001420	plut2.m8.2117.m1	Mcavernosa13065-RA
OG0001421	plut2.m8.7327.m1	Mcavernosa23102-RA
OG0001422	plut2.m8.27.m1	Mcavernosa09120-RA
OG0001422	plut2.m8.38.m1	Mcavernosa09117-RA
OG0001425	jamg1.model.Sc0000470.27	Mcavernosa08328-RA
OG0001425	plut2.m8.22438.m1	Mcavernosa22112-RA
OG0001426	jamg1.model.Sc0000175.44	Mcavernosa02247-RA
OG0001427	plut2.m8.13157.m1	Mcavernosa02238-RA
OG0001428	plut2.m8.12430.m1	Mcavernosa16932-RA
OG0001428	plut2.m8.1275.m1	Mcavernosa07109-RA
OG0001429	plut2.m8.30171.m1	Mcavernosa25648-RA, Mcavernosa25649-RA
OG0001430	plut2.m8.7248.m1	Mcavernosa28544-RA
OG0001430	plut2.m8.3326.m1, plut2.m8.3322.m1	Mcavernosa03710-RA
OG0001430	plut2.m8.3314.m1	Mcavernosa24652-RA, Mcavernosa24654-RA, Mcavernosa08410-RA
OG0001431	plut2.m8.16838.m1, plut2.m8.16832.m1	Mcavernosa13145-RA, Mcavernosa34973-RA, Mcavernosa34968-RA
