Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-total_sequences	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-percent_gc
18_T33_Of_VLL	62.999110258	50.0	7191417.0	36.3636363636	40.0
19_T33_Ac_WK	40.3503988509	50.0	19665420.0	9.09090909091	42.0
20_T12_Mc_PWC	51.7487751288	50.0	18018163.0	18.1818181818	43.0
21_T33_Mc_EOU	43.1557432298	50.0	15475674.0	9.09090909091	46.0
24_T12_Ac_FM	46.0766182092	50.0	13786799.0	9.09090909091	41.0
26_T12_Of_WCL	52.0371451377	50.0	13436090.0	18.1818181818	41.0
29_T23_Mc_PND	47.2115293951	50.0	15499497.0	18.1818181818	43.0
30_T23_Of_RPG	37.4313661231	50.0	8218881.0	18.1818181818	41.0
31_T22_Ac_UV	42.01584594	50.0	13317263.0	18.1818181818	43.0
32_T22_Of_EVR	42.4691702785	50.0	12667861.0	18.1818181818	41.0
33_T43_Mc_RFV	44.8243766969	50.0	18085652.0	18.1818181818	43.0
34_T22_Mc_SVS	43.5939797101	50.0	12609087.0	18.1818181818	44.0
35_T43_Ac_MT	53.5630397527	50.0	23846590.0	18.1818181818	42.0
36_T43_Of_JJN	47.1333827743	50.0	13551094.0	27.2727272727	42.0
37_T13_Ac_ML	48.445211035	50.0	14171723.0	9.09090909091	42.0
38_T23_Ac_IN	50.8487454014	50.0	21348241.0	18.1818181818	45.0
39_T13_Mc_FJE	41.9422114681	50.0	16994083.0	9.09090909091	45.0
40_T13_Of_GWS	46.5948395294	50.0	14510120.0	9.09090909091	41.0
47_T31_Ac_JB	49.9275524802	50.0	14229140.0	9.09090909091	43.0
48_T31_Of_JNO	54.9996912877	50.0	12280565.0	18.1818181818	41.0
49_T31_Mc_SWQ	44.4744081644	50.0	14934691.0	27.2727272727	41.0
50_T21_Of_YZB	42.2397988033	50.0	15084847.0	18.1818181818	42.0
51_T42_Of_UOF	45.5342813526	50.0	14442222.0	18.1818181818	41.0
52_T11_Ac_II	48.5231192359	50.0	17303453.0	18.1818181818	42.0
53_T21_Ac_NH	39.4240287755	50.0	10306635.0	18.1818181818	44.0
54_T42_Ac_JQ	50.3337119529	50.0	23542186.0	27.2727272727	43.0
55_T32_Mc_TWP	43.4480239373	50.0	19313398.0	18.1818181818	43.0
56_T42_Mc_JAW	38.1980247914	50.0	11743795.0	18.1818181818	43.0
57_T32_Ac_NM	39.1406540516	50.0	11679142.0	18.1818181818	44.0
58_T21_Mc_EAH	42.9506484302	50.0	20792838.0	18.1818181818	45.0
59_T11_Of_TQP	48.5884910301	50.0	19297200.0	18.1818181818	41.0
60_T32_Of_WXY	45.5132751102	50.0	19349770.0	18.1818181818	41.0
61_T11_Mc_RAP	41.1827631636	50.0	16873902.0	18.1818181818	45.0
