"","gene_id","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Treatment_Compare","X1_2","X2_2","X4_2","X11_2","X28_2","X35_2","X36_2","X38_2","X39_2","X41_2","X42_2","X47_2","length"
"28","LOC113667052","GO:0030117",0.04510502683411,0.995614112272304,2,14,"membrane coat","CC",164.780664565856,-1.08461981322645,0.31377578934187,-3.45667145161642,0.00054689118335113,0.0227395054795188,"CvsHigh",165,82,167,101,92,190,181,292,264,193,225,85,16654
"60","LOC113674953","GO:0015934",0.0137822632382309,0.999357431981266,2,8,"large ribosomal subunit","CC",4901.67879017141,1.54869702145482,0.473215480970311,3.27270996772818,0.00106521721276379,0.0481993383265604,"CvsMid",1821,3155,11928,16941,1464,2042,5013,1696,12722,12421,1838,3051,2482
"63","LOC113676193","GO:0030117",0.04510502683411,0.995614112272304,2,14,"membrane coat","CC",273.841516449479,4.52544108400174,0.743893200875664,6.0834553651985,1.17619672707924e-09,3.32359589451819e-07,"CvsHigh",41,0,2019,1323,23,44,44,33,1392,245,27,25,4696
"64","LOC113676193","GO:0030117",0.04510502683411,0.995614112272304,2,14,"membrane coat","CC",273.841516449479,4.33831378245474,0.742183828458516,5.84533590750048,5.05547068986914e-09,1.42853157493731e-06,"CvsMid",41,0,2019,1323,23,44,44,33,1392,245,27,25,4696
"80","LOC113682120","GO:0015934",0.0137822632382309,0.999357431981266,2,8,"large ribosomal subunit","CC",9238.70094731078,1.13998411998198,0.351847465512594,3.23999525851687,0.00119531687204011,0.0402685095140324,"CvsHigh",6228,1335,18398,22895,8532,4876,7997,4825,20289,20102,8295,8345,3376
"27","LOC113667052","GO:0030121",0.0249708294555116,1,1,1,"AP-1 adaptor complex","CC",164.780664565856,-1.08461981322645,0.31377578934187,-3.45667145161642,0.00054689118335113,0.0227395054795188,"CvsHigh",165,82,167,101,92,190,181,292,264,193,225,85,16654
"29","LOC113667989","GO:0031464",0.023837728741634,1,1,1,"Cul4A-RING E3 ubiquitin ligase complex","CC",312.693423010089,3.41945827329742,0.755629323680201,4.52531177144286,6.03065354951193e-06,0.000668003432372337,"CvsMid",53,7,803,966,19,729,94,352,972,1236,55,44,10259
"61","LOC113675081","GO:0090730",0.0233770076472829,1,1,1,"Las1 complex","CC",75.237795233792,0.834162047636427,0.222790447759669,3.7441553532684,0.000181001640120936,0.0118774820337179,"CvsMid",48,27,147,210,39,57,61,49,181,196,69,36,2320
"62","LOC113675081","GO:0090730",0.0233770076472829,1,1,1,"Las1 complex","CC",75.237795233792,0.875334891346955,0.223003113855893,3.92521376142131,8.66527543557796e-05,0.00506242209624525,"CvsHigh",48,27,147,210,39,57,61,49,181,196,69,36,2320
