Orthogroup	Acerv_assembly_v1.0.protein	Montipora_capitata_HIv2.genes.pep
OG0000003	Acerv_evm.model.Segkk2039_pilon.1, Acerv_evm.model.Segkk2039_pilon.3, Acerv_evm.model.Segkk2733_pilon.8, Acerv_evm.model.Segkk3789_pilon.4, Acerv_evm.model.Segkk2733_pilon.2, Acerv_evm.model.Segkk2574_pilon.10, Acerv_evm.model.Segkk1120_pilon.1, Acerv_evm.model.Segkk2124_pilon.3, Acerv_evm.model.Segkk4247_pilon.2, Acerv_evm.model.Segkk2574_pilon.6, Acerv_evm.model.Segkk2732_pilon.3, Acerv_evm.model.Segkk3076_pilon.4, Acerv_evm.model.Segkk1498_pilon.3, Acerv_evm.model.Segkk3789_pilon.1, Acerv_evm.model.Segkk1529_pilon.1	Montipora_capitata_PredGene_adi2mcaRNA33323_R3.t1
OG0000003	Acerv_evm.model.Segkk2904_pilon.5, Acerv_evm.model.Segkk2732_pilon.1, Acerv_evm.model.Segkk91_pilon.1, Acerv_evm.model.Segkk3493_pilon.6, Acerv_evm.model.Segkk3130_pilon.2	Montipora_capitata_PredGene_adi2mcaRNA20009_R7.t1
OG0000004	Acerv_evm.model.Segkk4020_pilon.2	Montipora_capitata_PredGene_g60287.t1
OG0000004	Acerv_evm.model.Segkk459_pilon.2	Montipora_capitata_PredGene_g69476.t1, Montipora_capitata_PredGene_g69487.t1, Montipora_capitata_PredGene_g69480.t1, Montipora_capitata_PredGene_g21504.t1, Montipora_capitata_PredGene_g19991.t1, Montipora_capitata_PredGene_g67562.t1, Montipora_capitata_PredGene_g69485.t1, Montipora_capitata_PredGene_g69473.t1, Montipora_capitata_PredGene_g11896.t1, Montipora_capitata_PredGene_g47038.t1, Montipora_capitata_PredGene_g18963.t1, Montipora_capitata_PredGene_g42834.t1
OG0000004	Acerv_evm.model.Segkk308_pilon.1, Acerv_evm.model.Segkk1424_pilon.1, Acerv_evm.model.Segkk4251_pilon.1, Acerv_evm.model.Segkk4148_pilon.1, Acerv_evm.model.Segkk1424_pilon.3	Montipora_capitata_PredGene_g27504.t1, Montipora_capitata_PredGene_adi2mcaRNA4537_R1.t1, Montipora_capitata_PredGene_g19989.t1, Montipora_capitata_PredGene_g60290.t1, Montipora_capitata_PredGene_g60300.t1
OG0000004	Acerv_evm.model.Segkk1976_pilon.9	Montipora_capitata_PredGene_g50762.t1, Montipora_capitata_PredGene_g47695.t1, Montipora_capitata_PredGene_g48772.t1, Montipora_capitata_PredGene_g4542.t1, Montipora_capitata_PredGene_g71559.t1, Montipora_capitata_PredGene_g71556.t1, Montipora_capitata_PredGene_g4544.t1, Montipora_capitata_PredGene_g71554.t1
OG0000005	Acerv_evm.model.Segkk1774_pilon.2, Acerv_evm.model.Segkk2122_pilon.9	Montipora_capitata_PredGene_g3126.t1, Montipora_capitata_PredGene_g46526.t1
OG0000005	Acerv_evm.model.Segkk1442_pilon.2	Montipora_capitata_PredGene_g46525.t1
OG0000005	Acerv_evm.model.Segkk1442_pilon.1	Montipora_capitata_PredGene_g70755.t1
OG0000006	Acerv_evm.model.Segkk3933_pilon.14, Acerv_evm.model.Segkk2361_pilon.3, Acerv_evm.model.Segkk2361_pilon.1, Acerv_evm.model.Segkk2361_pilon.7, Acerv_evm.model.Segkk2361_pilon.5, Acerv_evm.model.Segkk3061_pilon.5, Acerv_evm.model.Segkk3213_pilon.12, Acerv_evm.model.Segkk896_pilon.2, Acerv_evm.model.Segkk895_pilon.9, Acerv_evm.model.Segkk601_pilon.11, Acerv_evm.model.Segkk4332_pilon.13, Acerv_evm.model.Segkk3213_pilon.18, Acerv_evm.model.Segkk1983_pilon.2, Acerv_evm.model.Segkk374_pilon.11, Acerv_evm.model.Segkk64_pilon.1, Acerv_evm.model.Segkk643_pilon.10, Acerv_evm.model.Segkk4088_pilon.4, Acerv_evm.model.Segkk1983_pilon.3, Acerv_evm.model.Segkk220_pilon.1, Acerv_evm.model.Segkk3417_pilon.10, Acerv_evm.model.Segkk719_pilon.3, Acerv_evm.model.Segkk643_pilon.15	Montipora_capitata_PredGene_g57576.t1
