Orthogroup	Acerv_assembly_v1.0.protein	Montipora_capitata_HIv2.genes.pep
OG0000101	Acerv_evm.model.Segkk2725_pilon.2	Montipora_capitata_PredGene_g40373.t1
OG0000101	Acerv_evm.model.Segkk4046_pilon.9, Acerv_evm.model.Segkk397_pilon.8, Acerv_evm.model.Segkk4289_pilon.18, Acerv_evm.model.Segkk575_pilon.4	Montipora_capitata_PredGene_g47943.t1
OG0000101	Acerv_evm.model.Segkk1887_pilon.38, Acerv_evm.model.Segkk463_pilon.18	Montipora_capitata_PredGene_g67033.t1
OG0000101	Acerv_evm.model.Segkk3976_pilon.42	Montipora_capitata_PredGene_adi2mcaRNA6865_R1.t1
OG0000101	Acerv_evm.model.Segkk1732_pilon.35	Montipora_capitata_PredGene_adi2mcaRNA18100_R9.t1, Montipora_capitata_PredGene_g61090.t1
OG0000101	Acerv_evm.model.Segkk474_pilon.3, Acerv_evm.model.Segkk1050_pilon.7	Montipora_capitata_PredGene_adi2mcaRNA25527_R6.t1, Montipora_capitata_PredGene_adi2mcaRNA25527_R7.t1
OG0000101	Acerv_evm.model.Segkk2557_pilon.2	Montipora_capitata_PredGene_adi2mcaRNA25527_R3.t1, Montipora_capitata_PredGene_g7732.t1, Montipora_capitata_PredGene_adi2mcaRNA25527_R0.t1, Montipora_capitata_PredGene_adi2mcaRNA25527_R2.t1, Montipora_capitata_PredGene_g64386.t1, Montipora_capitata_PredGene_adi2mcaRNA25527_R5.t1, Montipora_capitata_PredGene_g64374.t1
OG0000102	Acerv_evm.model.Segkk587_pilon.10, Acerv_evm.model.Segkk2407_pilon.2, Acerv_evm.model.Segkk2407_pilon.1	Montipora_capitata_PredGene_g49581.t1, Montipora_capitata_PredGene_g3158.t1
OG0000102	Acerv_evm.model.Segkk1427_pilon.1, Acerv_evm.model.Segkk357_pilon.5	Montipora_capitata_PredGene_g12688.t1
OG0000102	Acerv_evm.model.Segkk4368_pilon.9	Montipora_capitata_PredGene_g8215.t1
OG0000102	Acerv_evm.model.Segkk2027_pilon.2, Acerv_evm.model.Segkk4308_pilon.1, Acerv_evm.model.Segkk4125_pilon.1	Montipora_capitata_PredGene_g10652.t1
OG0000102	Acerv_evm.model.Segkk1765_pilon.13, Acerv_evm.model.Segkk979_pilon.8, Acerv_evm.model.Segkk182_pilon.7, Acerv_evm.model.Segkk1823_pilon.3, Acerv_evm.model.Segkk4338_pilon.33, Acerv_evm.model.Segkk3856_pilon.3, Acerv_evm.model.Segkk1427_pilon.2, Acerv_evm.model.Segkk3233_pilon.11, Acerv_evm.model.Segkk1800_pilon.22, Acerv_evm.model.Segkk1288_pilon.83, Acerv_evm.model.Segkk357_pilon.3, Acerv_evm.model.Segkk4125_pilon.2, Acerv_evm.model.Segkk3773_pilon.12, Acerv_evm.model.Segkk1222_pilon.14, Acerv_evm.model.Segkk3407_pilon.3	Montipora_capitata_PredGene_g10653.t1, Montipora_capitata_PredGene_g15823.t1
OG0000102	Acerv_evm.model.Segkk587_pilon.11	Montipora_capitata_PredGene_g2571.t1, Montipora_capitata_PredGene_adi2mcaRNA19549_R9.t1
OG0000102	Acerv_evm.model.Segkk1427_pilon.3, Acerv_evm.model.Segkk357_pilon.4	Montipora_capitata_PredGene_g43759.t1
OG0000102	Acerv_evm.model.Segkk2945_pilon.1	Montipora_capitata_PredGene_g55267.t1, Montipora_capitata_PredGene_g30710.t1
OG0000102	Acerv_evm.model.Segkk2512_pilon.2	Montipora_capitata_PredGene_g7233.t1
OG0000103	Acerv_evm.model.Segkk1158_pilon.46, Acerv_evm.model.Segkk2630_pilon.2, Acerv_evm.model.Segkk969_pilon.4	Montipora_capitata_PredGene_g30774.t1, Montipora_capitata_PredGene_adi2mcaRNA1705_R0.t1
OG0000103	Acerv_evm.model.Segkk2507_pilon.7	Montipora_capitata_PredGene_g41176.t1, Montipora_capitata_PredGene_g41177.t1, Montipora_capitata_PredGene_g12384.t1, Montipora_capitata_PredGene_g33156.t1, Montipora_capitata_PredGene_g41167.t1
OG0000103	Acerv_evm.model.Segkk230_pilon.21, Acerv_evm.model.Segkk3706_pilon.1, Acerv_evm.model.Segkk3706_pilon.3, Acerv_evm.model.Segkk3706_pilon.6, Acerv_evm.model.Segkk3706_pilon.11, Acerv_evm.model.Segkk981_pilon.8, Acerv_evm.model.Segkk1514_pilon.2, Acerv_evm.model.Segkk3153_pilon.4	Montipora_capitata_PredGene_g57941.t1
OG0000103	Acerv_evm.model.Segkk718_pilon.5	Montipora_capitata_PredGene_g3791.t1
OG0000104	Acerv_evm.model.Segkk3983_pilon.15, Acerv_evm.model.Segkk2164_pilon.43	Montipora_capitata_PredGene_g10285.t1
OG0000104	Acerv_evm.model.Segkk2062_pilon.5, Acerv_evm.model.Segkk1821_pilon.24, Acerv_evm.model.Segkk2225_pilon.8	Montipora_capitata_PredGene_g57990.t1
OG0000104	Acerv_evm.model.Segkk2781_pilon.14, Acerv_evm.model.Segkk1288_pilon.80, Acerv_evm.model.Segkk3388_pilon.3	Montipora_capitata_PredGene_g67084.t1, Montipora_capitata_PredGene_g25573.t1, Montipora_capitata_PredGene_g67019.t1, Montipora_capitata_PredGene_g55860.t1, Montipora_capitata_PredGene_g24571.t1, Montipora_capitata_PredGene_g38878.t1
OG0000104	Acerv_evm.model.Segkk389_pilon.57	Montipora_capitata_PredGene_g31263.t1
OG0000105	Acerv_evm.model.Segkk3505_pilon.6	Montipora_capitata_PredGene_g70055.t1, Montipora_capitata_PredGene_g5239.t1, Montipora_capitata_PredGene_g20717.t1, Montipora_capitata_PredGene_g32578.t1, Montipora_capitata_PredGene_g29457.t1, Montipora_capitata_PredGene_g24910.t1, Montipora_capitata_PredGene_g23260.t1, Montipora_capitata_PredGene_g2133.t1, Montipora_capitata_PredGene_adi2mcaRNA29766_R4.t1, Montipora_capitata_PredGene_adi2mcaRNA29766_R1.t1, Montipora_capitata_PredGene_g6747.t1, Montipora_capitata_PredGene_g41877.t1, Montipora_capitata_PredGene_g33347.t1, Montipora_capitata_PredGene_g47860.t1, Montipora_capitata_PredGene_g43145.t1, Montipora_capitata_PredGene_g62291.t1, Montipora_capitata_PredGene_g66506.t1, Montipora_capitata_PredGene_adi2mcaRNA2070_R4.t1, Montipora_capitata_PredGene_g25142.t1, Montipora_capitata_PredGene_g39240.t1, Montipora_capitata_PredGene_adi2mcaRNA40974_R4.t1, Montipora_capitata_PredGene_adi2mcaRNA9659_R9.t1, Montipora_capitata_PredGene_adi2mcaRNA16404_R0.t1
OG0000106	Acerv_evm.model.Segkk3093_pilon.4	Montipora_capitata_PredGene_g50953.t1
OG0000106	Acerv_evm.model.Segkk2261_pilon.10, Acerv_evm.model.Segkk117_pilon.8	Montipora_capitata_PredGene_g19421.t1, Montipora_capitata_PredGene_g23358.t1, Montipora_capitata_PredGene_g57869.t1, Montipora_capitata_PredGene_g9367.t1, Montipora_capitata_PredGene_g38278.t1
OG0000106	Acerv_evm.model.Segkk1630_pilon.6, Acerv_evm.model.Segkk2878_pilon.2, Acerv_evm.model.Segkk364_pilon.8, Acerv_evm.model.Segkk1732_pilon.69	Montipora_capitata_PredGene_g32819.t1, Montipora_capitata_PredGene_g44690.t1
OG0000106	Acerv_evm.model.Segkk4117_pilon.12, Acerv_evm.model.Segkk2015_pilon.4	Montipora_capitata_PredGene_g25901.t1, Montipora_capitata_PredGene_g49099.t1, Montipora_capitata_PredGene_g40299.t1, Montipora_capitata_PredGene_g70464.t1, Montipora_capitata_PredGene_g19422.t1, Montipora_capitata_PredGene_g9368.t1
OG0000106	Acerv_evm.model.Segkk117_pilon.7	Montipora_capitata_PredGene_g50954.t1
OG0000106	Acerv_evm.model.Segkk792_pilon.1	Montipora_capitata_PredGene_g32626.t1, Montipora_capitata_PredGene_g32614.t1
OG0000106	Acerv_evm.model.Segkk1732_pilon.4, Acerv_evm.model.Segkk2261_pilon.8, Acerv_evm.model.Segkk1842_pilon.5	Montipora_capitata_PredGene_g34032.t1, Montipora_capitata_PredGene_g62096.t1, Montipora_capitata_PredGene_g49100.t1, Montipora_capitata_PredGene_g71089.t1
OG0000107	Acerv_evm.model.Segkk2971_pilon.7, Acerv_evm.model.Segkk1450_pilon.1, Acerv_evm.model.Segkk2016_pilon.5, Acerv_evm.model.Segkk3040_pilon.2, Acerv_evm.model.Segkk3305_pilon.4, Acerv_evm.model.Segkk4113_pilon.7, Acerv_evm.model.Segkk2151_pilon.16	Montipora_capitata_PredGene_adi2mcaRNA35417_R0.t1, Montipora_capitata_PredGene_adi2mcaRNA35417_R6.t1, Montipora_capitata_PredGene_g41589.t1
OG0000107	Acerv_evm.model.Segkk275_pilon.8	Montipora_capitata_PredGene_adi2mcaRNA29054_R0.t1
OG0000107	Acerv_evm.model.Segkk2256_pilon.1, Acerv_evm.model.Segkk1158_pilon.60, Acerv_evm.model.Segkk3563_pilon.5, Acerv_evm.model.Segkk4255_pilon.5, Acerv_evm.model.Segkk644_pilon.6, Acerv_evm.model.Segkk649_pilon.11, Acerv_evm.model.Segkk2818_pilon.9, Acerv_evm.model.Segkk2324_pilon.1, Acerv_evm.model.Segkk1599_pilon.11, Acerv_evm.model.Segkk2777_pilon.2, Acerv_evm.model.Segkk2755_pilon.1, Acerv_evm.model.Segkk1394_pilon.20, Acerv_evm.model.Segkk2547_pilon.3, Acerv_evm.model.Segkk1868_pilon.66, Acerv_evm.model.Segkk524_pilon.53, Acerv_evm.model.Segkk765_pilon.1, Acerv_evm.model.Segkk2722_pilon.38, Acerv_evm.model.Segkk1158_pilon.8, Acerv_evm.model.Segkk2060_pilon.27, Acerv_evm.model.Segkk2334_pilon.11, Acerv_evm.model.Segkk2622_pilon.1, Acerv_evm.model.Segkk1266_pilon.7, Acerv_evm.model.Segkk1868_pilon.23, Acerv_evm.model.Segkk816_pilon.2, Acerv_evm.model.Segkk850_pilon.2, Acerv_evm.model.Segkk4359_pilon.22, Acerv_evm.model.Segkk2199_pilon.12	Montipora_capitata_PredGene_g41586.t1
OG0000107	Acerv_evm.model.Segkk654_pilon.1	Montipora_capitata_PredGene_g18953.t1, Montipora_capitata_PredGene_adi2mcaRNA8872_R0.t1, Montipora_capitata_PredGene_g41552.t1, Montipora_capitata_PredGene_adi2mcaRNA8872_R1.t1, Montipora_capitata_PredGene_g41621.t1, Montipora_capitata_PredGene_g41567.t1, Montipora_capitata_PredGene_g41577.t1, Montipora_capitata_PredGene_g8318.t1, Montipora_capitata_PredGene_g41570.t1, Montipora_capitata_PredGene_g41591.t1, Montipora_capitata_PredGene_g17530.t1, Montipora_capitata_PredGene_g21175.t1, Montipora_capitata_PredGene_g21167.t1, Montipora_capitata_PredGene_g41566.t1
OG0000108	Acerv_evm.model.Segkk4327_pilon.5	Montipora_capitata_PredGene_g24559.t1, Montipora_capitata_PredGene_g63727.t1
OG0000108	Acerv_evm.model.Segkk1756_pilon.2, Acerv_evm.model.Segkk3400_pilon.4	Montipora_capitata_PredGene_g47851.t1
OG0000108	Acerv_evm.model.Segkk1158_pilon.23	Montipora_capitata_PredGene_adi2mcaRNA9648_R7.t1
OG0000108	Acerv_evm.model.Segkk1288_pilon.21, Acerv_evm.model.Segkk2111_pilon.11, Acerv_evm.model.Segkk2782_pilon.43	Montipora_capitata_PredGene_adi2mcaRNA14707_R3.t1, Montipora_capitata_PredGene_adi2mcaRNA14707_R2.t1
OG0000108	Acerv_evm.model.Segkk1828_pilon.3, Acerv_evm.model.Segkk1414_pilon.1	Montipora_capitata_PredGene_g71480.t1, Montipora_capitata_PredGene_g23647.t1, Montipora_capitata_PredGene_g24865.t1, Montipora_capitata_PredGene_g62639.t1
OG0000108	Acerv_evm.model.Segkk4043_pilon.15	Montipora_capitata_PredGene_adi2mcaRNA39054_R0.t1, Montipora_capitata_PredGene_g70406.t1
OG0000108	Acerv_evm.model.Segkk3935_pilon.17, Acerv_evm.model.Segkk649_pilon.13	Montipora_capitata_PredGene_adi2mcaRNA5730_R1.t1, Montipora_capitata_PredGene_adi2mcaRNA5730_R0.t1
OG0000108	Acerv_evm.model.Segkk301_pilon.30	Montipora_capitata_PredGene_adi2mcaRNA611_R8.t1
OG0000109	Acerv_evm.model.Segkk360_pilon.9	Montipora_capitata_PredGene_adi2mcaRNA4648_R1.t1, Montipora_capitata_PredGene_adi2mcaRNA4648_R7.t1, Montipora_capitata_PredGene_g48726.t1
OG0000109	Acerv_evm.model.Segkk2504_pilon.2	Montipora_capitata_PredGene_g69906.t1, Montipora_capitata_PredGene_g891.t1, Montipora_capitata_PredGene_g59826.t1, Montipora_capitata_PredGene_g11924.t1, Montipora_capitata_PredGene_g52598.t1, Montipora_capitata_PredGene_g57466.t1, Montipora_capitata_PredGene_g33091.t1, Montipora_capitata_PredGene_g57570.t1, Montipora_capitata_PredGene_g38135.t1, Montipora_capitata_PredGene_g68568.t1, Montipora_capitata_PredGene_g33043.t1, Montipora_capitata_PredGene_g30869.t1, Montipora_capitata_PredGene_g38712.t1, Montipora_capitata_PredGene_g7661.t1, Montipora_capitata_PredGene_g6653.t1, Montipora_capitata_PredGene_g12872.t1, Montipora_capitata_PredGene_g42160.t1, Montipora_capitata_PredGene_g60477.t1, Montipora_capitata_PredGene_g36560.t1
OG0000109	Acerv_evm.model.Segkk2060_pilon.7	Montipora_capitata_PredGene_g22650.t1, Montipora_capitata_PredGene_g59864.t1, Montipora_capitata_PredGene_g54851.t1, Montipora_capitata_PredGene_g59867.t1, Montipora_capitata_PredGene_g38134.t1, Montipora_capitata_PredGene_g38748.t1, Montipora_capitata_PredGene_g14071.t1
OG0000110	Acerv_evm.model.Segkk684_pilon.9	Montipora_capitata_PredGene_g58974.t1, Montipora_capitata_PredGene_g1806.t1, Montipora_capitata_PredGene_g57972.t1
OG0000110	Acerv_evm.model.Segkk374_pilon.14	Montipora_capitata_PredGene_g25718.t1
OG0000110	Acerv_evm.model.Segkk3155_pilon.5, Acerv_evm.model.Segkk3751_pilon.4, Acerv_evm.model.Segkk2615_pilon.1	Montipora_capitata_PredGene_g47763.t1
OG0000110	Acerv_evm.model.Segkk3155_pilon.3	Montipora_capitata_PredGene_g30316.t1, Montipora_capitata_PredGene_g29938.t1
OG0000110	Acerv_evm.model.Segkk684_pilon.10	Montipora_capitata_PredGene_g12551.t1, Montipora_capitata_PredGene_g42858.t1, Montipora_capitata_PredGene_g1807.t1, Montipora_capitata_PredGene_g64361.t1, Montipora_capitata_PredGene_g9987.t1, Montipora_capitata_PredGene_g43772.t1, Montipora_capitata_PredGene_g22577.t1, Montipora_capitata_PredGene_adi2mcaRNA35921_R3.t1, Montipora_capitata_PredGene_adi2mcaRNA35921_R5.t1, Montipora_capitata_PredGene_g55083.t1, Montipora_capitata_PredGene_g58975.t1, Montipora_capitata_PredGene_g47762.t1
OG0000111	Acerv_evm.model.Segkk449_pilon.1, Acerv_evm.model.Segkk449_pilon.2, Acerv_evm.model.Segkk3092_pilon.1, Acerv_evm.model.Segkk1217_pilon.1	Montipora_capitata_PredGene_g33519.t1
OG0000111	Acerv_evm.model.Segkk1011_pilon.47	Montipora_capitata_PredGene_adi2mcaRNA34012_R7.t1, Montipora_capitata_PredGene_adi2mcaRNA34013_R8.t1
OG0000111	Acerv_evm.model.Segkk3904_pilon.17, Acerv_evm.model.Segkk3904_pilon.21	Montipora_capitata_PredGene_adi2mcaRNA37019_R7.t1, Montipora_capitata_PredGene_adi2mcaRNA37019_R0.t1, Montipora_capitata_PredGene_adi2mcaRNA37019_R3.t1
OG0000111	Acerv_evm.model.Segkk3621_pilon.3, Acerv_evm.model.Segkk3621_pilon.2, Acerv_evm.model.Segkk932_pilon.5, Acerv_evm.model.Segkk4354_pilon.6, Acerv_evm.model.Segkk2436_pilon.3, Acerv_evm.model.Segkk4354_pilon.1	Montipora_capitata_PredGene_g13794.t1, Montipora_capitata_PredGene_g13797.t1
OG0000112	Acerv_evm.model.Segkk190_pilon.2	Montipora_capitata_PredGene_g1491.t1
OG0000112	Acerv_evm.model.Segkk338_pilon.12, Acerv_evm.model.Segkk68_pilon.90	Montipora_capitata_PredGene_g33802.t1, Montipora_capitata_PredGene_g19731.t1, Montipora_capitata_PredGene_g16182.t1, Montipora_capitata_PredGene_g33809.t1, Montipora_capitata_PredGene_g33805.t1, Montipora_capitata_PredGene_g16179.t1, Montipora_capitata_PredGene_g33804.t1, Montipora_capitata_PredGene_g17881.t1, Montipora_capitata_PredGene_g19733.t1, Montipora_capitata_PredGene_g33815.t1, Montipora_capitata_PredGene_g33813.t1, Montipora_capitata_PredGene_g33808.t1, Montipora_capitata_PredGene_g4048.t1, Montipora_capitata_PredGene_g17877.t1, Montipora_capitata_PredGene_g54171.t1, Montipora_capitata_PredGene_g19732.t1, Montipora_capitata_PredGene_g4046.t1, Montipora_capitata_PredGene_g54166.t1, Montipora_capitata_PredGene_g16180.t1, Montipora_capitata_PredGene_g33806.t1, Montipora_capitata_PredGene_g33801.t1, Montipora_capitata_PredGene_g16183.t1
OG0000113	Acerv_evm.model.Segkk1752_pilon.1	Montipora_capitata_PredGene_g30887.t1, Montipora_capitata_PredGene_g3826.t1, Montipora_capitata_PredGene_g60630.t1, Montipora_capitata_PredGene_g51242.t1, Montipora_capitata_PredGene_g10439.t1, Montipora_capitata_PredGene_g48050.t1
OG0000113	Acerv_evm.model.Segkk2578_pilon.8, Acerv_evm.model.Segkk3133_pilon.4, Acerv_evm.model.Segkk3641_pilon.18	Montipora_capitata_PredGene_g35854.t1
OG0000113	Acerv_evm.model.Segkk3935_pilon.50	Montipora_capitata_PredGene_g25781.t1
OG0000113	Acerv_evm.model.Segkk2195_pilon.54, Acerv_evm.model.Segkk2151_pilon.11, Acerv_evm.model.Segkk1369_pilon.1, Acerv_evm.model.Segkk1041_pilon.1, Acerv_evm.model.Segkk110_pilon.5	Montipora_capitata_PredGene_adi2mcaRNA37369_R5.t1, Montipora_capitata_PredGene_adi2mcaRNA37369_R4.t1, Montipora_capitata_PredGene_adi2mcaRNA37369_R2.t1
OG0000114	Acerv_evm.model.Segkk2771_pilon.5, Acerv_evm.model.Segkk509_pilon.3, Acerv_evm.model.Segkk1819_pilon.7, Acerv_evm.model.Segkk2306_pilon.13	Montipora_capitata_PredGene_g4039.t1, Montipora_capitata_PredGene_g67591.t1, Montipora_capitata_PredGene_g61724.t1, Montipora_capitata_PredGene_g37659.t1, Montipora_capitata_PredGene_adi2mcaRNA39014_R3.t1, Montipora_capitata_PredGene_g39515.t1
OG0000115	Acerv_evm.model.Segkk269_pilon.7	Montipora_capitata_PredGene_g55743.t1
OG0000115	Acerv_evm.model.Segkk1461_pilon.1, Acerv_evm.model.Segkk2267_pilon.22, Acerv_evm.model.Segkk2267_pilon.6, Acerv_evm.model.Segkk377_pilon.3, Acerv_evm.model.Segkk269_pilon.8, Acerv_evm.model.Segkk269_pilon.9, Acerv_evm.model.Segkk4108_pilon.16	Montipora_capitata_PredGene_g12923.t1, Montipora_capitata_PredGene_g12922.t1
OG0000115	Acerv_evm.model.Segkk269_pilon.6	Montipora_capitata_PredGene_g55744.t1, Montipora_capitata_PredGene_g55741.t1
OG0000116	Acerv_evm.model.Segkk55_pilon.1, Acerv_evm.model.Segkk2532_pilon.1, Acerv_evm.model.Segkk2361_pilon.4, Acerv_evm.model.Segkk164_pilon.1, Acerv_evm.model.Segkk584_pilon.7, Acerv_evm.model.Segkk584_pilon.6, Acerv_evm.model.Segkk2675_pilon.13, Acerv_evm.model.Segkk1128_pilon.7	Montipora_capitata_PredGene_adi2mcaRNA6004_R1.t1, Montipora_capitata_PredGene_g61466.t1
OG0000116	Acerv_evm.model.Segkk276_pilon.1	Montipora_capitata_PredGene_g63088.t1, Montipora_capitata_PredGene_g63083.t1, Montipora_capitata_PredGene_g63086.t1, Montipora_capitata_PredGene_g9662.t1
OG0000117	Acerv_evm.model.Segkk3112_pilon.3	Montipora_capitata_PredGene_g13026.t1
OG0000117	Acerv_evm.model.Segkk223_pilon.3	Montipora_capitata_PredGene_adi2mcaRNA29166_R8.t1
OG0000117	Acerv_evm.model.Segkk3394_pilon.8	Montipora_capitata_PredGene_adi2mcaRNA29166_R2.t1, Montipora_capitata_PredGene_adi2mcaRNA29166_R9.t1
OG0000117	Acerv_evm.model.Segkk553_pilon.21	Montipora_capitata_PredGene_g45729.t1, Montipora_capitata_PredGene_g44076.t1, Montipora_capitata_PredGene_g52850.t1, Montipora_capitata_PredGene_g31160.t1, Montipora_capitata_PredGene_g19744.t1
OG0000117	Acerv_evm.model.Segkk4100_pilon.1	Montipora_capitata_PredGene_g499.t1
OG0000117	Acerv_evm.model.Segkk312_pilon.20	Montipora_capitata_PredGene_g54799.t1, Montipora_capitata_PredGene_g25689.t1
OG0000117	Acerv_evm.model.Segkk3423_pilon.33, Acerv_evm.model.Segkk3423_pilon.30	Montipora_capitata_PredGene_adi2mcaRNA16547_R0.t1, Montipora_capitata_PredGene_g61050.t1, Montipora_capitata_PredGene_g31521.t1, Montipora_capitata_PredGene_adi2mcaRNA16547_R2.t1, Montipora_capitata_PredGene_adi2mcaRNA16547_R5.t1, Montipora_capitata_PredGene_g64394.t1, Montipora_capitata_PredGene_g21799.t1
OG0000118	Acerv_evm.model.Segkk842_pilon.33	Montipora_capitata_PredGene_g58661.t1, Montipora_capitata_PredGene_g26142.t1
OG0000118	Acerv_evm.model.Segkk3057_pilon.34	Montipora_capitata_PredGene_g16365.t1
OG0000118	Acerv_evm.model.Segkk1513_pilon.17	Montipora_capitata_PredGene_adi2mcaRNA17291_R7.t1, Montipora_capitata_PredGene_adi2mcaRNA17291_R9.t1
OG0000119	Acerv_evm.model.Segkk4038_pilon.10, Acerv_evm.model.Segkk155_pilon.8	Montipora_capitata_PredGene_g53350.t1, Montipora_capitata_PredGene_g53347.t1, Montipora_capitata_PredGene_g47897.t1, Montipora_capitata_PredGene_g31523.t1, Montipora_capitata_PredGene_g41531.t1
OG0000119	Acerv_evm.model.Segkk3210_pilon.13, Acerv_evm.model.Segkk1809_pilon.2, Acerv_evm.model.Segkk1985_pilon.1	Montipora_capitata_PredGene_g22083.t1
OG0000119	Acerv_evm.model.Segkk20_pilon.34, Acerv_evm.model.Segkk4_pilon.5	Montipora_capitata_PredGene_g59420.t1
OG0000119	Acerv_evm.model.Segkk3197_pilon.14	Montipora_capitata_PredGene_g42056.t1, Montipora_capitata_PredGene_g26197.t1
OG0000119	Acerv_evm.model.Segkk2841_pilon.7	Montipora_capitata_PredGene_g5659.t1, Montipora_capitata_PredGene_adi2mcaRNA37614_R8.t1, Montipora_capitata_PredGene_g47899.t1, Montipora_capitata_PredGene_g63064.t1, Montipora_capitata_PredGene_g22878.t1, Montipora_capitata_PredGene_g53924.t1, Montipora_capitata_PredGene_g26714.t1, Montipora_capitata_PredGene_g31522.t1, Montipora_capitata_PredGene_adi2mcaRNA36092_R8.t1, Montipora_capitata_PredGene_g22877.t1, Montipora_capitata_PredGene_g43445.t1, Montipora_capitata_PredGene_g38641.t1, Montipora_capitata_PredGene_g42733.t1, Montipora_capitata_PredGene_g21501.t1, Montipora_capitata_PredGene_g260.t1, Montipora_capitata_PredGene_g8771.t1, Montipora_capitata_PredGene_g38642.t1, Montipora_capitata_PredGene_adi2mcaRNA34484_R8.t1, Montipora_capitata_PredGene_g33066.t1, Montipora_capitata_PredGene_g8206.t1, Montipora_capitata_PredGene_g3203.t1, Montipora_capitata_PredGene_adi2mcaRNA22058_R7.t1, Montipora_capitata_PredGene_adi2mcaRNA22058_R8.t1, Montipora_capitata_PredGene_adi2mcaRNA22058_R5.t1
OG0000120	Acerv_evm.model.Segkk2169_pilon.3	Montipora_capitata_PredGene_adi2mcaRNA20063_R6.t1, Montipora_capitata_PredGene_adi2mcaRNA20063_R3.t1, Montipora_capitata_PredGene_g65767.t1, Montipora_capitata_PredGene_g49963.t1, Montipora_capitata_PredGene_g16624.t1
OG0000120	Acerv_evm.model.Segkk4138_pilon.1	Montipora_capitata_PredGene_adi2mcaRNA20063_R2.t1
OG0000120	Acerv_evm.model.Segkk912_pilon.8	Montipora_capitata_PredGene_adi2mcaRNA20063_R9.t1
OG0000120	Acerv_evm.model.Segkk2169_pilon.4	Montipora_capitata_PredGene_g47619.t1
OG0000120	Acerv_evm.model.Segkk37_pilon.10	Montipora_capitata_PredGene_g53625.t1
OG0000120	Acerv_evm.model.Segkk3159_pilon.3	Montipora_capitata_PredGene_g18059.t1
OG0000120	Acerv_evm.model.Segkk2056_pilon.15, Acerv_evm.model.Segkk301_pilon.27	Montipora_capitata_PredGene_adi2mcaRNA31712_R1.t1
OG0000121	Acerv_evm.model.Segkk2611_pilon.5	Montipora_capitata_PredGene_g33122.t1, Montipora_capitata_PredGene_g50966.t1
OG0000121	Acerv_evm.model.Segkk649_pilon.3	Montipora_capitata_PredGene_g3906.t1
OG0000121	Acerv_evm.model.Segkk1828_pilon.2	Montipora_capitata_PredGene_adi2mcaRNA14971_R6.t1
OG0000121	Acerv_evm.model.Segkk1288_pilon.22, Acerv_evm.model.Segkk2782_pilon.42, Acerv_evm.model.Segkk501_pilon.2	Montipora_capitata_PredGene_adi2mcaRNA9646_R8.t1
OG0000121	Acerv_evm.model.Segkk3935_pilon.18, Acerv_evm.model.Segkk649_pilon.14	Montipora_capitata_PredGene_adi2mcaRNA16018_R5.t1
OG0000121	Acerv_evm.model.Segkk1630_pilon.5	Montipora_capitata_PredGene_adi2mcaRNA9646_R6.t1, Montipora_capitata_PredGene_adi2mcaRNA9646_R1.t1, Montipora_capitata_PredGene_adi2mcaRNA9646_R0.t1, Montipora_capitata_PredGene_adi2mcaRNA9646_R5.t1
OG0000121	Acerv_evm.model.Segkk4327_pilon.6, Acerv_evm.model.Segkk1756_pilon.3, Acerv_evm.model.Segkk3400_pilon.3, Acerv_evm.model.Segkk1158_pilon.22	Montipora_capitata_PredGene_g24558.t1, Montipora_capitata_PredGene_g63726.t1
OG0000121	Acerv_evm.model.Segkk501_pilon.1, Acerv_evm.model.Segkk115_pilon.5, Acerv_evm.model.Segkk2111_pilon.12, Acerv_evm.model.Segkk2262_pilon.15	Montipora_capitata_PredGene_g823.t1
OG0000122	Acerv_evm.model.Segkk473_pilon.15, Acerv_evm.model.Segkk1290_pilon.27	Montipora_capitata_PredGene_adi2mcaRNA8479_R1.t1, Montipora_capitata_PredGene_g21939.t1, Montipora_capitata_PredGene_adi2mcaRNA8479_R2.t1
OG0000122	Acerv_evm.model.Segkk1389_pilon.4	Montipora_capitata_PredGene_g4535.t1, Montipora_capitata_PredGene_g47948.t1, Montipora_capitata_PredGene_g266.t1, Montipora_capitata_PredGene_g25599.t1
OG0000122	Acerv_evm.model.Segkk2752_pilon.17, Acerv_evm.model.Segkk1400_pilon.8, Acerv_evm.model.Segkk1389_pilon.5	Montipora_capitata_PredGene_adi2mcaRNA17251_R2.t1, Montipora_capitata_PredGene_adi2mcaRNA17251_R1.t1, Montipora_capitata_PredGene_adi2mcaRNA36099_R6.t1, Montipora_capitata_PredGene_g51786.t1, Montipora_capitata_PredGene_adi2mcaRNA36099_R8.t1, Montipora_capitata_PredGene_g10097.t1, Montipora_capitata_PredGene_g10099.t1, Montipora_capitata_PredGene_g31594.t1, Montipora_capitata_PredGene_g42930.t1, Montipora_capitata_PredGene_g12484.t1, Montipora_capitata_PredGene_g64532.t1, Montipora_capitata_PredGene_g1423.t1, Montipora_capitata_PredGene_g26487.t1, Montipora_capitata_PredGene_g30899.t1, Montipora_capitata_PredGene_g26093.t1, Montipora_capitata_PredGene_g62059.t1, Montipora_capitata_PredGene_g10098.t1, Montipora_capitata_PredGene_g69728.t1
OG0000123	Acerv_evm.model.Segkk2578_pilon.13	Montipora_capitata_PredGene_g31391.t1
