"","17_ctl2_Of_ZTH_1","18_T33_Of_VLL","26_T12_Of_WCL","30_T23_Of_RPG","32_T22_Of_EVR","36_T43_Of_JJN","40_T13_Of_GWS","43_ctl3_Of_JVP_1","44_T41_Of_PVT_1","48_T31_Of_JNO","50_T21_Of_YZB","51_T42_Of_UOF","59_T11_Of_TQP","60_T32_Of_WY"
"LOC110047253",8,24,4,21,36,14,6,6,5,183,70,23,9,9
"LOC110058904",2,10,66,39,34,28,39,0,12,27,20,30,47,41
"LOC110044078",128,168,771,334,621,381,954,255,347,633,380,1073,517,1238
"LOC110045321",245,73,158,100,139,223,204,217,328,220,172,268,345,457
"LOC110059125",293,467,237,183,120,184,190,103,219,360,276,144,243,221
"LOC110040594",44,21,35,31,35,32,36,47,57,76,27,38,37,51
"LOC110061051",622,311,842,434,691,544,645,683,600,747,492,559,928,936
"LOC110047898",0,22,44,22,22,46,32,0,88,40,51,59,70,55
