"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Treatment_Compare","17_ctl2_Of_ZTH_1","18_T33_Of_VLL","26_T12_Of_WCL","30_T23_Of_RPG","32_T22_Of_EVR","36_T43_Of_JJN","40_T13_Of_GWS","43_ctl3_Of_JVP_1","44_T41_Of_PVT_1","48_T31_Of_JNO","50_T21_Of_YZB","51_T42_Of_UOF","59_T11_Of_TQP","60_T32_Of_WY"
"LOC110058904",32.9320489660586,-5.84616489300014,1.23420218079622,-4.73679676147438,2.17122711854869e-06,0.0213475050295708,"CvsT4",2,10,66,39,34,28,39,0,12,27,20,30,47,41
"LOC110047898",42.5147172629862,-9.4542771935456,1.4937120809465,-6.3293838981036,2.46142017514236e-10,4.84013663239994e-06,"CvsT4",0,22,44,22,22,46,32,0,88,40,51,59,70,55
