"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Treatment_Compare","17_ctl2_Of_ZTH_1","18_T33_Of_VLL","23_ctl1_Of_CT_1","26_T12_Of_WCL","30_T23_Of_RPG","32_T22_Of_EVR","36_T43_Of_JJN","40_T13_Of_GWS","43_ctl3_Of_JVP_1","44_T41_Of_PVT_1","48_T31_Of_JNO","50_T21_Of_YZB","51_T42_Of_UOF","59_T11_Of_TQP","60_T32_Of_WY","gene_id"
"1",43.2427782295006,4.61257427008868,1.0113063331357,4.56100601663074,5.0909122113497e-06,0.024651088491769,"CvsT1",22,2,14,6,3,7,7,9,23,19,6,7,9,11,7,"LOC110065550"
"2",48.9233023471916,-3.73050411460743,0.833786780168785,-4.47417037944912,7.67085591899366e-06,0.0281305628261335,"CvsT1",31,9,0,276,7,87,23,37,27,67,11,96,55,173,72,"LOC110052551"
"3",432.158160229469,-3.36487676091324,0.674761112458179,-4.9867674630135,6.13978889624007e-07,0.0112579169201458,"CvsT1",128,168,0,771,334,621,381,954,255,347,633,380,1073,517,1238,"LOC110044078"
"4",74.5510560810232,3.99607112513196,0.904992522908283,4.41558468603718,1.00737331529317e-05,0.0304447854835256,"CvsT1",50,8,22,22,12,15,20,17,64,60,19,15,15,29,21,"LOC110063000"
"5",243.530897512616,3.22883969938491,0.73641334376689,4.38454806219127,1.16226820672273e-05,0.0304447854835256,"CvsT1",553,56,55,83,36,85,143,74,590,360,109,97,56,215,78,"LOC110042871"
"6",1390.89476508371,2.54594706497874,0.595227462759135,4.27726747213104,1.89201421585661e-05,0.0433649658274335,"CvsT1",3120,436,225,718,507,824,825,946,4133,2886,930,813,901,944,1207,"LOC110062450"
"7",129.227854192404,6.27916055373154,1.37510585759816,4.56631067276457,4.96382943468064e-06,0.024651088491769,"CvsT1",13,2,45,12,6,12,7,11,55,40,11,14,9,7,15,"LOC110050314"
"8",144.45368684569,3.9930519677755,0.877692430432404,4.54948889761791,5.37763710553425e-06,0.024651088491769,"CvsT1",105,15,42,46,25,32,42,34,125,126,39,29,31,61,43,"LOC110063009"
"9",839.973277465816,3.68038584033829,0.825681159024962,4.45739351093395,8.29622263537985e-06,0.0174090306130135,"CvsT2",1196,164,219,357,117,308,278,354,530,693,242,279,323,556,370,"LOC110039914"
"10",43.2427782295006,4.71136262721844,1.03424399165961,4.55536862211623,5.22937914729176e-06,0.0153628700589137,"CvsT2",22,2,14,6,3,7,7,9,23,19,6,7,9,11,7,"LOC110065550"
